SA4_CODE_2021,C11_0_14_SEO,C11_0_14_UOL_SE_Vw_w,C11_0_14_UOL_SE_Nw_Na,C11_0_14_UOL_SE_P_E_n,C11_0_14_UOL_SE_Tot,C11_0_14_LPE_NS,C11_0_14_Tot,C11_15_24_SEO,C11_15_24_UOL_SE_Vw_w,C11_15_24_UOL_SE_Nw_Na,C11_15_24_UOL_SE_P_E_n,C11_15_24_UOL_SE_Tot,C11_15_24_LPE_NS,C11_15_24_Tot,C11_25_34_SEO,C11_25_34_UOL_SE_Vw_w,C11_25_34_UOL_SE_Nw_Na,C11_25_34_UOL_SE_P_E_n,C11_25_34_UOL_SE_Tot,C11_25_34_LPE_NS,C11_25_34_Tot,C11_35_44_SEO,C11_35_44_UOL_SE_Vw_w,C11_35_44_UOL_SE_Nw_Na,C11_35_44_UOL_SE_P_E_n,C11_35_44_UOL_SE_Tot,C11_35_44_LPE_NS,C11_35_44_Tot,C11_45_54_SEO,C11_45_54_UOL_SE_Vw_w,C11_45_54_UOL_SE_Nw_Na,C11_45_54_UOL_SE_P_E_n,C11_45_54_UOL_SE_Tot,C11_45_54_LPE_NS,C11_45_54_Tot,C11_55_64_SEO,C11_55_64_UOL_SE_Vw_w,C11_55_64_UOL_SE_Nw_Na,C11_55_64_UOL_SE_P_E_n,C11_55_64_UOL_SE_Tot,C11_55_64_LPE_NS,C11_55_64_Tot,C11_65_74_SEO,C11_65_74_UOL_SE_Vw_w,C11_65_74_UOL_SE_Nw_Na,C11_65_74_UOL_SE_P_E_n,C11_65_74_UOL_SE_Tot,C11_65_74_LPE_NS,C11_65_74_Tot,C11_75_84_SEO,C11_75_84_UOL_SE_Vw_w,C11_75_84_UOL_SE_Nw_Na,C11_75_84_UOL_SE_P_E_n,C11_75_84_UOL_SE_Tot,C11_75_84_LPE_NS,C11_75_84_Tot,C11_85_over_SEO,C11_85_over_UOL_SE_Vw_w,C11_85_over_UOL_SE_Nw_Na,C11_85_over_UOL_SE_P_E_n,C11_85_over_UOL_SE_Tot,C11_85_over_LPE_NS,C11_85_over_Tot,C11_Tot_SEO,C11_Tot_UOL_SE_Vw_w,C11_Tot_UOL_SE_Nw_Na,C11_Tot_UOL_SE_P_E_n,C11_Tot_UOL_SE_Tot,C11_Tot_LPE_NS,C11_Tot_Tot,C16_0_14_SEO,C16_0_14_UOL_SE_Vw_w,C16_0_14_UOL_SE_Nw_Na,C16_0_14_UOL_SE_P_E_n,C16_0_14_UOL_SE_Tot,C16_0_14_LPE_NS,C16_0_14_Tot,C16_15_24_SEO,C16_15_24_UOL_SE_Vw_w,C16_15_24_UOL_SE_Nw_Na,C16_15_24_UOL_SE_P_E_n,C16_15_24_UOL_SE_Tot,C16_15_24_LPE_NS,C16_15_24_Tot,C16_25_34_SEO,C16_25_34_UOL_SE_Vw_w,C16_25_34_UOL_SE_Nw_Na,C16_25_34_UOL_SE_P_E_n,C16_25_34_UOL_SE_Tot,C16_25_34_LPE_NS,C16_25_34_Tot,C16_35_44_SEO,C16_35_44_UOL_SE_Vw_w,C16_35_44_UOL_SE_Nw_Na,C16_35_44_UOL_SE_P_E_n,C16_35_44_UOL_SE_Tot,C16_35_44_LPE_NS,C16_35_44_Tot,C16_45_54_SEO,C16_45_54_UOL_SE_Vw_w,C16_45_54_UOL_SE_Nw_Na,C16_45_54_UOL_SE_P_E_n,C16_45_54_UOL_SE_Tot,C16_45_54_LPE_NS,C16_45_54_Tot,C16_55_64_SEO,C16_55_64_UOL_SE_Vw_w,C16_55_64_UOL_SE_Nw_Na,C16_55_64_UOL_SE_P_E_n,C16_55_64_UOL_SE_Tot,C16_55_64_LPE_NS,C16_55_64_Tot,C16_65_74_SEO,C16_65_74_UOL_SE_Vw_w,C16_65_74_UOL_SE_Nw_Na,C16_65_74_UOL_SE_P_E_n,C16_65_74_UOL_SE_Tot,C16_65_74_LPE_NS,C16_65_74_Tot,C16_75_84_SEO,C16_75_84_UOL_SE_Vw_w,C16_75_84_UOL_SE_Nw_Na,C16_75_84_UOL_SE_P_E_n,C16_75_84_UOL_SE_Tot,C16_75_84_LPE_NS,C16_75_84_Tot,C16_85_over_SEO,C16_85_over_UOL_SE_Vw_w,C16_85_over_UOL_SE_Nw_Na,C16_85_over_UOL_SE_P_E_n,C16_85_over_UOL_SE_Tot,C16_85_over_LPE_NS,C16_85_over_Tot,C16_Tot_SEO,C16_Tot_UOL_SE_Vw_w,C16_Tot_UOL_SE_Nw_Na,C16_Tot_UOL_SE_P_E_n,C16_Tot_UOL_SE_Tot,C16_Tot_LPE_NS,C16_Tot_Tot,C21_0_14_SEO,C21_0_14_UOL_SE_Vw_w,C21_0_14_UOL_SE_Nw_Na,C21_0_14_UOL_SE_P_E_n,C21_0_14_UOL_SE_Tot,C21_0_14_LPE_NS,C21_0_14_Tot,C21_15_24_SEO,C21_15_24_UOL_SE_Vw_w,C21_15_24_UOL_SE_Nw_Na,C21_15_24_UOL_SE_P_E_n,C21_15_24_UOL_SE_Tot,C21_15_24_LPE_NS,C21_15_24_Tot,C21_25_34_SEO,C21_25_34_UOL_SE_Vw_w,C21_25_34_UOL_SE_Nw_Na,C21_25_34_UOL_SE_P_E_n,C21_25_34_UOL_SE_Tot,C21_25_34_LPE_NS,C21_25_34_Tot,C21_35_44_SEO,C21_35_44_UOL_SE_Vw_w,C21_35_44_UOL_SE_Nw_Na,C21_35_44_UOL_SE_P_E_n,C21_35_44_UOL_SE_Tot,C21_35_44_LPE_NS,C21_35_44_Tot,C21_45_54_SEO,C21_45_54_UOL_SE_Vw_w,C21_45_54_UOL_SE_Nw_Na,C21_45_54_UOL_SE_P_E_n,C21_45_54_UOL_SE_Tot,C21_45_54_LPE_NS,C21_45_54_Tot,C21_55_64_SEO,C21_55_64_UOL_SE_Vw_w,C21_55_64_UOL_SE_Nw_Na,C21_55_64_UOL_SE_P_E_n,C21_55_64_UOL_SE_To,C21_55_64_LPE_NS,C21_55_64_T,C21_65_74_SEO,C21_65_74_UOL_SE_Vw_w,C21_65_74_UOL_SE_Nw_Na,C21_65_74_UOL_SE_P_E_n,C21_65_74_UOL_SE_Tot,C21_65_74_LPE_NS,C21_65_74_Tot,C21_75_84_SEO,C21_75_84_UOL_SE_Vw_w,C21_75_84_UOL_SE_Nw_Na,C21_75_84_UOL_SE_P_E_n,C21_75_84_UOL_SE_Tot,C21_75_84_LPE_NS,C21_75_84_Tot,C21_85_over_SEO,C21_85_over_UOL_SE_Vw_w,C21_85_over_UOL_SE_Nw_Na,C21_85_over_UOL_SE_P_E_n
101,36263,1264,357,60,1687,1865,39813,20846,859,56,11,925,1125,22895,17375,1454,99,20,1578,1191,20139,24234,1703,116,26,1834,1454,27526,28100,1471,122,19,1611,1409,31117,27159,1372,166,29,1562,1237,29957,18365,1205,174,27,1409,888,20660,9871,709,179,9,903,653,11415,3633,226,81,0,305,361,4295,185840,10254,1350,207,11814,10171,207821,34559,1470,407,67,1947,2255,38761,20393,947,76,14,1038,1587,23024,18193,2114,159,33,2300,1848,22335,21462,1950,104,24,2070,1889,25418,27347,1682,163,25,1870,2298,31502,28889,1404,166,21,1592,2253,32738,23170,1233,150,18,1407,1978,26551,10990,846,178,21,1048,1205,13248,4350,254,101,10,374,538,5263,189359,11892,1507,231,13636,15845,218842,35930,2220,493,133,2849,2472,41245,20919,1227,52,0,1274,1461,23664,21443,3211,166,6,3386,1927,26755,22273,2941,154,9,3102,1749,27123,27437,1962,161,4,2130,1881,31454,31519,1498,209,15,1719,2133,35370,27978,1226,206,11,1443,1843,31264,14058,800,181,12,993,1109,16162,4742,318,116,8
102,56148,1684,433,79,2195,2358,60697,35585,1127,63,19,1212,1457,38251,29165,1735,103,15,1852,1318,32340,36194,2340,169,30,2538,1627,40354,38915,2044,178,22,2242,1695,42856,34965,1739,223,15,1977,1449,38398,26745,1482,236,19,1734,1327,29810,18184,913,172,27,1118,1210,20514,7717,327,89,3,419,832,8962,283619,13387,1670,235,15286,13281,312181,54692,2422,684,68,3172,2559,60430,34881,1337,91,5,1430,1792,38103,30887,2444,201,13,2660,1722,35277,34097,3135,221,32,3389,1887,39379,38481,2712,277,31,3018,2127,43630,37730,2082,336,25,2445,2193,42365,32238,1813,323,34,2173,2184,36590,18535,1128,215,29,1377,1780,21698,8231,470,117,5,592,1446,10275,289775,17538,2471,252,20262,17697,327736,55111,3542,742,215,4497,2737,62348,35222,1794,74,14,1880,1664,38764,32690,3369,179,4,3556,1877,38119,34708,4514,283,11,4809,1844,41358,38838,3185,326,9,3525,1817,44183,40324,2444,399,18,2855,1706,44882,36348,2008,498,15,2515,1826,40693,22398,1230,311,20,1560,1740,25702,8371,480,142,15
103,38195,852,217,36,1108,1851,41158,22894,626,40,9,675,1351,24920,18646,730,71,10,821,1271,20731,22301,904,96,11,1007,1359,24668,24784,749,89,7,851,1128,26762,23359,610,72,6,696,1105,25162,16847,465,62,12,535,847,18223,10066,288,65,6,360,638,11063,3606,122,31,5,161,278,4045,180705,5357,756,104,6216,9820,196738,36822,1053,289,36,1375,2717,40912,21672,642,49,16,703,2279,24650,19573,1237,111,17,1368,2158,23098,20261,1216,123,9,1345,2045,23654,23692,905,108,9,1018,2304,27012,23778,680,124,17,825,2168,26767,19766,562,91,6,660,2055,22479,10804,330,58,10,400,1303,12509,4239,128,32,3,160,671,5070,180601,6748,982,126,7858,17703,206158,36877,1386,304,105,1800,2688,41367,21250,843,26,5,872,1727,23853,20816,1877,137,6,2019,2019,24861,20191,1800,147,8,1956,1978,24125,23160,1100,120,9,1227,1821,26203,25217,794,113,11,916,1791,27917,22407,583,122,0,708,1538,24652,12957,320,78,6,404,1114,14480,4824,134,46,0
104,22811,765,235,35,1041,930,24779,13522,576,82,12,669,568,14760,10100,632,94,15,752,518,11363,14078,733,102,10,833,614,15533,17857,678,82,8,769,645,19271,18249,547,67,8,622,627,19502,12944,332,34,3,372,463,13780,7638,283,55,3,341,367,8346,2993,80,29,0,119,165,3281,120201,4622,785,98,5511,4890,130605,21077,1100,302,29,1431,1350,23863,12450,656,114,13,775,925,14148,10569,1008,213,18,1240,945,12751,12588,936,152,17,1105,994,14691,16028,773,161,15,944,1191,18166,19054,668,121,19,803,1427,21284,15876,444,68,19,530,1227,17635,8468,312,41,12,363,867,9699,3344,131,26,7,165,546,4053,119455,6023,1203,137,7362,9471,136287,21309,1636,350,82,2064,1456,24834,12412,805,85,3,894,1002,14313,11794,1482,334,18,1838,1400,15030,12897,1420,318,12,1753,1324,15975,15745,915,217,5,1144,1218,18106,19220,699,181,8,888,1151,21252,19005,491,122,7,621,1019,20649,10405,281,42,8,327,759,11492,3816,137,37,4
105,22491,459,97,23,582,1195,24265,12668,214,25,8,247,846,13758,11053,410,39,4,459,805,12316,12677,474,39,3,514,819,14010,14692,373,45,8,429,848,15966,13344,337,33,13,376,690,14414,9506,243,43,3,287,555,10352,5690,179,28,9,214,435,6338,1923,45,16,0,58,188,2172,104049,2736,366,62,3164,6376,113593,20135,570,170,22,757,1736,22632,11453,302,16,5,317,1188,12956,11355,983,63,13,1052,1597,14009,10611,738,39,4,785,1263,12661,12981,446,52,4,497,1428,14905,13535,326,30,8,367,1402,15305,10372,265,40,3,303,1146,11822,5791,171,20,10,197,763,6748,2219,57,18,0,73,447,2742,98456,3849,442,64,4360,10964,113778,19115,933,229,56,1217,2566,22899,10620,395,22,0,422,1481,12519,11619,1875,66,4,1941,1926,15489,10052,1193,44,7,1247,1681,12978,11373,548,54,0,598,1494,13463,13326,355,58,5,416,1484,15228,11112,234,53,0,286,1231,12627,6424,152,24,0,177,898,7498,2319,50,20,0
106,48100,760,237,59,1047,1868,51021,28836,589,50,13,654,1371,30860,25893,977,110,7,1094,1317,28309,30017,1009,82,10,1105,1445,32568,30896,893,97,10,998,1388,33282,28381,690,75,3,769,1253,30410,19294,528,54,12,588,920,20795,10660,291,64,9,365,712,11738,3742,119,47,3,170,351,4265,225822,5851,826,128,6801,10626,243248,48832,1132,380,47,1561,2872,53271,28938,650,53,11,714,1839,31496,27704,1343,148,15,1499,2397,31606,28784,1380,92,20,1495,2198,32480,31293,1110,117,19,1251,2238,34776,30469,826,104,15,943,2166,33574,24562,656,61,8,725,2032,27322,11945,404,53,7,462,1268,13681,4373,139,36,3,185,668,5218,236897,7641,1038,154,8833,17687,263419,52024,1805,462,105,2371,2507,56899,31014,957,64,9,1031,1723,33766,31992,2038,232,11,2277,2244,36516,30735,2277,209,0,2489,1997,35227,32859,1427,161,6,1591,1776,36228,34139,1041,170,7,1213,1646,37003,30288,793,121,5,918,1442,32654,16037,451,77,3,536,1153,17724,5024,140,39,0
107,46417,3625,993,133,4757,1571,52746,31948,4427,436,60,4928,1334,38206,26038,5343,377,43,5762,1225,33022,30088,5156,383,50,5592,1079,36760,31901,4705,527,50,5286,1199,38387,26128,3976,1012,66,5057,1032,32212,18048,2998,1392,46,4433,763,23246,11231,2116,1433,32,3575,800,15608,4351,607,450,14,1076,377,5803,226147,32954,7006,498,40460,9369,275983,46359,4119,1149,104,5374,2039,53767,33064,4540,505,31,5075,1699,39836,28090,5500,509,47,6056,1752,35896,29170,5610,455,49,6113,1510,36791,31157,5024,534,67,5624,1746,38526,29410,4164,842,67,5072,1755,36236,21855,3345,1160,50,4555,1635,28042,12136,2214,1477,79,3767,1164,17066,5168,833,647,63,1543,614,7330,236409,35352,7271,559,43178,13903,293498,47926,4809,931,230,5967,2225,56114,34618,4067,140,11,4216,1615,40453,32266,5716,317,13,6044,1685,39997,30737,5910,452,9,6371,1469,38572,32280,5163,488,15,5664,1324,39273,32855,4311,788,28,5123,1177,39152,26354,3541,1223,24,4786,1174,32307,14903,2238,1372,26,3642,1198,19744,5333,932,800,26
108,33905,552,152,29,738,1273,35916,18897,268,26,5,300,887,20082,14075,434,41,12,487,755,15322,20545,654,56,6,713,909,22162,26560,697,48,6,749,1048,28361,28685,653,58,11,718,1141,30546,24434,585,39,8,633,953,26023,15019,393,32,5,431,841,16294,5484,203,20,3,229,695,6408,187613,4439,473,84,4993,8499,201110,31888,735,169,33,936,1880,34708,18483,360,47,15,419,1316,20220,15174,703,80,8,789,1304,17268,18405,924,59,7,994,1313,20713,24587,735,68,16,819,1819,27233,30135,768,61,13,841,2135,33115,29765,715,47,20,784,2390,32938,16169,431,36,18,481,1605,18258,6518,211,21,4,235,995,7745,191139,5570,589,138,6294,14765,212197,31952,1204,244,69,1523,2359,35834,19561,513,23,11,545,1451,21563,16856,1231,85,8,1328,1592,19774,18569,1428,91,5,1525,1538,21625,24137,1031,107,9,1148,1522,26807,32030,828,98,3,930,1828,34795,34764,732,80,6,823,1945,37531,20692,434,48,4,481,1386,22565,7523,219,46,3
109,19719,469,164,27,664,833,21218,12502,396,46,6,447,599,13546,10062,655,86,7,751,458,11275,12264,579,62,11,654,515,13429,14294,482,48,5,532,563,15395,14005,355,49,6,407,593,15008,10186,318,48,10,374,495,11053,6115,240,61,5,302,401,6823,2254,94,35,3,137,171,2568,101403,3607,593,78,4277,4640,110320,19116,690,245,24,957,1372,21443,11767,422,61,8,488,965,13216,10341,942,144,15,1098,977,12414,10983,817,117,8,946,912,12835,13130,575,97,8,677,1032,14846,14525,423,83,3,509,1291,16326,12170,338,56,10,408,1150,13723,6638,272,62,13,347,804,7784,2657,106,25,0,132,415,3205,101333,4581,892,81,5557,8908,115802,19353,1023,275,69,1369,1575,22291,11691,613,48,6,659,960,13312,11049,1475,139,8,1621,1017,13683,11243,1197,148,3,1352,977,13574,12958,654,186,9,845,1012,14812,15327,427,134,3,566,1134,17022,14636,337,82,6,430,1089,16158,8238,248,61,3,313,725,9280,2931,122,35,0
110,33997,589,206,34,828,1612,36434,20709,579,107,6,687,1047,22444,16557,730,101,9,847,948,18342,19669,690,67,8,768,1028,21461,22731,554,44,4,606,1021,24357,21524,375,47,5,436,928,22886,15879,261,32,10,303,751,16933,8936,177,30,11,211,569,9718,3243,78,16,0,93,278,3615,163241,4030,660,87,4772,8183,176197,31836,936,261,33,1239,2559,35631,19347,750,196,4,951,1801,22095,16786,1471,249,19,1740,1688,20214,17419,1107,96,10,1217,1630,20260,20667,749,93,4,846,1892,23404,21853,463,72,15,543,2047,24436,17873,330,38,7,374,1733,19976,9851,207,19,9,233,1197,11282,3591,65,16,0,89,573,4253,159219,6073,1037,104,7223,15117,181559,30302,1497,351,92,1936,3259,35503,18372,926,101,5,1024,2369,21767,17234,2274,364,16,2650,2071,21953,16460,1721,216,8,1946,1922,20328,19026,869,129,4,1011,1998,22031,21896,549,128,10,683,2010,24586,19460,335,74,8,415,1700,21574,11713,195,23,3,216,1222,13144,3988,79,15,0
