SA4_CODE_2021,Tot_persons_C11_M,Tot_persons_C11_F,Tot_persons_C11_P,Tot_persons_C16_M,Tot_persons_C16_F,Tot_persons_C16_P,Tot_persons_C21_M,Tot_persons_C21_F,Tot_persons_C21_P,Age_0_4_C11_M,Age_0_4_C11_F,Age_0_4_C11_P,Age_0_4_C16_M,Age_0_4_C16_F,Age_0_4_C16_P,Age_0_4_C21_M,Age_0_4_C21_F,Age_0_4_C21_P,Age_5_14_C11_M,Age_5_14_C11_F,Age_5_14_C11_P,Age_5_14_C16_M,Age_5_14_C16_F,Age_5_14_C16_P,Age_5_14_C21_M,Age_5_14_C21_F,Age_5_14_C21_P,Age_15_19_C11_M,Age_15_19_C11_F,Age_15_19_C11_P,Age_15_19_C16_M,Age_15_19_C16_F,Age_15_19_C16_P,Age_15_19_C21_M,Age_15_19_C21_F,Age_15_19_C21_P,Age_20_24_C11_M,Age_20_24_C11_F,Age_20_24_C11_P,Age_20_24_C16_M,Age_20_24_C16_F,Age_20_24_C16_P,Age_20_24_C21_M,Age_20_24_C21_F,Age_20_24_C21_P,Age_25_34_C11_M,Age_25_34_C11_F,Age_25_34_C11_P,Age_25_34_C16_M,Age_25_34_C16_F,Age_25_34_C16_P,Age_25_34_C21_M,Age_25_34_C21_F,Age_25_34_C21_P,Age_35_44_C11_M,Age_35_44_C11_F,Age_35_44_C11_P,Age_35_44_C16_M,Age_35_44_C16_F,Age_35_44_C16_P,Age_35_44_C21_M,Age_35_44_C21_F,Age_35_44_C21_P,Age_45_54_C11_M,Age_45_54_C11_F,Age_45_54_C11_P,Age_45_54_C16_M,Age_45_54_C16_F,Age_45_54_C16_P,Age_45_54_C21_M,Age_45_54_C21_F,Age_45_54_C21_P,Age_55_64_C11_M,Age_55_64_C11_F,Age_55_64_C11_P,Age_55_64_C16_M,Age_55_64_C16_F,Age_55_64_C16_P,Age_55_64_C21_M,Age_55_64_C21_F,Age_55_64_C21_P,Age_65_74_C11_M,Age_65_74_C11_F,Age_65_74_C11_P,Age_65_74_C16_M,Age_65_74_C16_F,Age_65_74_C16_P,Age_65_74_C21_M,Age_65_74_C21_F,Age_65_74_C21_P,Age_75_84_C11_M,Age_75_84_C11_F,Age_75_84_C11_P,Age_75_84_C16_M,Age_75_84_C16_F,Age_75_84_C16_P,Age_75_84_C21_M,Age_75_84_C21_F,Age_75_84_C21_P,Age_grp_85over_C11_M,Age_grp_85over_C11_F,Age_grp_85over_C11_P,Age_grp_85over_C16_M,Age_grp_85over_C16_F,Age_grp_85over_C16_P,Age_grp_85over_C21_M,Age_grp_85over_C21_F,Age_grp_85over_C21_P,OS_vis_C11_M,OS_vis_C11_F,OS_vis_C11_P,OS_vis_C16_M,OS_vis_C16_F,OS_vis_C16_P,OS_vis_C21_M,OS_vis_C21_F,OS_vis_C21_P,IP_Abor_C11_M,IP_Abor_C11_F,IP_Abor_C11_P,IP_Abor_C16_M,IP_Abor_C16_F,IP_Abor_C16_P,IP_Abor_C21_M,IP_Abor_C21_F,IP_Abor_C21_P,IP_Tor_Strt_Is_2011_Ce_M,IP_Tor_Strt_Is_2011_Ce_F,IP_Tor_Strt_Is_2011_Ce_P,IP_Tor_Strt_Is_2016_Ce_M,IP_Tor_Strt_Is_2016_Ce_F,IP_Tor_Strt_Is_2016_Ce_P,IP_Tor_Strt_Is_2021_Ce_M,IP_Tor_Strt_Is_2021_Ce_F,IP_Tor_Strt_Is_2021_Ce_P,IP_B_Ab_To_St_Is_2011_Ce_M,IP_B_Ab_To_St_Is_2011_Ce_F,IP_B_Ab_To_St_Is_2011_Ce_P,IP_B_Ab_To_St_Is_2016_Ce_M,IP_B_Ab_To_St_Is_2016_Ce_F,IP_B_Ab_To_St_Is_2016_Ce_P,IP_B_Ab_To_St_Is_2021_Ce_M,IP_B_Ab_To_St_Is_2021_Ce_F,IP_B_Ab_To_St_Is_2021_Ce_P,IP_Tot_2011_Ce_M,IP_Tot_2011_Ce_F,IP_Tot_2011_Ce_P,IP_Tot_2016_Ce_M,IP_Tot_2016_Ce_F,IP_Tot_2016_Ce_P,IP_Tot_2021_Ce_M,IP_Tot_2021_Ce_F,IP_Tot_2021_Ce_P,Brthplace_Aust_2011_Ce_M,Brthplace_Aust_2011_Ce_F,Brthplace_Aust_2011_Ce_P,Brthplace_Aust_2016_Ce_M,Brthplace_Aust_2016_Ce_F,Brthplace_Aust_2016_Ce_P,Brthplace_Aust_2021_Ce_M,Brthplace_Aust_2021_Ce_F,Brthplace_Aust_2021_Ce_P,Brthplace_Elsewhere_2011_Ce_M,Brthplace_Elsewhere_2011_Ce_F,Brthplace_Elsewhere_2011_Ce_P,Brthplace_Elsewhere_2016_Ce_M,Brthplace_Elsewhere_2016_Ce_F,Brthplace_Elsewhere_2016_Ce_P,Brthplace_Elsewhere_2021_Ce_M,Brthplace_Elsewhere_2021_Ce_F,Brthplace_Elsewhere_2021_Ce_P,LSH_Eng_only_2011_Ce_M,LSH_Eng_only_2011_Ce_F,LSH_Eng_only_2011_Ce_P,LSH_Eng_only_2016_Ce_M,LSH_Eng_only_2016_Ce_F,LSH_Eng_only_2016_Ce_P,LSH_Eng_only_2021_Ce_M,LSH_Eng_only_2021_Ce_F,LSH_Eng_only_2021_Ce_P,LSH_Oth_Lan_2011_Ce_M,LSH_Oth_Lan_2011_Ce_F,LSH_Oth_Lan_2011_Ce_P,LSH_Oth_Lan_2016_Ce_M,LSH_Oth_Lan_2016_Ce_F,LSH_Oth_Lan_2016_Ce_P,LSH_Oth_Lan_2021_Ce_M,LSH_Oth_Lan_2021_Ce_F,LSH_Oth_Lan_2021_Ce_P,Aust_citiz_C11_M,Aust_citiz_C11_F,Aust_citiz_C11_P,Aust_citiz_C16_M,Aust_citiz_C16_F,Aust_citiz_C16_P,Aust_citiz_C21_M,Aust_citiz_C21_F,Aust_citiz_C21_P
101,103618,104203,207821,109125,109717,218842,119088,119720,238810,6597,6163,12757,6221,5645,11863,6515,6241,12752,13832,13228,27060,13891,13013,26898,14844,13648,28493,6949,6326,13272,6491,6167,12657,6696,6085,12785,4979,4644,9626,5342,5021,10367,5678,5199,10876,9765,10369,20139,11040,11296,22335,13251,13501,26755,13435,14085,27526,12499,12915,25418,13167,13960,27123,15599,15519,31117,15489,16017,31502,15413,16034,31454,15116,14836,29957,16251,16485,32738,17535,17838,35370,10491,10171,20660,13504,13048,26551,15755,15513,31264,5357,6064,11415,6426,6822,13248,7909,8257,16162,1491,2808,4295,1966,3296,5263,2332,3448,5776,563,567,1136,770,766,1536,206,192,397,3011,3001,6012,3792,3785,7581,4952,4854,9804,71,79,149,92,63,156,106,80,186,49,47,92,81,60,138,67,82,148,3124,3128,6257,3966,3912,7880,5122,5013,10137,84758,85452,170208,86465,86655,173118,95136,95392,190530,12651,13055,25713,13489,13906,27396,15645,16404,32050,92075,93764,185840,94102,95255,189359,102517,103774,206290,5567,5732,11295,6298,6695,12994,8151,8480,16627,93228,94870,188103,96181,97538,193724,105931,107476,213414
102,150699,161483,312181,158767,168970,327736,167980,178618,346596,10171,9606,19772,9886,9299,19180,10001,9413,19421,20821,20103,40925,21278,19965,41242,22187,20739,42931,10912,10161,21072,10118,9809,19930,10523,9754,20276,8734,8444,17178,9264,8911,18169,9383,9107,18486,15632,16710,32340,17242,18033,35277,18615,19505,38119,19226,21128,40354,19034,20338,39379,19909,21445,41358,20590,22259,42856,21054,22572,43630,21395,22793,44183,18453,19943,38398,20052,22309,42365,21289,23597,44882,14075,15736,29810,17249,19338,36590,18898,21797,40693,8926,11588,20514,9716,11977,21698,11851,13850,25702,3159,5807,8962,3868,6410,10275,3929,6619,10545,358,466,825,503,675,1175,177,174,354,4225,4369,8595,5956,6033,11985,8101,8348,16457,136,127,263,150,152,302,158,156,314,72,91,167,82,113,200,130,150,278,4433,4585,9024,6189,6300,12485,8392,8655,17047,121436,130212,251646,125665,132711,258383,133374,140344,273712,21036,22740,43781,22949,25111,48057,26344,29342,55682,136983,146638,283619,140951,148828,289775,148011,156001,304010,6697,7892,14599,8816,10403,19220,11364,13281,24646,134853,145313,280168,141556,150448,292002,151215,160370,311582
103,98324,98412,196738,102700,103463,206158,106203,106759,212962,7091,6623,13706,6829,6464,13292,6529,6036,12569,14182,13262,27447,14268,13351,27621,14767,14028,28797,6903,6579,13480,6690,6400,13088,6682,6010,12689,5957,5478,11440,5978,5586,11563,5806,5354,11161,10298,10440,20731,11584,11515,23098,12266,12591,24861,12092,12577,24668,11609,12040,23654,11940,12185,24125,13456,13304,26762,13359,13657,27012,12847,13355,26203,12819,12341,25162,13440,13332,26767,13916,14006,27917,9167,9064,18223,11312,11171,22479,12385,12259,24652,5083,5980,11063,5814,6697,12509,6972,7516,14480,1283,2768,4045,1825,3247,5070,2090,3417,5504,299,331,635,235,298,529,109,93,208,5114,5011,10124,6493,6360,12852,8359,8235,16597,139,112,246,120,104,225,125,119,244,72,73,147,122,98,219,175,139,312,5320,5194,10513,6730,6563,13293,8659,8495,17154,85144,85795,170938,85473,85780,171250,89391,89867,179261,7142,7088,14231,7637,7905,15542,8812,9181,17989,89545,91154,180705,89324,91275,180601,92880,94819,187700,2764,2981,5740,3535,3782,7319,4681,4871,9544,88587,90384,178966,89881,91846,181720,94244,96111,190357
104,63791,66812,130605,66581,69703,136287,71497,74634,146127,3907,3752,7658,3664,3470,7132,3601,3577,7178,8781,8343,17117,8569,8165,16734,9071,8589,17662,4484,4246,8729,4153,3864,8020,4101,3849,7950,3020,3000,6026,3175,2962,6137,3291,3073,6369,5443,5922,11363,6219,6539,12751,7415,7617,15030,7307,8226,15533,6994,7692,14691,7727,8243,15975,9164,10108,19271,8524,9639,18166,8641,9471,18106,9805,9693,19502,10401,10882,21284,10197,11056,21252,6787,6992,13780,8801,8832,17635,10242,10399,20649,3927,4421,8346,4559,5143,9699,5462,6036,11492,1174,2109,3281,1527,2527,4053,1758,2718,4473,313,378,686,411,502,913,221,160,379,2786,2975,5754,3436,3576,7015,4545,4548,9094,94,81,170,72,81,150,94,92,189,58,54,118,65,80,143,125,107,229,2930,3110,6044,3566,3735,7299,4767,4743,9512,53925,56324,110252,53894,55866,109764,58017,59928,117944,6654,7348,14001,7250,8211,15465,8587,9804,18389,58586,61614,120201,58373,61084,119455,61643,64968,126613,2424,2791,5219,3219,3727,6947,4286,4924,9209,57899,61134,119035,58671,61709,120382,62842,66328,129169
105,56507,57085,113593,56471,57306,113778,57315,58251,115566,4258,4089,8348,3865,3767,7635,3894,3708,7596,8186,7732,15923,7685,7313,15002,7840,7460,15301,3881,3578,7462,3336,3171,6504,3408,3133,6541,3103,3193,6300,3274,3181,6453,3038,2945,5979,5929,6382,12316,6822,7180,14009,7578,7914,15489,6854,7159,14010,6213,6444,12661,6344,6641,12978,7998,7970,15966,7369,7535,14905,6613,6852,13463,7450,6965,14414,7718,7581,15305,7562,7663,15228,5224,5128,10352,6058,5763,11822,6418,6204,12627,2895,3444,6338,3098,3649,6748,3526,3973,7498,727,1444,2172,1032,1712,2742,1104,1761,2866,209,177,389,175,240,414,89,62,148,8518,8936,17454,9220,9397,18616,9484,9673,19159,83,97,180,83,95,180,52,65,117,105,103,205,106,142,251,155,161,314,8703,9138,17841,9410,9630,19043,9690,9900,19593,49686,50557,100240,47219,47903,95120,46459,47283,93743,2952,2987,5937,3302,3494,6797,4175,4306,8481,51301,52743,104049,48570,49887,98456,47185,48768,95955,1412,1442,2856,1933,2071,4003,2940,3070,6008,50787,52227,103017,48942,50358,99308,47976,49515,97491
106,120901,122350,243248,130636,132780,263419,145140,146804,291946,8800,8380,17185,8821,8449,17269,9000,8573,17579,17325,16511,33838,18542,17461,36001,20244,19075,39317,8482,8162,16635,8417,7994,16410,9202,8383,17584,7358,6861,14225,7648,7438,15088,8325,7855,16178,14187,14122,28309,15523,16080,31606,18093,18420,36516,15932,16641,32568,16133,16347,32480,17424,17801,35227,16566,16717,33282,17085,17694,34776,17779,18448,36228,15109,15291,30410,16560,17019,33574,18133,18866,37003,10435,10363,20795,13616,13705,27322,16078,16575,32654,5261,6478,11738,6413,7262,13681,8597,9129,17724,1447,2822,4265,1881,3342,5218,2259,3668,5922,307,371,678,368,509,878,122,124,248,4461,4563,9026,7282,7085,14367,11202,11105,22306,141,128,271,204,180,385,237,204,445,91,114,206,167,158,327,289,270,559,4694,4807,9503,7655,7423,15080,11729,11581,23309,104367,105903,210269,110220,111636,221859,124312,125703,250011,9955,10206,20163,10777,11267,22037,13271,14074,27349,111747,114074,225822,117024,119871,236897,130472,133638,264108,2974,3320,6301,3902,4349,8254,5543,6289,11833,109791,112217,222009,116864,119582,236447,131619,135114,266734
107,136182,139799,275983,144487,149008,293498,154066,159771,313842,8887,8487,17370,8989,8490,17473,9220,8611,17827,18195,17179,35370,18609,17689,36299,19723,18560,38285,9816,9203,19019,9717,9259,18980,9703,9419,19124,9873,9313,19186,10866,9989,20857,10836,10487,21328,16576,16444,33022,17869,18028,35896,19903,20093,39997,17948,18810,36760,18023,18772,36791,18791,19780,38572,18903,19480,38387,18894,19627,38526,19114,20156,39273,15843,16371,32212,17512,18724,36236,18989,20163,39152,11123,12121,23246,13579,14468,28042,15471,16842,32307,6953,8655,15608,7711,9358,17066,9129,10615,19744,2068,3740,5803,2719,4609,7330,3187,5039,8227,742,764,1509,874,1086,1962,136,155,296,3030,3111,6141,3902,4121,8025,5389,5518,10900,100,105,203,113,78,188,109,107,215,40,48,94,71,77,150,79,92,169,3179,3269,6442,4084,4276,8368,5576,5713,11287,102452,104860,207311,107683,110219,217902,118540,121378,239913,27212,28793,56000,28236,30032,58267,28919,31784,60704,111467,114684,226147,116610,119801,236409,126844,130424,257269,19395,20325,39718,20469,21853,42321,20197,22168,42361,120674,124814,245488,126341,130968,257312,137991,143236,281229
108,97966,103140,201110,103299,108903,212197,111336,117699,229035,5704,5419,11119,5271,4991,10264,5188,5002,10190,12691,12107,24793,12466,11976,24443,13039,12608,25646,6304,5943,12249,5993,5707,11697,6267,5942,12206,3986,3847,7834,4326,4198,8520,4835,4529,9356,7342,7979,15322,8291,8973,17268,9552,10220,19774,10450,11712,22162,9887,10821,20713,10315,11306,21625,13525,14835,28361,13040,14188,27233,12794,14011,26807,15042,15504,30546,15952,17162,33115,16402,18396,34795,12870,13158,26023,16324,16619,32938,18637,18899,37531,7665,8632,16294,8712,9547,18258,10910,11656,22565,2395,4005,6408,3030,4715,7745,3396,5138,8536,254,307,562,346,441,794,150,112,260,5145,5256,10400,6337,6559,12898,8155,8333,16498,101,91,189,100,86,189,128,124,252,113,97,208,131,129,253,163,159,327,5359,5440,10798,6564,6773,13334,8445,8622,17069,83325,87721,171046,84833,89181,174007,92064,97042,189107,9146,9846,18988,9826,10708,20534,11354,12668,24029,91125,96487,187613,92919,98214,191139,99944,106152,206095,2035,2405,4440,2578,3110,5690,3574,4335,7912,89270,94784,184052,92530,97935,190463,100472,106974,207452
109,54549,55766,110320,57057,58738,115802,60918,62639,123552,3451,3391,6845,3588,3320,6910,3653,3486,7139,7347,7030,14373,7340,7198,14542,7822,7335,15152,3958,3639,7594,3509,3394,6901,3602,3485,7090,2934,3026,5950,3190,3125,6311,3152,3073,6222,5530,5751,11275,6051,6360,12414,6738,6944,13683,6531,6895,13429,6205,6636,12835,6530,7048,13574,7530,7863,15395,7265,7582,14846,7224,7584,14812,7622,7391,15008,8086,8236,16326,8281,8737,17022,5534,5521,11053,6911,6814,13723,8142,8014,16158,3204,3621,6823,3653,4135,7784,4386,4889,9280,917,1651,2568,1268,1942,3205,1382,2032,3413,171,161,332,271,267,539,110,75,183,1511,1603,3110,1831,1964,3797,2331,2448,4779,57,49,102,36,42,79,48,41,90,27,39,61,38,36,68,69,70,134,1599,1684,3280,1910,2039,3947,2446,2555,5002,47049,48363,95414,47012,48299,95309,50133,51791,101922,4326,4496,8825,4745,5065,9802,5636,6017,11656,49960,51438,101403,49918,51414,101333,52769,54653,107423,1968,2046,4014,2531,2720,5248,3421,3532,6950,49604,51175,100781,50377,51995,102380,53702,55622,109328
110,86906,89286,176197,89259,92299,181559,91262,94298,185560,6145,5943,12086,5884,5673,11555,5661,5026,10684,12585,11763,24347,12218,11862,24076,12632,12188,24821,6203,6021,12227,5988,5605,11590,5771,5790,11556,5098,5125,10222,5238,5277,10510,5172,5044,10211,8924,9414,18342,9848,10368,20214,10649,11307,21953,10358,11101,21461,9806,10456,20260,9843,10485,20328,11957,12404,24357,11444,11959,23404,10734,11300,22031,11631,11256,22886,12152,12286,24436,12042,12547,24586,8400,8527,16933,9985,9996,19976,10835,10739,21574,4405,5315,9718,5230,6057,11282,6162,6981,13144,1205,2414,3615,1471,2780,4253,1773,2895,4669,382,352,730,471,485,952,241,121,365,7425,7806,15235,8720,9020,17747,10406,10838,21246,146,165,310,161,151,310,143,143,284,128,117,250,174,180,362,249,275,522,7704,8092,15795,9065,9355,18414,10802,11257,22058,76361,78579,154943,74301,76603,150908,74634,77083,151716,5295,5465,10758,6206,6535,12739,7379,7887,15268,80215,83029,163241,78036,81182,159219,77738,80708,158447,2208,2190,4401,3344,3342,6686,4612,4751,9365,78990,81838,160824,78343,81313,159663,78618,81726,160343
