SA4_CODE_2021,C16_5_9_Indig_st_ns_P,C16_5_9_Tot_M,C16_5_9_Tot_F,C16_5_9_Tot_P,C16_10_14_Indigen_M,C16_10_14_Indigen_F,C16_10_14_Indigen_P,C16_10_14_NonInd_M,C16_10_14_NonInd_F,C16_10_14_NonInd_P,C16_10_14_Ind_st_ns_M,C16_10_14_Ind_st_ns_F,C16_10_14_Ind_st_ns_P,C16_10_14_Tot_M,C16_10_14_Tot_F,C16_10_14_Tot_P,C16_15_19_Indigen_M,C16_15_19_Indigen_F,C16_15_19_Indigen_P,C16_15_19_NonInd_M,C16_15_19_NonInd_F,C16_15_19_NonInd_P,C16_15_19_Ind_st_ns_M,C16_15_19_Ind_st_ns_F,C16_15_19_Ind_st_ns_P,C16_15_19_Tot_M,C16_15_19_Tot_F,C16_15_19_Tot_P,C16_20_24_Indigen_M,C16_20_24_Indigen_F,C16_20_24_Indigen_P,C16_20_24_NonInd_M,C16_20_24_NonInd_F,C16_20_24_NonInd_P,C16_20_24_Ind_st_ns_M,C16_20_24_Ind_st_ns_F,C16_20_24_Ind_st_ns_P,C16_20_24_Tot_M,C16_20_24_Tot_F,C16_20_24_Tot_P,C16_25_29_Indigen_M,C16_25_29_Indigen_F,C16_25_29_Indigen_P,C16_25_29_NonInd_M,C16_25_29_NonInd_F,C16_25_29_NonInd_P,C16_25_29_Ind_st_ns_M,C16_25_29_Ind_st_ns_F,C16_25_29_Ind_st_ns_P,C16_25_29_Tot_M,C16_25_29_Tot_F,C16_25_29_Tot_P,C16_30_34_Indigen_M,C16_30_34_Indigen_F,C16_30_34_Indigen_P,C16_30_34_NonInd_M,C16_30_34_NonInd_F,C16_30_34_NonInd_P,C16_30_34_Ind_st_ns_M,C16_30_34_Ind_st_ns_F,C16_30_34_Ind_st_ns_P,C16_30_34_Tot_M,C16_30_34_Tot_F,C16_30_34_Tot_P,C16_35_39_Indigen_M,C16_35_39_Indigen_F,C16_35_39_Indigen_P,C16_35_39_NonInd_M,C16_35_39_NonInd_F,C16_35_39_NonInd_P,C16_35_39_Ind_st_ns_M,C16_35_39_Ind_st_ns_F,C16_35_39_Ind_st_ns_P,C16_35_39_Tot_M,C16_35_39_Tot_F,C16_35_39_Tot_P,C16_40_44_Indigen_M,C16_40_44_Indigen_F,C16_40_44_Indigen_P,C16_40_44_NonInd_M,C16_40_44_NonInd_F,C16_40_44_NonInd_P,C16_40_44_Ind_st_ns_M,C16_40_44_Ind_st_ns_F,C16_40_44_Ind_st_ns_P,C16_40_44_Tot_M,C16_40_44_Tot_F,C16_40_44_Tot_P,C16_45_49_Indigen_M,C16_45_49_Indigen_F,C16_45_49_Indigen_P,C16_45_49_NonInd_M,C16_45_49_NonInd_F,C16_45_49_NonInd_P,C16_45_49_Ind_st_ns_M,C16_45_49_Ind_st_ns_F,C16_45_49_Ind_st_ns_P,C16_45_49_Tot_M,C16_45_49_Tot_F,C16_45_49_Tot_P,C16_50_54_Indigen_M,C16_50_54_Indigen_F,C16_50_54_Indigen_P,C16_50_54_NonInd_M,C16_50_54_NonInd_F,C16_50_54_NonInd_P,C16_50_54_Ind_st_ns_M,C16_50_54_Ind_st_ns_F,C16_50_54_Ind_st_ns_P,C16_50_54_Tot_M,C16_50_54_Tot_F,C16_50_54_Tot_P,C16_55_59_Indigen_M,C16_55_59_Indigen_F,C16_55_59_Indigen_P,C16_55_59_NonInd_M,C16_55_59_NonInd_F,C16_55_59_NonInd_P,C16_55_59_Ind_st_ns_M,C16_55_59_Ind_st_ns_F,C16_55_59_Ind_st_ns_P,C16_55_59_Tot_M,C16_55_59_Tot_F,C16_55_59_Tot_P,C16_60_64_Indigen_M,C16_60_64_Indigen_F,C16_60_64_Indigen_P,C16_60_64_NonInd_M,C16_60_64_NonInd_F,C16_60_64_NonInd_P,C16_60_64_Ind_st_ns_M,C16_60_64_Ind_st_ns_F,C16_60_64_Ind_st_ns_P,C16_60_64_Tot_M,C16_60_64_Tot_F,C16_60_64_Tot_P,C16_65_over_Indigen_M,C16_65_over_Indigen_F,C16_65_over_Indigen_P,C16_65over_NonInd_M,C16_65over_NonInd_F,C16_65over_NonInd_P,C16_65over_Indig_st_ns_M,C16_65over_Indig_st_ns_F,C16_65over_Indig_st_ns_P,C16_65_over_Tot_M,C16_65_over_Tot_F,C16_65_over_Tot_P,C16_Tot_Indig_M,C16_Tot_Indig_F,C16_Tot_Indig_P,C16_Tot_NonInd_M,C16_Tot_NonInd_F,C16_Tot_NonInd_P,C16_Tot_Indig_st_ns_M,C16_Tot_Indig_st_ns_F,C16_Tot_Indig_st_ns_P,C16_Tot_Tot_M,C16_Tot_Tot_F,C16_Tot_Tot_P,C21_0_4_Indig_M,C21_0_4_Indig_F,C21_0_4_Indig_P,C21_0_4_NonInd_M,C21_0_4_NonInd_F,C21_0_4_NonInd_P,C21_0_4_Indig_st_ns_M,C21_0_4_Indig_st_ns_F,C21_0_4_Indig_st_ns_P,C21_0_4_Tot_M,C21_0_4_Tot_F,C21_0_4_Tot_P,C21_5_9_Indig_M,C21_5_9_Indig_F,C21_5_9_Indig_P,C21_5_9_NonInd_M,C21_5_9_NonInd_F,C21_5_9_NonInd_P,C21_5_9_Indig_st_ns_M,C21_5_9_Indig_st_ns_F,C21_5_9_Indig_st_ns_P,C21_5_9_Tot_M,C21_5_9_Tot_F,C21_5_9_Tot_P,C21_10_14_Indigen_M,C21_10_14_Indigen_F,C21_10_14_Indigen_P,C21_10_14_NonInd_M,C21_10_14_NonInd_F,C21_10_14_NonInd_P,C21_10_14_Ind_st_ns_M,C21_10_14_Ind_st_ns_F,C21_10_14_Ind_st_ns_P,C21_10_14_Tot_M,C21_10_14_Tot_F,C21_10_14_Tot_P,C21_15_19_Indigen_M,C21_15_19_Indigen_F,C21_15_19_Indigen_P,C21_15_19_NonInd_M
101,849,7030,6547,13582,484,475,955,5926,5550,11478,447,434,887,6854,6457,13316,435,362,802,5614,5366,10986,436,434,871,6491,6167,12657,291,290,579,4657,4363,9021,395,367,765,5342,5021,10367,253,224,477,4725,4790,9512,400,414,812,5374,5425,10804,218,232,447,5040,5226,10269,404,405,817,5667,5870,11538,205,202,404,5022,5379,10398,382,388,770,5606,5968,11579,219,245,460,6147,6272,12422,530,435,968,6892,6948,13845,212,225,443,6690,7170,13856,577,518,1095,7478,7917,15392,194,219,412,7211,7318,14525,613,562,1176,8013,8099,16113,164,197,359,7581,7653,15240,601,552,1153,8346,8401,16745,117,153,273,7200,7395,14590,589,536,1121,7903,8081,15987,220,235,456,19936,21077,41007,1746,1848,3592,21897,23162,45063,3966,3912,7880,97202,98139,195344,7959,7666,15623,109125,109717,218842,536,521,1061,5636,5367,11007,345,350,693,6515,6241,12752,592,538,1135,6123,5691,11811,461,389,845,7176,6613,13791,584,574,1152,6605,5991,12589,481,470,955,7672,7029,14706,512,494,1004,5757
102,974,10806,10111,20918,783,674,1463,9188,8743,17934,499,433,936,10475,9858,20326,732,688,1416,8869,8679,17544,521,446,967,10118,9809,19930,580,525,1101,8209,7866,16070,480,514,994,9264,8911,18169,424,434,857,7610,7837,15444,459,436,898,8495,8700,17196,318,381,699,7972,8511,16485,458,441,901,8750,9332,18078,308,322,623,8213,8760,16975,457,443,907,8981,9528,18508,276,346,620,9251,9954,19206,528,515,1039,10053,10813,20868,293,349,640,9552,10408,19961,576,564,1138,10414,11319,21737,283,356,640,9837,10349,20185,517,552,1071,10638,11251,21895,233,247,489,9619,10777,20391,582,580,1161,10432,11609,22044,159,193,353,8918,9965,18886,537,546,1086,9619,10702,20321,297,346,647,28522,34741,63261,2013,2640,4659,30831,37730,68561,6189,6300,12485,143994,153640,297636,8587,9035,17616,158767,168970,327736,1010,925,1940,8620,8092,16709,375,388,766,10001,9413,19421,1034,937,1968,9404,8739,18144,502,465,970,10941,10144,21084,979,983,1959,9787,9105,18890,487,517,997,11248,10599,21847,921,840,1756,9129
103,1033,7291,6978,14263,773,721,1491,5685,5178,10862,513,484,996,6979,6376,13353,698,709,1410,5445,5156,10599,548,538,1083,6690,6400,13088,625,544,1171,4820,4564,9386,522,479,1007,5978,5586,11563,476,466,941,4865,4813,9675,462,398,862,5808,5674,11479,337,358,694,4998,5071,10066,441,415,854,5778,5846,11619,314,340,657,4785,4923,9706,416,442,858,5519,5701,11225,339,374,707,5269,5494,10771,483,468,947,6097,6333,12429,361,355,715,5663,5835,11495,566,502,1065,6588,6688,13278,303,317,626,5894,6070,11968,575,575,1150,6776,6962,13738,241,263,505,6146,6169,12317,593,524,1118,6977,6962,13938,186,192,375,5775,5686,11454,502,497,999,6461,6368,12830,356,387,741,16849,18765,35616,1745,1964,3706,18948,21117,40066,6730,6563,13293,87583,88619,176209,8381,8275,16658,102700,103463,206158,1014,951,1966,5157,4723,9885,359,363,719,6529,6036,12569,1064,971,2036,5679,5405,11087,489,500,991,7234,6873,14110,1055,981,2030,5970,5673,11641,506,508,1015,7533,7158,14689,879,803,1680,5363
104,527,4330,4200,8529,420,386,802,3565,3314,6875,258,261,520,4238,3964,8202,411,396,804,3467,3230,6694,276,244,523,4153,3864,8020,281,273,553,2649,2482,5127,242,210,455,3175,2962,6137,241,247,481,2606,2769,5368,232,215,446,3074,3223,6302,207,199,405,2721,2907,5625,215,203,426,3141,3308,6454,155,200,355,2774,3105,5880,215,215,433,3142,3519,6662,169,193,371,3415,3709,7125,263,269,528,3850,4178,8026,185,248,425,3502,4081,7588,265,320,582,3947,4646,8592,164,198,365,4104,4474,8578,311,313,628,4577,4993,9571,168,182,350,4485,5028,9521,437,372,807,5085,5590,10675,109,131,245,4831,4844,9673,373,319,694,5315,5293,10608,183,228,409,13629,15021,28647,1073,1255,2331,14890,16495,31387,3566,3735,7299,58358,61288,119645,4656,4679,9334,66581,69703,136287,515,479,991,2877,2900,5780,208,194,401,3601,3577,7178,517,505,1023,3586,3261,6854,274,232,504,4376,3996,8374,592,524,1124,3808,3748,7556,290,314,606,4690,4591,9283,458,434,889,3383
105,666,4077,3911,7987,1002,952,1958,2345,2188,4532,266,258,523,3610,3405,7012,947,882,1831,2137,2060,4200,253,226,478,3336,3171,6504,832,796,1631,2165,2101,4269,282,278,558,3274,3181,6453,698,713,1414,2482,2641,5126,330,319,645,3506,3676,7185,539,542,1084,2481,2666,5149,297,293,591,3319,3508,6822,438,460,900,2250,2387,4638,266,253,522,2954,3110,6067,458,607,1059,2491,2443,4936,309,289,598,3254,3336,6596,483,611,1091,2703,2708,5417,313,329,637,3503,3648,7151,476,502,979,3023,3033,6058,371,354,719,3865,3893,7756,390,457,848,3277,3231,6506,420,362,780,4090,4046,8135,328,344,665,2970,2878,5845,333,318,651,3631,3541,7171,534,588,1123,8661,9509,18174,988,1023,2015,10186,11121,21314,9410,9630,19043,42007,42707,84708,5059,4963,10027,56471,57306,113778,1099,1024,2121,2393,2307,4703,398,376,779,3894,3708,7596,1173,1048,2221,2226,2285,4506,466,428,889,3858,3755,7617,1071,1020,2090,2434,2238,4676,480,448,920,3981,3705,7683,906,907,1814,2093
106,1131,9623,9072,18694,924,870,1797,7494,7009,14501,502,505,1008,8925,8384,17310,761,755,1516,7190,6761,13947,470,474,945,8417,7994,16410,730,583,1311,6428,6447,12877,493,407,902,7648,7438,15088,543,514,1061,6624,6909,13530,519,486,1011,7691,7910,15598,434,430,862,6906,7226,14127,504,518,1021,7831,8173,16004,410,353,766,6904,6929,13836,472,411,882,7782,7694,15484,364,396,763,7458,7739,15200,525,510,1033,8347,8645,16994,375,423,801,7566,7897,15467,570,526,1095,8509,8847,17361,329,390,722,7684,7934,15617,556,521,1079,8571,8847,17418,299,337,642,7747,7953,15697,554,519,1069,8596,8809,17405,197,206,405,7223,7473,14690,541,526,1066,7957,8203,16165,311,354,665,19963,21971,41927,1640,1994,3628,21907,24311,46222,7655,7423,15080,114552,116957,231511,8426,8399,16824,130636,132780,263419,1383,1328,2710,7278,6897,14176,343,349,692,9000,8573,17579,1494,1340,2833,8075,7649,15725,483,431,914,10056,9415,19473,1468,1353,2822,8252,7886,16139,466,417,884,10190,9653,19848,1270,1128,2396,7477
107,712,9521,8987,18503,496,450,947,8197,7912,16110,387,347,740,9084,8705,17793,477,489,966,8851,8358,17210,395,413,808,9717,9259,18980,389,370,756,9921,9127,19044,550,496,1054,10866,9989,20857,303,310,613,8336,8217,16558,500,429,932,9135,8963,18102,250,236,484,8015,8395,16411,467,435,897,8735,9061,17794,193,216,408,8050,8319,16368,405,348,749,8642,8877,17527,222,218,441,8726,9250,17975,431,422,857,9379,9890,19264,186,231,416,8539,9048,17582,462,422,882,9183,9699,18878,172,238,412,9048,9256,18299,502,442,939,9721,9930,19649,146,195,344,8722,9188,17914,502,454,957,9372,9842,19210,116,118,238,7579,8329,15911,444,427,874,8145,8877,17024,183,231,414,22316,26229,48543,1513,1977,3485,24005,28434,52441,4084,4276,8368,133037,137391,270429,7364,7342,14699,144487,149008,293498,644,603,1247,8254,7729,15979,328,277,603,9220,8611,17827,645,601,1247,8731,8164,16898,370,401,766,9743,9162,18904,633,627,1261,8962,8399,17363,384,377,760,9979,9398,19381,613,575,1191,8686
108,746,6221,5973,12202,804,773,1583,5054,4864,9920,391,358,750,6243,6003,12248,700,653,1353,4893,4694,9588,396,361,758,5993,5707,11697,542,503,1046,3490,3399,6890,292,294,588,4326,4198,8520,421,429,847,3432,3706,7136,282,309,588,4134,4434,8567,321,356,678,3542,3919,7464,292,265,554,4160,4542,8698,278,293,568,3856,4238,8093,262,291,555,4397,4822,9215,327,365,695,4805,5291,10092,364,338,699,5495,5997,11492,289,388,679,5373,5840,11218,442,407,845,6106,6630,12739,303,355,660,6141,6716,12857,489,486,975,6932,7555,14489,274,338,608,6906,7773,14678,572,510,1079,7752,8616,16371,254,252,500,7404,7759,15156,549,533,1080,8202,8546,16742,405,445,844,25567,28017,53581,2099,2422,4518,28065,30885,58946,6564,6773,13334,89619,94862,184478,7110,7270,14381,103299,108903,212197,902,877,1777,3967,3831,7801,315,299,609,5188,5002,10190,978,973,1959,4677,4553,9224,411,423,828,6064,5947,12011,1023,996,2016,5504,5221,10726,446,439,890,6974,6658,13636,875,856,1731,4976
109,503,3731,3618,7352,236,242,474,3118,3099,6220,256,240,493,3605,3577,7187,205,190,392,3075,2967,6041,236,235,471,3509,3394,6901,161,162,325,2743,2719,5461,278,247,524,3190,3125,6311,114,145,256,2598,2736,5331,262,234,493,2968,3114,6084,104,109,216,2748,2887,5636,235,242,474,3086,3247,6333,76,97,175,2636,2844,5483,204,215,415,2911,3158,6068,88,116,202,2940,3123,6067,260,241,502,3289,3484,6768,86,115,201,3178,3341,6518,284,260,544,3552,3715,7266,99,114,209,3333,3510,6847,282,241,520,3716,3864,7579,78,88,164,3677,3812,7488,342,348,684,4094,4241,8339,61,70,133,3585,3600,7186,343,327,666,3987,3992,7984,111,121,231,10645,11566,22217,1069,1207,2274,11824,12891,24719,1910,2039,3947,50593,52204,102796,4551,4504,9054,57057,58738,115802,322,280,596,3082,2962,6051,248,245,491,3653,3486,7139,314,255,572,3281,3082,6364,311,267,583,3910,3605,7516,272,303,578,3319,3180,6499,311,254,566,3905,3735,7636,253,273,523,3080
110,916,6248,6030,12283,1019,1007,2030,4513,4381,8890,439,438,879,5970,5826,11801,944,917,1858,4560,4244,8803,483,441,925,5988,5605,11590,694,781,1479,4103,4053,8155,433,441,877,5238,5277,10510,573,576,1152,3992,4256,8241,410,427,833,4967,5255,10226,488,512,1007,3968,4195,8157,418,401,821,4877,5106,9986,421,488,912,3788,4143,7939,402,366,762,4608,4998,9612,431,521,955,4331,4517,8848,435,412,849,5196,5459,10647,476,510,982,4637,4790,9432,440,470,907,5552,5771,11325,424,495,920,4973,5189,10164,501,505,1003,5892,6186,12080,410,430,833,5250,5588,10835,525,546,1070,6178,6564,12737,294,312,611,5140,4963,10105,532,446,981,5969,5721,11695,503,587,1091,14649,16481,31126,1529,1767,3297,16681,18831,35509,9065,9355,18414,72738,75363,148102,7458,7581,15044,89259,92299,181559,1327,1162,2491,3871,3447,7319,458,417,874,5661,5026,10684,1395,1273,2674,4214,4111,8328,584,583,1163,6196,5969,12164,1314,1279,2597,4513,4321,8832,611,614,1224,6439,6214,12649,1073,1106,2177,4128
