SA4_CODE_2021,NegNil_Inc_BE_WFT,NegNil_Inc_BE_WPT,NegNil_Inc_BE_BAW,NegNil_Inc_1EFT_OthPT,NegNil_Inc_1EFT_OthAW,NegNil_Inc_1EFT_OthNW,NegNil_Inc_1EPT_OthAW,NegNil_Inc_1EPT_OthNW,NegNil_Inc_1AW_OthNW,NegNil_Inc_BNW,NegNil_Inc_LFsta_NS,NegNil_Inc_Tot,I_1_149_BE_WFT,I_1_149_BE_WPT,I_1_149_BE_BAW,I_1_149_1EFT_OthPT,I_1_149_1EFT_OthAW,I_1_149_1EFT_OthNW,I_1_149_1EPT_OthAW,I_1_149_1EPT_OthNW,I_1_149_1AW_OthNW,I_1_149_BNW,I_1_149_LFsta_NS,I_1_149_Tot,I_150_299_BE_WFT,I_150_299_BE_WPT,I_150_299_BE_BAW,I_150_299_1EFT_OthPT,I_150_299_1EFT_OthAW,I_150_299_1EFT_OthNW,I_150_299_1EPT_OthAW,I_150_299_1EPT_OthNW,I_150_299_1AW_OthNW,I_150_299_BNW,I_150_299_LFsta_NS,I_150_299_Tot,I_300_399_BE_WFT,I_300_399_BE_WPT,I_300_399_BE_BAW,I_300_399_1EFT_OthPT,I_300_399_1EFT_OthAW,I_300_399_1EFT_OthNW,I_300_399_1EPT_OthAW,I_300_399_1EPT_OthNW,I_300_399_1AW_OthNW,I_300_399_BNW,I_300_399_LFsta_NS,I_300_399_Tot,I_400_499_BE_WFT,I_400_499_BE_WPT,I_400_499_BE_BAW,I_400_499_1EFT_OthPT,I_400_499_1EFT_OthAW,I_400_499_1EFT_OthNW,I_400_499_1EPT_OthAW,I_400_499_1EPT_OthNW,I_400_499_1AW_OthNW,I_400_499_BNW,I_400_499_LFsta_NS,I_400_499_Tot,I_500_649_BE_WFT,I_500_649_BE_WPT,I_500_649_BE_BAW,I_500_649_1EFT_OthPT,I_500_649_1EFT_OthAW,I_500_649_1EFT_OthNW,I_500_649_1EPT_OthAW,I_500_649_1EPT_OthNW,I_500_649_1AW_OthNW,I_500_649_BNW,I_500_649_LFsta_NS,I_500_649_Tot,I_650_799_BE_WFT,I_650_799_BE_WPT,I_650_799_BE_BAW,I_650_799_1EFT_OthPT,I_650_799_1EFT_OthAW,I_650_799_1EFT_OthNW,I_650_799_1EPT_OthAW,I_650_799_1EPT_OthNW,I_650_799_1AW_OthNW,I_650_799_BNW,I_650_799_LFsta_NS,I_650_799_Tot,I_800_999_BE_WFT,I_800_999_BE_WPT,I_800_999_BE_BAW,I_800_999_1EFT_OthPT,I_800_999_1EFT_OthAW,I_800_999_1EFT_OthNW,I_800_999_1EPT_OthAW,I_800_999_1EPT_OthNW,I_800_999_1AW_OthNW,I_800_999_BNW,I_800_999_LFsta_NS,I_800_999_Tot,I_1000_1249_BE_WFT,I_1000_1249_BE_WPT,I_1000_1249_BE_BAW,I_1000_1249_1EFT_OthPT,I_1000_1249_1EFT_OthAW,I_1000_1249_1EFT_OthNW,I_1000_1249_1EPT_OthAW,I_1000_1249_1EPT_OthNW,I_1000_1249_1AW_OthNW,I_1000_1249_BNW,I_1000_1249_LFsta_NS,I_1000_1249_Tot,I_1250_1499_BE_WFT,I_1250_1499_BE_WPT,I_1250_1499_BE_BAW,I_1250_1499_1EFT_OthPT,I_1250_1499_1EFT_OthAW,I_1250_1499_1EFT_OthNW,I_1250_1499_1EPT_OthAW,I_1250_1499_1EPT_OthNW,I_1250_1499_1AW_OthNW,I_1250_1499_BNW,I_1250_1499_LFsta_NS,I_1250_1499_Tot,I_1500_1749_BE_WFT,I_1500_1749_BE_WPT,I_1500_1749_BE_BAW,I_1500_1749_1EFT_OthPT,I_1500_1749_1EFT_OthAW,I_1500_1749_1EFT_OthNW,I_1500_1749_1EPT_OthAW,I_1500_1749_1EPT_OthNW,I_1500_1749_1AW_OthNW,I_1500_1749_BNW,I_1500_1749_LFsta_NS,I_1500_1749_Tot,I_1750_1999_BE_WFT,I_1750_1999_BE_WPT,I_1750_1999_BE_BAW,I_1750_1999_1EFT_OthPT,I_1750_1999_1EFT_OthAW,I_1750_1999_1EFT_OthNW,I_1750_1999_1EPT_OthAW,I_1750_1999_1EPT_OthNW,I_1750_1999_1AW_OthNW,I_1750_1999_BNW,I_1750_1999_LFsta_NS,I_1750_1999_Tot,I_2000_2499_BE_WFT,I_2000_2499_BE_WPT,I_2000_2499_BE_BAW,I_2000_2499_1EFT_OthPT,I_2000_2499_1EFT_OthAW,I_2000_2499_1EFT_OthNW,I_2000_2499_1EPT_OthAW,I_2000_2499_1EPT_OthNW,I_2000_2499_1AW_OthNW,I_2000_2499_BNW,I_2000_2499_LFsta_NS,I_2000_2499_Tot,I_2500_2999_BE_WFT,I_2500_2999_BE_WPT,I_2500_2999_BE_BAW,I_2500_2999_1EFT_OthPT,I_2500_2999_1EFT_OthAW,I_2500_2999_1EFT_OthNW,I_2500_2999_1EPT_OthAW,I_2500_2999_1EPT_OthNW,I_2500_2999_1AW_OthNW,I_2500_2999_BNW,I_2500_2999_LFsta_NS,I_2500_2999_Tot,I_3000_3499_BE_WFT,I_3000_3499_BE_WPT,I_3000_3499_BE_BAW,I_3000_3499_1EFT_OthPT,I_3000_3499_1EFT_OthAW,I_3000_3499_1EFT_OthNW,I_3000_3499_1EPT_OthAW,I_3000_3499_1EPT_OthNW,I_3000_3499_1AW_OthNW,I_3000_3499_BNW,I_3000_3499_LFsta_NS,I_3000_3499_Tot,I_3500_3999_BE_WFT,I_3500_3999_BE_WPT,I_3500_3999_BE_BAW,I_3500_3999_1EFT_OthPT,I_3500_3999_1EFT_OthAW,I_3500_3999_1EFT_OthNW,I_3500_3999_1EPT_OthAW,I_3500_3999_1EPT_OthNW,I_3500_3999_1AW_OthNW,I_3500_3999_BNW,I_3500_3999_LFsta_NS,I_3500_3999_Tot,I_4000more_BE_WFT,I_4000more_BE_WPT,I_4000more_BE_BAW,I_4000more_1EFT_OthPT,I_4000more_1EFT_OthAW,I_4000more_1EFT_OthNW,I_4000more_1EPT_OthAW,I_4000more_1EPT_OthNW
101,18,5,0,11,0,3,0,17,0,442,6,515,7,12,4,0,0,6,3,19,10,194,0,257,3,5,0,0,0,3,0,22,6,108,0,147,4,7,0,6,0,8,0,24,4,85,0,126,16,19,0,21,0,12,3,69,14,596,11,760,9,28,0,26,3,26,3,120,14,322,10,561,37,43,4,27,5,80,7,284,25,2817,41,3385,63,112,12,74,13,130,20,326,40,1440,23,2241,90,182,7,145,9,269,23,305,40,1385,15,2471,159,288,21,396,27,308,43,309,46,1387,18,2999,141,118,18,349,20,211,18,153,36,517,9,1607,338,158,19,361,31,206,18,141,29,502,9,1802,1011,221,38,769,84,387,61,221,46,614,9,3449,922,92,19,590,65,185,36,122,22,281,4,2341,810,76,29,346,67,137,33,76,12,185,4,1767,593,40,18,160,44,47,21,23,11,71,3,1028,1356,115,37,463,111,304,32,94
102,0,4,3,3,0,6,0,6,3,654,15,700,0,11,0,0,0,5,0,17,0,273,3,303,0,4,0,0,0,0,0,29,8,147,0,199,0,0,0,0,0,4,0,16,9,145,3,183,3,17,7,0,0,7,0,60,13,826,14,952,0,21,4,0,0,24,4,112,27,468,0,666,6,42,10,10,3,62,13,256,87,4266,57,4806,9,71,16,33,7,157,21,350,100,2310,33,3111,45,133,30,87,16,289,44,375,94,2155,28,3287,89,268,47,258,59,368,94,405,101,2024,21,3732,115,154,37,333,85,343,74,215,60,646,11,2060,256,168,32,377,108,348,67,183,66,652,7,2267,1070,332,74,1002,264,612,142,250,88,690,14,4538,932,166,50,699,257,244,74,129,33,285,7,2885,796,96,34,466,122,197,43,73,20,184,11,2057,582,46,5,225,77,62,22,32,11,82,6,1149,1247,122,26,475,135,376,32,112
103,30,12,8,18,4,9,0,6,3,324,6,415,8,6,3,3,0,7,0,14,0,158,0,219,0,6,0,0,0,6,0,15,0,66,6,112,3,4,0,3,0,3,0,26,0,72,6,110,23,21,5,17,0,13,0,54,12,534,18,700,9,9,0,13,0,26,0,89,11,234,8,404,50,53,10,32,5,70,0,228,17,2438,43,2937,60,78,15,57,12,150,15,260,30,1081,12,1756,91,133,14,119,10,285,22,226,45,980,14,1942,166,182,22,327,20,293,24,247,41,916,16,2250,160,101,8,349,24,228,19,114,24,242,8,1267,306,92,22,385,30,208,18,115,19,237,8,1436,997,162,36,716,78,336,28,138,33,262,7,2794,886,78,18,545,62,127,36,70,15,142,3,1970,627,48,17,301,43,112,12,23,16,90,10,1303,466,19,5,145,24,30,4,14,0,39,0,759,835,64,19,336,49,189,17,55
104,11,0,0,7,4,6,0,3,0,272,9,307,8,4,0,0,0,3,0,11,0,155,0,174,0,0,0,0,0,9,0,23,6,71,0,116,0,4,0,0,0,3,0,15,0,80,0,103,7,15,0,3,0,10,0,47,7,446,9,547,0,11,0,0,0,20,0,88,12,240,0,373,16,43,8,18,0,38,3,179,21,2354,38,2722,26,82,7,41,5,97,6,248,32,1175,17,1726,56,146,13,107,4,197,15,241,21,1042,11,1856,114,174,15,263,13,174,24,231,27,971,12,2017,83,81,9,248,16,137,15,104,33,312,4,1049,212,104,4,272,22,123,10,93,12,280,0,1135,579,142,14,477,45,198,37,92,25,303,8,1933,417,86,15,313,28,94,12,44,6,130,0,1147,300,33,10,191,27,55,10,27,8,90,4,755,170,19,6,83,19,23,10,11,5,29,0,367,320,37,10,165,20,73,6,35
105,43,0,4,15,3,10,0,5,5,163,3,258,7,9,0,0,0,0,0,7,4,60,4,94,0,0,0,4,0,4,0,5,0,32,0,44,3,0,0,3,0,0,0,7,0,35,0,49,17,8,0,12,0,7,0,26,5,254,0,333,6,0,0,10,0,17,0,55,4,136,4,235,32,26,9,13,0,33,7,101,12,1188,16,1444,37,24,0,34,0,97,5,126,12,502,5,845,68,55,5,86,4,152,11,106,15,404,9,920,95,81,8,205,10,127,12,97,23,372,9,1047,98,46,11,149,8,111,10,48,15,75,0,574,213,61,5,165,18,110,10,33,7,100,0,723,626,84,16,382,55,163,21,45,12,95,3,1505,481,36,16,252,36,61,11,26,3,59,0,978,358,13,8,139,29,48,10,15,8,38,7,678,228,12,3,58,18,13,0,4,0,15,3,354,409,29,8,121,23,49,5,17
106,15,5,0,10,0,9,0,15,5,557,4,627,8,8,0,4,0,3,0,19,6,231,4,280,0,3,0,3,0,4,0,34,6,120,3,185,0,0,0,0,0,5,0,16,4,116,0,146,15,26,4,3,0,9,0,74,7,715,7,866,8,16,3,9,0,27,0,119,15,433,4,637,23,63,13,23,0,58,8,256,49,3663,50,4194,28,89,12,46,9,142,14,343,53,1892,16,2641,40,147,13,100,18,286,15,331,73,1731,14,2778,135,232,37,360,34,372,44,320,51,1615,22,3229,158,110,12,353,38,325,44,162,40,457,11,1703,307,147,8,431,50,273,18,128,49,479,14,1908,1294,220,45,949,134,633,72,180,71,492,4,4091,1057,93,33,709,117,175,58,97,30,209,5,2575,880,69,23,462,73,200,24,49,23,115,3,1945,589,35,19,222,42,55,17,28,10,58,0,1061,1002,73,25,386,98,259,34,75
107,3,3,0,0,0,6,0,4,0,606,14,645,0,9,5,6,0,0,0,12,3,218,0,246,0,0,0,3,0,0,0,19,8,121,0,160,0,0,0,0,0,5,0,25,3,121,4,154,0,9,0,5,0,5,4,69,15,748,8,871,7,6,3,0,0,25,4,109,27,485,3,672,7,20,8,12,0,48,9,200,50,3581,54,3986,8,60,16,15,0,109,19,283,74,2101,18,2712,18,125,18,66,13,249,41,293,82,1826,21,2757,67,176,36,241,53,300,83,337,86,1703,12,3094,82,116,34,261,61,292,66,173,71,586,3,1750,194,135,33,339,105,314,50,144,46,564,7,1935,818,254,46,830,243,593,125,263,78,663,5,3921,970,160,38,728,180,262,83,129,37,288,5,2874,871,79,21,478,142,189,44,66,26,176,8,2098,724,43,5,246,67,59,11,24,9,78,0,1279,1289,96,29,447,127,295,20,113
108,14,4,4,9,0,8,0,6,4,535,17,600,10,6,0,4,0,0,0,18,3,259,0,312,3,3,0,0,0,3,0,41,6,158,0,220,0,0,0,3,0,7,0,44,3,147,3,211,16,27,0,9,0,16,0,88,16,869,17,1058,5,22,0,20,0,33,4,148,29,478,9,745,36,81,9,43,4,86,15,345,45,4836,76,5563,56,118,10,64,7,149,9,438,57,2423,28,3373,71,201,11,138,11,275,32,403,62,2060,28,3293,162,305,27,385,24,278,42,339,55,2001,26,3646,143,156,18,316,12,207,28,192,28,532,14,1653,277,157,17,377,32,177,23,125,31,530,8,1747,856,197,38,643,77,273,44,177,49,530,6,2891,550,116,24,393,61,109,29,76,22,263,0,1637,383,60,7,229,37,95,14,29,15,160,9,1034,250,22,8,108,17,36,10,18,7,45,0,521,470,76,21,230,38,112,9,67
109,17,7,5,6,5,8,0,4,0,218,7,278,7,9,0,0,0,4,0,8,4,98,3,134,0,4,0,0,0,5,0,21,0,58,0,86,0,0,0,0,0,3,0,15,0,29,0,57,13,11,6,12,0,12,3,37,3,314,5,414,8,11,0,7,0,21,0,69,15,158,9,295,18,26,4,23,6,36,7,154,20,1641,29,1953,32,47,8,37,3,108,5,162,15,814,18,1245,59,76,4,86,9,166,12,163,29,681,7,1300,122,126,14,240,21,179,17,154,22,615,10,1512,103,61,6,206,15,120,8,84,13,162,3,786,211,66,10,246,22,115,17,45,18,174,4,925,672,113,22,516,47,177,27,84,28,175,7,1862,514,49,14,311,36,62,9,36,8,99,3,1141,358,27,9,184,25,36,6,28,8,58,7,741,183,7,4,85,15,19,0,6,3,25,0,359,354,27,3,175,23,64,7,22
110,68,11,9,20,0,15,0,10,0,255,13,402,12,4,3,5,3,11,0,13,4,123,0,182,8,6,0,6,0,5,0,18,3,63,5,117,4,0,0,0,0,12,0,10,0,56,0,81,25,23,7,29,0,30,5,48,11,463,10,637,12,15,0,17,0,30,6,88,11,217,0,403,44,61,11,51,8,59,4,215,39,2306,45,2835,49,91,10,73,5,164,13,238,36,934,17,1624,137,118,13,141,14,242,12,219,29,804,19,1746,216,180,25,379,29,213,28,169,20,758,21,2038,175,82,3,327,24,187,26,87,29,196,0,1122,395,101,14,369,34,160,9,66,6,196,12,1368,1078,123,28,616,68,234,32,100,33,230,14,2552,740,57,16,390,42,99,20,41,12,83,3,1507,534,31,14,239,32,65,13,29,11,84,5,1047,323,18,11,95,24,32,3,15,3,29,0,553,653,51,13,253,34,96,8,24
