SA4_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
101,97725,99836,197558,40671,26321,66989,12957,23889,36848,3422,4154,7584,2250,1749,4005,59307,56116,115425,31825,37338,69160,3.8,3.1,3.5,60.7,56.2,58.4,58.4,54.5,56.4,4683,4880,9566,1628,3272,4900,10150,15229,25381,7449,11083,18535,25852,13377,39228,919,1704,2620,1569,2631,4199,28342,17704,46045,93329,94492,187827,15721,16201,31927,61770,61895,123664,41778,43617,85393
102,135785,148463,284248,48927,30365,79291,19158,33766,52926,8078,10543,18623,4195,3268,7463,80361,77935,158296,47870,61981,109849,5.2,4.2,4.7,59.2,52.5,55.7,56.1,50.3,53.1,4720,5324,10042,1600,3425,5020,14300,21385,35685,10744,17041,27784,38179,21493,59670,1402,2610,4010,2649,4463,7110,42232,28560,70788,135314,143689,279003,21761,23126,44882,89860,95013,184867,58720,63770,122490
103,84902,86692,171594,36815,21734,58548,9561,21189,30750,2847,3378,6225,2261,1791,4057,51482,48089,99573,27165,32665,59825,4.4,3.7,4.1,60.6,55.5,58,58,53.4,55.7,2265,2744,5005,871,2038,2908,6925,12086,19013,5012,8518,13528,23427,12890,36315,957,1735,2690,1324,2396,3723,25703,17025,42729,82081,83556,165643,13621,14276,27899,54673,54931,109607,35629,37961,73594
104,58824,62467,121293,18892,12309,31206,8528,15431,23965,1882,2148,4028,1983,1533,3520,31292,31423,62713,23482,26838,50320,6.3,4.9,5.6,53.2,50.3,51.7,49.8,47.8,48.8,1501,1864,3364,773,1615,2390,5360,8490,13851,3956,6817,10769,16085,9253,25340,664,1223,1889,1077,1779,2853,17825,12264,30082,55542,58499,114039,9401,10265,19664,36680,38010,74691,24991,27602,52591
105,45590,47084,92669,19199,12678,31876,4507,9803,14310,1529,1782,3312,1287,976,2265,26524,25237,51763,13898,16564,30459,4.9,3.9,4.4,58.2,53.6,55.9,55.4,51.5,53.4,962,1281,2245,361,949,1315,2998,5964,8963,2250,3980,6227,11149,6346,17498,448,904,1350,600,1057,1661,12191,8313,20507,42049,43202,85253,7012,7514,14520,29103,29297,58397,16870,18487,35355
106,115891,119155,235041,49210,27064,76279,13700,30109,43803,4757,5984,10737,3581,2903,6487,71248,66060,137309,38380,47209,85594,5,4.4,4.7,61.5,55.4,58.4,58.4,53,55.7,2417,2882,5305,980,2299,3285,8084,13657,21741,7997,12383,20384,37111,21142,58250,1283,2555,3836,1735,3376,5113,40128,27076,67198,113622,116622,230247,20206,21205,41413,72078,73003,145083,54213,57675,111893
107,125125,132598,257723,48631,28827,77454,16983,31467,48452,7361,9464,16826,3900,3048,6950,76874,72809,149685,42228,53562,95788,5.1,4.2,4.6,61.4,54.9,58.1,58.3,52.6,55.4,6901,7460,14356,1837,3837,5677,15911,21587,37495,10226,14365,24594,34352,17609,51965,1134,2302,3435,2040,4051,6091,37529,23963,61494,124986,129256,254247,20109,21351,41466,85401,88423,173825,51914,54898,106817
108,93102,100094,193195,27158,17716,44874,12237,22541,34778,2902,3416,6321,3029,2257,5283,45330,45930,91257,41526,47611,89140,6.7,4.9,5.8,48.7,45.9,47.2,45.4,43.6,44.5,2109,2496,4608,1019,2091,3108,7220,11668,18892,6140,10514,16656,27178,15095,42276,1023,2097,3118,1691,3049,4735,29896,20244,50133,87263,92742,180004,14523,15824,30349,57426,60169,117598,39822,44047,83868
109,49443,51818,101262,21077,11830,32905,5753,13318,19072,1579,1997,3583,1313,1024,2338,29730,28166,57892,15650,19720,35373,4.4,3.6,4,60.1,54.4,57.2,57.5,52.4,54.9,1070,1407,2477,555,1351,1904,3848,6859,10711,3233,5100,8331,13365,7379,20746,455,878,1329,656,1080,1734,14471,9338,23813,47041,48554,95594,8112,8596,16705,31292,31872,63165,20855,22395,43254
110,72974,77085,150057,30476,19070,49547,8265,17267,25529,2268,2794,5063,2203,1871,4076,43210,41001,84212,22484,28696,51183,5.1,4.6,4.8,59.2,53.2,56.1,56.2,50.8,53.4,2107,2591,4696,729,1760,2486,5574,9911,15486,3906,7035,10950,17959,10818,28776,846,1549,2386,1046,1956,3007,19843,14325,34170,68010,70278,138290,12753,13631,26383,45720,46837,92556,30345,32936,63285
111,156252,166643,322898,64907,40312,105219,22708,44763,67473,5880,7767,13645,5418,3824,9240,98910,96664,195577,49900,62222,112119,5.5,4,4.7,63.3,58,60.6,59.8,55.7,57.7,7732,8571,16305,2320,4697,7015,21161,29790,50953,12343,17548,29898,42816,22587,65407,1575,2747,4315,2585,4485,7071,46983,29817,76794,152736,159022,311758,27479,29540,57019,100682,104289,204973,70296,75316,145613
112,102417,111823,214236,33947,21426,55373,17169,30025,47194,3722,4581,8307,3020,2515,5533,57851,58552,116412,36464,44816,81279,5.2,4.3,4.8,56.5,52.4,54.3,53.5,50.1,51.8,3456,4521,7978,1466,3151,4619,11958,18441,30389,7646,12758,20404,26348,14427,40775,969,1816,2784,1711,3129,4840,29024,19378,48403,96378,102178,198557,17053,18976,36031,63392,66329,129716,44657,49772,94426
113,65059,66604,131660,30771,17623,48398,7145,16643,23781,2037,2498,4538,1671,1352,3029,41627,38115,79746,18629,23859,42487,4,3.5,3.8,64,57.2,60.6,61.4,55.2,58.3,1544,1809,3358,642,1509,2148,5178,9092,14271,3631,6025,9650,16893,9285,26176,697,1283,1979,910,1662,2570,18497,12230,30725,62545,64064,126611,10786,11424,22213,41203,41871,83073,27840,29482,57321
114,65553,69352,134907,22343,13094,35436,9057,16536,25594,2316,2809,5122,1613,1287,2900,35331,33724,69056,26314,31584,57905,4.6,3.8,4.2,53.9,48.6,51.2,51.4,46.8,49,2741,3000,5743,921,2034,2955,6873,10011,16886,5048,8003,13051,19111,9343,28458,629,1297,1930,1239,2259,3497,20981,12899,33883,61712,64810,126520,10722,11454,22180,40590,42334,82932,28435,30751,59190
115,102863,107538,210397,48090,31667,79754,14215,24311,38529,6246,7575,13828,2940,2405,5344,71501,65957,137454,28141,38128,66269,4.1,3.6,3.9,69.5,61.3,65.3,66.6,59.1,62.8,11958,11078,23038,1984,3200,5178,22834,27115,49951,9424,12866,22289,18860,8312,27173,572,1272,1845,1813,2998,4806,21246,12582,33827,108898,111138,220034,17139,17648,34792,71872,73225,145091,47808,49373,97186
116,153377,156538,309913,61298,44425,105722,18856,27957,46812,13545,10850,24396,5763,5177,10944,99466,88413,187873,45048,59289,104339,5.8,5.9,5.8,64.8,56.5,60.6,61.1,53.2,57.1,13112,13043,26154,1854,2961,4814,27036,33327,60364,13072,14641,27714,24215,14558,38779,1134,2056,3192,2245,3194,5438,27603,19809,47411,157976,160001,317981,27481,27681,55160,95858,97687,193549,76776,77888,154668
117,153568,144949,298518,69647,54121,123775,22727,26750,49482,9454,10103,19559,5830,4917,10751,107664,95897,203559,34846,39813,74660,5.4,5.1,5.3,70.1,66.2,68.2,66.3,62.8,64.6,21688,22126,43810,3499,4640,8142,45767,47548,93311,13974,14501,28476,14618,7116,21734,849,1040,1884,1865,2195,4063,17334,10350,27684,110685,104617,215302,46818,45161,91980,57441,55179,112617,94227,89369,183603
118,105703,115684,221391,48319,39405,87723,15148,23160,38306,5401,7218,12616,2927,2728,5651,71791,72499,144290,27466,36461,63924,4.1,3.8,3.9,67.9,62.7,65.2,65.1,60.3,62.6,14929,15631,30555,2180,3885,6068,31668,38595,70260,7918,11741,19661,11565,5058,16622,477,828,1304,1432,2239,3670,13472,8119,21597,92091,99181,191275,24711,27397,52108,56007,61418,117427,55290,59912,115204
119,245348,250979,496332,73741,55682,129424,32200,42856,75052,22893,18233,41129,9758,6931,16689,138582,123701,262286,90315,110890,201203,7,5.6,6.4,56.5,49.3,52.8,52.5,46.5,49.5,18776,18191,36971,2839,4706,7549,44380,50079,94458,21449,26500,47958,34287,17162,51446,1582,2838,4419,3816,5963,9781,39685,25962,65648,238823,243090,481913,41376,39426,80801,159603,166404,326009,104689,101456,206146
120,125306,133677,258984,52732,42940,95678,19004,26824,45823,7991,8811,16802,4545,3624,8171,84274,82201,166475,34615,45089,79702,5.4,4.4,4.9,67.3,61.5,64.3,63.6,58.8,61.1,16469,18270,34744,2756,4786,7544,34096,39080,73175,11763,14211,25977,13461,6938,20393,681,1087,1766,1842,2666,4507,15982,10691,26671,112124,119247,231375,28131,28762,56896,68596,75112,143710,64903,66680,131586
121,164993,182860,347853,79238,59017,138256,23127,38077,61202,7587,10425,18013,4769,4224,8997,114725,111745,226464,44924,64916,109840,4.2,3.8,4,69.5,61.1,65.1,66.6,58.8,62.5,29247,28497,57739,4729,7595,12320,53572,60567,114134,13626,19770,33401,13717,7520,21233,777,1330,2109,2402,4142,6546,16898,12989,29892,162834,175248,338082,33314,35909,69219,103145,112229,215374,83719,90090,173808
122,103861,110961,214822,47514,31470,78987,16555,27543,44098,5432,7711,13145,2473,2034,4513,71976,68759,140732,28054,37880,65932,3.4,3,3.2,69.3,62,65.5,66.9,60.1,63.4,9780,9541,19314,2110,3927,6038,25514,30221,55730,10105,14773,24872,18495,7604,26095,621,1311,1930,2103,3453,5561,21223,12362,33585,105429,110078,215507,17683,18556,36241,70824,74510,145337,46415,48355,94773
123,112256,118690,230946,45239,29991,75229,14307,24292,38596,9976,9133,19111,3540,3263,6803,73058,66683,139743,33290,45594,78885,4.8,4.9,4.9,65.1,56.2,60.5,61.9,53.4,57.6,5369,5871,11243,1124,2275,3400,12250,17774,30023,9019,12942,21962,28531,15216,43745,928,2058,2984,1885,3127,5014,31347,20403,51746,119441,123570,243011,17426,17890,35318,76928,78957,155886,50716,53560,104280
124,128840,136424,265262,53399,36078,89479,17882,28970,46848,9250,10334,19589,3802,3212,7011,84334,78598,162929,37755,50679,88437,4.5,4.1,4.3,65.5,57.6,61.4,62.5,55.3,58.8,6180,7692,13874,1738,3491,5232,14440,21453,35896,10269,15179,25441,33369,18283,51655,1179,2323,3512,2203,3477,5685,36755,24084,60847,132439,137228,269669,19680,20776,40458,87923,91077,179002,54847,58164,113008
125,203119,195903,399020,66650,47794,114450,25694,32185,57872,17043,12841,29887,8585,6701,15283,117973,99522,217494,70504,83367,153879,7.3,6.7,7,58.1,50.8,54.5,53.9,47.4,50.7,21390,19642,41034,2581,4050,6631,40616,43246,83862,17047,19610,36659,23412,12435,35846,1222,2043,3267,2629,3879,6511,27263,18359,45622,189931,186618,376549,41170,37860,79025,114149,116095,230245,102631,95244,197874
126,80762,86849,167614,35358,26316,61675,11384,17147,28534,4873,5519,10393,2716,2509,5227,54331,51496,105821,23093,31657,54750,5,4.9,4.9,67.3,59.3,63.1,63.9,56.4,60,13474,13159,26631,1701,2872,4575,23519,26083,49601,6870,8867,15743,8231,4231,12460,411,729,1142,1099,1967,3068,9741,6928,16669,76896,81360,158254,16920,17442,34364,46986,50145,97130,42350,44242,86590
127,183872,191563,375436,54958,39473,94430,19874,28595,48469,17000,13120,30123,7244,5716,12963,99080,86902,185978,72947,92917,165862,7.3,6.6,7,53.9,45.4,49.5,49.9,42.4,46.1,6449,7263,13706,1207,2441,3651,21676,27574,49247,13968,18605,32568,29857,16472,46330,1315,2577,3891,2614,4071,6684,33787,23116,56904,192712,197016,389726,25883,26710,52592,125745,129045,254791,79115,81876,160990
128,90325,96867,187196,40693,26731,67426,12894,23762,36652,5658,7365,13019,2104,1632,3736,61351,59486,120830,25783,33836,59616,3.4,2.7,3.1,67.9,61.4,64.5,65.6,59.7,62.6,5649,6002,11650,1569,3062,4630,15695,20652,36353,9269,12955,22223,23728,9399,33124,648,1379,2028,1997,3492,5490,26368,14269,40640,93731,98014,191740,13456,14132,27585,65647,68813,134461,36051,37997,74052
197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,50,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,5734,4381,10112,762,470,1229,410,506,910,216,155,370,392,252,647,1775,1382,3161,1917,1722,3630,22.1,18.4,0,31,31.6,0,24.1,25.8,0,146,181,327,33,76,109,425,540,969,274,339,614,858,463,1326,55,72,127,74,104,176,985,636,1621,1117,690,1808,2858,2673,5527,761,424,1186,3046,2835,5882
201,69115,73740,142855,28081,15685,43769,9426,19810,29238,2513,3324,5837,2061,1665,3730,42090,40489,82575,22724,28857,51581,4.9,4.1,4.5,60.9,54.9,57.8,57.9,52.6,55.2,2841,3479,6322,1419,2932,4345,7675,11552,19233,5230,7815,13044,17541,9699,27240,682,1120,1799,826,1182,2002,19046,11999,31042,67317,70736,138048,11232,12019,23245,44022,45805,89828,30632,33049,63685
202,66314,71381,137698,26826,15220,42046,9310,19610,28925,2387,3273,5656,1779,1459,3242,40307,39558,79864,21838,27464,49300,4.4,3.7,4.1,60.8,55.4,58,58.1,53.4,55.6,2583,3423,6009,1424,3152,4578,7582,11603,19189,5218,7551,12768,16772,9012,25786,606,1094,1695,843,1193,2043,18222,11303,29527,65247,68635,133876,9966,10995,20953,42882,44547,87430,28355,31276,59633
203,129587,139095,268681,56071,31235,87307,18864,39876,58741,4786,6736,11518,3728,3076,6807,83455,80919,164369,39491,51319,90810,4.5,3.8,4.1,64.4,58.2,61.2,61.5,56,58.6,6892,7339,14235,2608,5798,8405,18739,26145,44883,11783,16425,28206,31692,17128,48822,1025,1706,2726,1585,2372,3954,34295,21208,55505,125720,132436,258154,23279,25215,48498,77712,81928,159641,63104,67927,131031
204,75047,78234,153276,31263,17553,48813,9668,20458,30124,2996,3816,6816,1704,1337,3041,45632,43164,88794,24190,29833,54021,3.7,3.1,3.4,60.8,55.2,57.9,58.5,53.5,55.9,1767,2515,4284,1207,2833,4036,6265,10679,16944,5829,9197,15019,21502,11061,32563,684,1307,1989,1059,1457,2512,23250,13820,37069,72238,74618,146851,11363,11830,23198,48026,49206,97230,31621,33307,64936
205,121572,128245,249821,45105,23936,69043,14898,32914,47813,4737,5837,10572,3623,2633,6254,68365,65322,133680,44434,53875,98307,5.3,4,4.7,56.2,50.9,53.5,53.3,48.9,51,2637,3680,6317,1663,3902,5569,9353,15860,25215,8555,13949,22507,36163,18090,54250,1107,2156,3260,1640,2262,3899,38904,22505,61408,116299,120614,236917,18135,19557,37693,76662,78472,155138,51035,55166,106203
206,266006,284057,550062,129342,104525,233869,45306,68945,114255,9836,12946,22779,10532,9427,19956,195017,195841,390856,55152,72545,127701,5.4,4.8,5.1,73.3,68.9,71.1,69.4,65.6,67.4,39279,45737,85020,8533,14882,23417,82504,91683,174188,21985,25373,47362,24091,13492,37577,1356,1674,3035,2568,3540,6110,28019,18708,46726,203214,214765,417981,77041,82924,159960,112724,121994,234719,157310,165822,323132
207,149715,164939,314649,64547,43181,107730,24821,41945,66759,4689,6084,10772,5249,4534,9783,99306,95740,195046,45066,63367,108436,5.3,4.7,5,66.3,58,62,62.8,55.3,58.9,21377,20497,41873,4609,7898,12511,42534,47874,90411,13026,16718,29747,13877,7299,21176,709,1044,1747,1620,2751,4367,16202,11096,27292,145989,158433,304423,26630,27720,54351,96659,106334,202990,69090,73041,142135
208,165927,183563,349489,80602,52963,133567,25408,49324,74728,5354,7745,13101,5127,4399,9533,116497,114435,230932,43456,62423,105873,4.4,3.8,4.1,70.2,62.3,66.1,67.1,59.9,63.3,18420,19297,37711,4823,9040,13867,43918,51310,95233,15528,20458,35988,22070,10999,33066,821,1437,2260,2177,3560,5736,25068,15996,41063,165155,178419,343574,29434,31340,60778,108981,119229,228208,76592,81793,158377
209,213566,223604,437166,99370,58112,157484,31240,59379,90619,7675,10148,17819,7814,6679,14494,146096,134317,280414,57715,79765,137476,5.3,5,5.2,68.4,60.1,64.1,64.7,57.1,60.8,16163,17168,33334,4259,8996,13253,35903,45650,81547,20017,24517,44540,41218,20385,61607,1518,2288,3809,2744,4248,6988,45486,26917,72406,220215,226913,447131,32505,33010,65514,146388,152539,298931,91501,93594,185093
210,165579,170650,336226,72679,41022,113704,23734,39777,63507,6218,7518,13731,6851,5885,12735,109480,94204,203685,47054,67764,114821,6.3,6.2,6.3,66.1,55.2,60.6,62,51.8,56.8,9602,9907,19513,2403,5406,7805,23381,29930,53313,15182,18150,33336,31832,15942,47773,1264,1882,3154,2151,3207,5360,35250,21039,56287,170784,173934,344710,26778,26690,53470,107399,111195,218596,77432,77535,154964
211,205898,220103,425997,99434,56131,155563,29296,62103,91402,6939,9926,16868,5946,5343,11289,141617,133514,275126,56778,78688,135465,4.2,4,4.1,68.8,60.7,64.6,65.9,58.2,61.9,13516,14527,28044,4371,8748,13119,34681,44635,79316,19678,26969,46653,47579,22599,70175,1500,2478,3975,2799,4423,7224,51879,29500,81379,217170,227062,444234,24963,26181,51137,153288,160367,313656,76562,81143,157698
212,341651,347284,688939,155928,87468,243400,50846,84962,135805,11675,14063,25743,13145,11716,24864,231596,198212,429807,92178,132038,224215,5.7,5.9,5.8,67.8,57.1,62.4,63.9,53.7,58.8,24998,23971,48966,4617,9245,13859,52971,63365,116337,32161,38433,70596,61345,33210,94554,2547,3872,6425,4247,6362,10606,68143,43448,111587,345954,349788,695737,58419,56578,114992,212470,218402,430873,167604,165123,332731
