SA4_CODE_2021,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_or_lt_rail_M,One_met_Tram_or_lt_rail_F,One_met_Tram_or_lt_rail_P,One_met_Taxi_or_Rideshare_M,One_met_Taxi_or_Rideshare_F,One_met_Taxi_or_Rideshare_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_or_lt_rail_M,Two_mt_trn_Trm_or_lt_rail_F,Two_mt_trn_Trm_or_lt_rail_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_or_lt_rail_M,Two_mth_Bu_Trm_or_lt_rail_F,Two_mth_Bu_Trm_or_lt_rail_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Tr_2_oth_meth_M,Three_meth_Tr_2_oth_meth_F,Three_meth_Tr_2_oth_meth_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
501,21,12,36,1029,249,1279,6,4,13,5,3,6,71,62,127,28799,27703,56503,2408,2270,4677,536,23,562,158,21,182,423,155,578,932,246,1175,1146,1055,2205,35542,31793,67334,7,0,7,0,0,0,0,0,0,13,13,21,4,3,11,0,0,0,27,15,39,0,0,0,0,0,0,222,62,286,20,24,42,60,8,68,305,96,401,471,188,665,799,302,1101,12,5,15,62,8,67,21,3,29,93,22,113,2687,3747,6432,5708,6196,11908,334,233,563,45161,42292,87452
502,275,298,574,670,258,927,6,0,10,0,0,0,43,34,80,12993,13147,26141,1065,1054,2114,298,12,313,61,5,72,74,34,107,867,227,1097,304,284,580,16655,15357,32011,99,87,188,0,0,0,0,0,0,150,139,294,18,20,40,14,3,14,283,249,536,0,0,0,0,0,0,44,14,56,18,31,53,30,19,45,89,63,150,270,94,366,640,413,1051,85,79,168,39,18,60,14,3,16,141,100,236,1060,1717,2772,3552,3310,6866,146,104,248,22193,21005,43190
503,1529,1341,2872,4460,3979,8435,6,8,14,3,0,8,308,355,663,25656,22553,48207,1564,2561,4125,140,10,152,325,51,376,1636,569,2208,749,277,1024,3262,2852,6117,39646,34558,74198,512,662,1176,4,5,10,0,0,3,99,91,192,38,54,88,77,35,116,733,840,1573,4,0,7,0,0,0,83,103,183,55,122,177,125,117,242,269,336,606,376,227,605,1375,1407,2782,130,150,279,73,36,116,33,14,46,237,208,437,5527,5576,11106,4250,6307,10557,204,166,367,51236,48215,99451
504,1201,1240,2440,1916,1436,3359,11,4,15,3,7,7,243,244,491,48185,41944,90125,2744,3497,6244,940,41,982,358,26,393,595,157,747,1664,388,2049,793,739,1530,58667,49726,108390,467,542,1009,0,0,0,0,0,0,601,608,1205,69,113,182,44,27,69,1178,1289,2465,0,0,0,0,0,3,105,119,228,64,122,186,95,51,149,264,296,566,609,326,932,2054,1912,3964,178,263,438,66,27,98,32,8,38,271,302,574,3969,5565,9537,7165,9035,16199,348,229,574,72472,66763,139231
505,3697,3668,7367,3329,2521,5851,38,18,55,3,0,8,513,370,878,98340,88682,187022,5628,7135,12760,1689,39,1730,714,57,769,996,192,1186,3343,676,4022,1358,1368,2723,119649,104729,224376,2240,1909,4145,0,0,0,0,0,0,1751,1587,3328,232,309,540,150,37,192,4363,3841,8208,0,0,0,0,0,0,200,205,401,128,185,307,135,61,197,467,446,912,1196,570,1766,6027,4856,10888,676,715,1395,95,56,154,73,24,98,850,799,1642,10250,13505,23758,14505,19740,34241,619,433,1053,151897,144065,295961
506,2105,2308,4417,4676,3884,8559,50,30,78,11,5,16,616,476,1093,92762,75273,168031,5103,6823,11925,1495,57,1558,579,57,636,1070,246,1323,2829,764,3590,1487,1396,2886,112797,91314,204109,1747,1711,3459,0,0,9,0,3,3,1030,873,1906,150,195,346,96,29,126,3019,2813,5835,14,8,12,0,0,0,221,222,445,139,309,446,202,105,312,574,643,1215,1135,548,1686,4726,4004,8734,582,734,1312,136,84,216,57,37,90,768,851,1621,7449,9582,17033,12493,16010,28508,704,433,1138,138946,122205,261148
507,2664,2623,5285,2905,1771,4678,36,18,50,6,0,6,300,214,512,71982,65229,137209,4432,5091,9520,912,32,942,503,58,558,943,327,1272,2540,618,3159,1450,1480,2933,88659,77466,166124,1718,1661,3388,0,3,3,0,0,0,1068,991,2058,156,240,399,128,51,182,3081,2950,6025,0,6,7,4,0,5,124,123,240,97,120,220,116,52,166,337,303,643,956,462,1421,4369,3714,8080,525,618,1144,118,34,154,59,17,73,703,670,1377,6980,9474,16449,11919,15137,27061,469,344,811,113099,106804,219901
509,14,14,25,559,182,739,6,0,8,0,0,0,31,27,62,20127,17822,37946,1335,1452,2784,651,22,671,118,17,139,192,78,271,735,208,941,1758,1400,3159,25525,21217,46748,0,0,0,0,0,0,0,0,0,18,30,47,0,7,6,0,0,0,29,33,61,0,0,0,0,0,0,30,11,36,14,9,18,20,9,22,59,24,83,305,132,442,388,195,586,9,15,22,31,6,36,33,5,37,74,18,94,3274,3503,6781,3187,3663,6847,332,235,570,32776,28844,61621
510,22,11,37,1818,453,2277,11,5,13,0,6,5,65,45,118,13071,11048,24116,1489,1275,2761,262,17,280,228,76,301,279,203,482,959,298,1255,1337,1705,3047,19549,15138,34687,0,0,5,0,0,0,0,0,0,3,4,11,0,0,0,0,0,0,8,7,17,0,0,0,0,0,0,50,38,91,16,12,27,70,7,84,138,61,198,274,121,386,420,185,608,6,4,5,42,8,56,17,9,22,67,18,84,445,872,1319,2295,2043,4331,262,182,442,23035,18436,41467
511,12,3,17,1012,253,1268,18,6,28,0,0,0,73,78,146,18645,16473,35114,1694,1583,3275,490,27,521,201,44,245,315,215,528,782,219,1004,1303,1398,2705,24548,20295,44849,3,5,9,0,0,0,0,0,0,5,3,12,0,0,4,0,0,0,10,11,25,0,0,0,0,0,0,93,21,118,15,9,31,42,11,59,151,46,199,301,166,467,474,226,696,6,0,6,28,6,28,23,4,29,55,5,62,1232,1767,3001,3031,2902,5929,235,164,396,29577,25355,54931
597,0,0,0,39,0,38,0,3,3,0,0,0,0,0,0,13,0,13,3,0,3,0,0,0,0,0,0,0,0,0,138,20,155,32,8,34,228,26,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,4,9,5,11,10,5,10,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,4,0,4,246,29,277
599,12,6,22,65,25,86,0,0,0,0,0,0,11,3,11,302,239,536,76,56,134,10,3,13,3,0,3,14,11,23,54,13,72,91,111,201,629,470,1098,4,6,10,0,0,0,0,0,0,4,4,7,0,0,0,0,0,0,8,11,15,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,3,3,4,11,7,15,19,20,44,4,0,7,0,0,5,0,0,0,8,3,10,54,52,108,176,158,334,7,8,17,899,715,1614
601,18,9,24,1951,3121,5075,38,46,87,0,4,6,212,219,435,39092,32177,71274,2357,4403,6761,675,18,697,561,61,618,903,408,1315,330,152,483,2623,3006,5631,48766,43632,92395,0,7,5,0,0,0,0,0,0,10,9,17,0,0,7,5,0,3,15,19,35,3,8,11,0,0,0,166,306,466,110,243,344,52,65,119,333,616,945,516,437,947,861,1074,1932,3,5,8,45,74,125,13,8,26,72,92,163,4512,5137,9649,5253,8791,14042,269,265,536,59730,58995,118720
602,3,0,9,366,425,790,8,0,9,3,0,7,92,124,216,24735,21160,45893,1424,1974,3400,434,8,441,223,34,249,225,62,290,261,107,367,1371,1336,2703,29124,25247,54371,0,0,0,0,0,0,0,0,0,0,4,13,0,0,0,3,0,3,5,8,14,0,0,0,0,0,0,15,17,36,26,59,86,8,12,24,54,87,139,215,150,365,273,243,523,0,0,3,10,24,33,16,8,25,35,29,57,2367,2885,5250,2742,4701,7441,243,194,433,34781,33297,68079
603,0,0,0,46,57,99,6,3,8,0,0,0,0,3,4,5954,4941,10891,371,411,779,256,4,260,44,8,53,28,15,42,61,29,89,395,360,753,7156,5831,12987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,11,20,40,13,12,28,0,0,3,27,43,66,76,42,114,105,82,185,0,0,0,0,5,5,0,0,0,0,7,4,1052,1089,2144,817,1152,1969,112,90,207,9243,8247,17487
604,3,6,4,188,114,300,8,4,9,0,0,0,39,61,97,18409,16558,34962,1125,1305,2433,329,9,339,182,27,206,89,38,128,201,65,265,830,846,1674,21400,19027,40426,0,0,0,0,0,0,0,0,0,3,4,7,0,0,0,4,0,5,6,5,10,0,0,0,0,0,0,17,3,22,19,15,26,4,7,11,39,28,64,162,99,259,203,128,332,0,0,4,5,6,10,14,5,18,13,13,28,1515,1747,3260,2332,3347,5675,222,157,381,25687,24425,50109
697,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,10,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,12
699,0,0,0,7,8,12,0,0,0,0,0,0,0,0,0,95,58,158,10,12,26,3,0,3,0,0,0,0,0,0,3,0,3,7,9,21,135,89,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,5,0,5,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,19,26,24,26,47,0,0,0,174,133,309
701,9,0,6,736,969,1700,15,7,27,5,0,7,133,151,287,26779,23860,50635,1577,2815,4399,377,24,398,729,151,880,765,505,1266,631,234,866,1450,1315,2761,33210,30029,63244,0,5,5,0,0,0,0,0,0,7,9,18,3,0,6,0,0,4,18,16,30,0,0,0,0,0,0,47,49,95,41,98,138,30,28,58,117,172,290,356,234,593,486,422,911,3,0,3,26,39,67,25,12,33,55,49,113,1297,1936,3235,2876,3857,6731,232,175,409,38166,36467,74631
702,4,5,8,355,186,545,6,8,14,6,0,6,30,44,74,9057,8048,17098,1074,1602,2680,133,13,153,185,58,243,503,371,872,237,140,380,2375,2853,5226,13972,13321,27296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,4,3,0,0,3,0,0,0,16,3,23,6,9,17,8,5,14,34,18,56,224,184,406,262,206,465,0,0,0,16,12,22,16,19,35,32,28,61,550,701,1252,959,1282,2237,295,248,535,16062,15781,31846
797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,37,3,40,5,0,5,49,3,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,0,0,0,0,0,0,56,3,56
799,0,0,0,7,10,24,0,0,0,0,0,0,0,0,3,48,42,94,7,14,23,0,0,7,0,0,4,5,5,6,16,6,23,54,71,124,148,151,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,6,0,6,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,27,31,61,56,73,128,6,6,14,242,259,500
801,65,42,110,4010,5015,9027,30,7,33,1028,1246,2281,260,305,565,78816,67815,146631,4129,8327,12458,971,31,1009,1589,186,1776,3474,1740,5216,751,316,1068,5068,4894,9960,100200,89933,190134,18,16,31,0,0,0,0,0,0,17,25,42,0,0,4,3,0,5,37,50,84,0,0,0,641,738,1376,247,301,550,149,447,604,160,148,308,1202,1631,2837,1364,1052,2412,2600,2729,5338,8,6,17,172,238,407,73,40,112,257,281,535,12865,14326,27189,9278,15314,24589,352,256,613,125547,122843,248388
897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
899,0,0,0,9,4,15,0,0,0,0,0,0,0,0,5,46,53,98,11,3,13,0,0,3,0,0,0,3,0,5,0,0,0,16,6,23,83,75,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,19,14,17,32,0,0,0,104,111,216
901,0,0,0,21,23,53,12,8,23,0,0,0,0,0,0,677,659,1335,29,68,94,77,10,88,57,14,73,17,9,25,11,10,16,78,75,154,981,877,1860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,16,28,0,0,0,6,0,3,0,0,0,0,0,0,14,20,32,18,18,30,36,37,65,0,0,0,4,9,12,5,0,5,8,9,16,50,72,122,63,103,161,12,12,19,1142,1105,2243
997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,3
