LGA_CODE_2021,D_10_12_FPNLF_MPET,D_10_12_FPNLF_MPULFTW,D_10_12_FPNLF_MPULPTW,D_10_12_FPNLF_MPUT,D_10_12_FPNLF_MPTLF,D_10_12_FPNLF_MPNLF,D_10_12_FPNLF_MPLFSNS,D_10_12_FPNLF_T,D_10_12_FPLFSNS_MPEFT,D_10_12_FPLFSNS_MPEPT,D_10_12_FPLFSNS_MPEAW,D_10_12_FPLFSNS_MPEHNS,D_10_12_FPLFSNS_MPET,D_10_12_FPLFSNS_MPULFTW,D_10_12_FPLFSNS_MPULPTW,D_10_12_FPLFSNS_MPUT,D_10_12_FPLFSNS_MPTLF,D_10_12_FPLFSNS_MPNLF,D_10_12_FPLFSNS_MPLFSNS,D_10_12_FPLFSNS_T,D_10_12_FPT_MPEFT,D_10_12_FPT_MPEPT,D_10_12_FPT_MPEAW,D_10_12_FPT_MPEHNS,D_10_12_FPT_MPET,D_10_12_FPT_MPULFTW,D_10_12_FPT_MPULPTW,D_10_12_FPT_MPUT,D_10_12_FPT_MPTLF,D_10_12_FPT_MPNLF,D_10_12_FPT_MPLFSNS,D_10_12_FPT_T,D_13_14_FPEFT_MPEFT,D_13_14_FPEFT_MPEPT,D_13_14_FPEFT_MPEAW,D_13_14_FPEFT_MPEHNS,D_13_14_FPEFT_MPET,D_13_14_FPEFT_MPULFTW,D_13_14_FPEFT_MPULPTW,D_13_14_FPEFT_MPUT,D_13_14_FPEFT_MPTLF,D_13_14_FPEFT_MPNLF,D_13_14_FPEFT_MPLFSNS,D_13_14_FPEFT_T,D_13_14_FPEPT_MPEFT,D_13_14_FPEPT_MPEPT,D_13_14_FPEPT_MPEAW,D_13_14_FPEPT_MPEHNS,D_13_14_FPEPT_MPET,D_13_14_FPEPT_MPULFTW,D_13_14_FPEPT_MPULPTW,D_13_14_FPEPT_MPUT,D_13_14_FPEPT_MPTLF,D_13_14_FPEPT_MPNLF,D_13_14_FPEPT_MPLFSNS,D_13_14_FPEPT_T,D_13_14_FPEAW_MPEFT,D_13_14_FPEAW_MPEPT,D_13_14_FPEAW_MPEAW,D_13_14_FPEAW_MPEHNS,D_13_14_FPEAW_MPET,D_13_14_FPEAW_MPULFTW,D_13_14_FPEAW_MPULPTW,D_13_14_FPEAW_MPUT,D_13_14_FPEAW_MPTLF,D_13_14_FPEAW_MPNLF,D_13_14_FPEAW_MPLFSNS,D_13_14_FPEAW_T,D_13_14_FPHNS_MPEFT,D_13_14_FPHNS_MPEPT,D_13_14_FPHNS_MPEAW,D_13_14_FPHNS_MPEHNS,D_13_14_FPHNS_MPET,D_13_14_FPHNS_MPULFTW,D_13_14_FPHNS_MPULPTW,D_13_14_FPHNS_MPUT,D_13_14_FPHNS_MPTLF,D_13_14_FPHNS_MPNLF,D_13_14_FPHNS_MPLFSNS,D_13_14_FPHNS_T,D_13_14_FPET_MPEFT,D_13_14_FPET_MPEPT,D_13_14_FPET_MPEAW,D_13_14_FPET_MPEHNS,D_13_14_FPET_MPET,D_13_14_FPET_MPULFTW,D_13_14_FPET_MPULPTW,D_13_14_FPET_MPUT,D_13_14_FPET_MPTLF,D_13_14_FPET_MPNLF,D_13_14_FPET_MPLFSNS,D_13_14_FPET_T,D_13_14_FPULFTW_MPEFT,D_13_14_FPULFTW_MPEPT,D_13_14_FPULFTW_MPEAW,D_13_14_FPULFTW_MPEHNS,D_13_14_FPULFTW_MPET,D_13_14_FPULFTW_MPULFTW,D_13_14_FPULFTW_MPULPTW,D_13_14_FPULFTW_MPUT,D_13_14_FPULFTW_MPTLF,D_13_14_FPULFTW_MPNLF,D_13_14_FPULFTW_MPLFSNS,D_13_14_FPULFTW_T,D_13_14_FPULPTW_MPEFT,D_13_14_FPULPTW_MPEPT,D_13_14_FPULPTW_MPEAW,D_13_14_FPULPTW_MPEHNS,D_13_14_FPULPTW_MPET,D_13_14_FPULPTW_MPULFTW,D_13_14_FPULPTW_MPULPTW,D_13_14_FPULPTW_MPUT,D_13_14_FPULPTW_MPTLF,D_13_14_FPULPTW_MPNLF,D_13_14_FPULPTW_MPLFSNS,D_13_14_FPULPTW_T,D_13_14_FPUT_MPEFT,D_13_14_FPUT_MPEPT,D_13_14_FPUT_MPEAW,D_13_14_FPUT_MPEHNS,D_13_14_FPUT_MPET,D_13_14_FPUT_MPULFTW,D_13_14_FPUT_MPULPTW,D_13_14_FPUT_MPUT,D_13_14_FPUT_MPTLF,D_13_14_FPUT_MPNLF,D_13_14_FPUT_MPLFSNS,D_13_14_FPUT_T,D_13_14_FPTLF_MPEFT,D_13_14_FPTLF_MPEPT,D_13_14_FPTLF_MPEAW,D_13_14_FPTLF_MPEHNS,D_13_14_FPTLF_MPET,D_13_14_FPTLF_MPULFTW,D_13_14_FPTLF_MPULPTW,D_13_14_FPTLF_MPUT,D_13_14_FPTLF_MPTLF,D_13_14_FPTLF_MPNLF,D_13_14_FPTLF_MPLFSNS,D_13_14_FP_T,D_13_14_FPNLF_MPEFT,D_13_14_FPNLF_MPEPT,D_13_14_FPNLF_MPEAW,D_13_14_FPNLF_MPEHNS,D_13_14_FPNLF_MPET,D_13_14_FPNLF_MPULFTW,D_13_14_FPNLF_MPULPTW,D_13_14_FPNLF_MPUT,D_13_14_FPNLF_MPTLF,D_13_14_FPNLF_MPNLF,D_13_14_FPNLF_MPLFSNS,D_13_14_FPNLF_T,D_13_14_FPLFSNS_MPEFT,D_13_14_FPLFSNS_MPEPT,D_13_14_FPLFSNS_MPEAW,D_13_14_FPLFSNS_MPEHNS,D_13_14_FPLFSNS_MPET,D_13_14_FPLFSNS_MPULFTW,D_13_14_FPLFSNS_MPULPTW,D_13_14_FPLFSNS_MPUT,D_13_14_FPLFSNS_MPTLF,D_13_14_FPLFSNS_MPNLF,D_13_14_FPLFSNS_MPLFSNS,D_13_14_FPLFSNS_T,D_13_14_FPT_MPEFT,D_13_14_FPT_MPEPT,D_13_14_FPT_MPEAW,D_13_14_FPT_MPEHNS,D_13_14_FPT_MPET,D_13_14_FPT_MPULFTW,D_13_14_FPT_MPULPTW,D_13_14_FPT_MPUT,D_13_14_FPT_MPTLF,D_13_14_FPT_MPNLF,D_13_14_FPT_MPLFSNS,D_13_14_FPT_T,D_15_17_FPEFT_MPEFT,D_15_17_FPEFT_MPEPT,D_15_17_FPEFT_MPEAW,D_15_17_FPEFT_MPEHNS,D_15_17_FPEFT_MPET,D_15_17_FPEFT_MPULFTW,D_15_17_FPEFT_MPULPTW,D_15_17_FPEFT_MPUT,D_15_17_FPEFT_MPTLF,D_15_17_FPEFT_MPNLF,D_15_17_FPEFT_MPLFSNS,D_15_17_FPEFT_T,D_15_17_FPEPT_MPEFT,D_15_17_FPEPT_MPEPT,D_15_17_FPEPT_MPEAW,D_15_17_FPEPT_MPEHNS,D_15_17_FPEPT_MPET,D_15_17_FPEPT_MPULFTW,D_15_17_FPEPT_MPULPTW,D_15_17_FPEPT_MPUT,D_15_17_FPEPT_MPTLF,D_15_17_FPEPT_MPNLF,D_15_17_FPEPT_MPLFSNS,D_15_17_FPEPT_T
LGA17420,1203,23,0,23,1226,223,0,1451,12,0,0,17,28,0,0,0,28,5,14,46,5933,862,283,82,7153,129,18,138,7294,441,36,7772,1771,192,64,10,2035,34,0,37,2071,78,0,2155,1153,209,56,6,1427,26,0,23,1453,54,0,1502,172,42,39,8,255,5,0,5,257,8,0,268,6,4,0,10,21,0,0,0,21,0,8,27,3104,439,156,36,3740,63,6,70,3806,143,8,3956,28,7,0,0,39,5,0,5,39,4,0,39,37,5,4,0,44,0,0,0,47,6,0,46,71,10,4,0,81,3,0,4,89,3,0,93,3170,452,163,36,3821,69,0,75,3894,144,8,4048,583,93,38,12,725,16,0,16,750,134,0,880,3,0,0,5,8,0,0,0,8,0,8,15,3753,543,200,57,4559,86,0,88,4647,273,18,4941,2297,258,90,12,2647,66,5,73,2717,129,5,2847,1400,292,53,11,1752,30,3,32,1785,89,0,1872
LGA17550,268,6,6,16,283,72,0,357,6,0,0,0,7,0,0,0,7,0,8,16,1672,367,77,25,2147,27,12,44,2189,183,18,2386,418,78,11,3,508,6,0,6,520,28,0,543,463,101,10,3,580,6,0,9,592,42,4,636,29,15,9,0,52,0,0,0,52,6,0,55,0,0,0,0,7,0,0,0,7,0,6,12,910,205,26,8,1149,18,3,20,1167,73,6,1252,3,0,0,0,3,0,0,0,6,4,0,9,13,7,0,0,16,0,0,0,17,6,0,19,20,7,0,0,22,0,0,0,22,10,0,32,931,205,26,8,1170,17,5,22,1190,78,6,1284,108,34,6,5,147,6,0,4,157,54,0,211,4,0,0,0,3,0,0,0,3,0,9,8,1040,240,32,15,1321,22,9,25,1349,141,12,1502,566,93,15,4,674,8,0,12,689,40,0,731,498,120,13,3,638,3,6,9,640,40,5,686
LGA17620,47,4,0,4,45,18,0,65,3,0,0,6,4,0,0,0,4,0,0,4,307,27,16,7,362,11,0,5,364,34,0,400,103,7,0,0,121,0,0,0,124,4,0,128,91,14,7,0,108,3,0,3,109,3,0,116,4,0,0,0,8,0,0,0,8,0,0,8,5,0,0,6,7,0,0,0,7,0,0,7,201,21,9,10,241,4,0,4,246,9,0,255,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,5,0,0,5,205,21,11,10,247,3,0,3,251,9,0,260,22,5,0,0,28,0,0,0,31,10,0,37,0,0,0,3,3,0,0,0,3,0,0,7,230,27,11,8,274,3,0,3,284,21,0,307,141,10,5,0,154,0,0,0,151,4,0,156,90,15,0,8,110,4,0,4,115,3,0,118
LGA17640,16,0,0,0,16,8,0,23,0,0,0,0,0,0,0,0,0,0,0,0,144,22,6,5,171,0,0,0,171,12,0,189,40,7,0,0,42,0,0,0,42,0,0,50,32,6,3,5,41,0,0,3,47,0,0,48,4,0,0,0,4,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,80,13,0,5,96,0,0,3,99,7,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,13,0,5,99,0,0,3,99,7,0,101,9,0,0,0,9,0,0,0,9,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,88,13,0,5,108,0,0,3,106,7,0,115,60,17,3,0,83,0,0,0,83,5,0,86,44,13,0,0,62,0,0,0,62,4,0,66
LGA17650,14,0,0,0,14,7,0,23,0,0,0,0,0,0,0,0,0,0,0,0,148,20,4,0,169,0,0,0,169,16,0,183,32,5,0,0,37,0,0,0,37,0,0,34,31,7,0,0,38,6,0,6,39,0,0,41,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,66,9,0,0,72,6,0,6,79,3,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,9,0,0,72,6,0,6,79,3,0,82,4,5,0,0,7,0,0,0,12,12,0,23,0,0,0,0,0,0,0,0,0,0,0,0,71,15,0,0,80,6,0,0,88,15,0,99,62,0,0,0,61,0,0,0,61,0,0,63,38,10,0,0,56,0,0,0,56,0,0,53
LGA17750,214,6,0,6,224,72,0,293,0,0,0,0,3,0,0,0,3,0,11,7,1544,164,34,21,1762,26,4,28,1788,119,11,1917,503,49,4,5,562,3,5,8,565,17,0,589,332,38,4,0,376,0,3,4,384,22,0,399,24,4,5,0,28,0,0,0,28,0,0,31,4,0,0,6,10,0,0,0,10,0,0,10,865,93,11,14,980,3,9,13,992,36,0,1028,6,0,0,0,6,3,0,3,9,0,0,9,4,0,0,0,6,0,0,5,13,5,0,16,15,0,0,0,16,6,0,6,23,5,0,27,881,90,11,14,995,8,9,14,1007,42,0,1049,119,14,5,3,135,9,0,9,148,39,0,185,0,0,0,0,0,0,0,0,0,0,4,4,995,105,16,18,1128,18,9,21,1152,79,3,1237,628,45,10,0,685,5,0,5,685,26,0,710,382,54,5,0,441,3,0,3,451,17,0,461
LGA17850,7,0,0,0,7,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,55,4,0,0,56,0,0,0,58,3,0,65,18,0,0,0,18,0,0,0,18,0,0,18,21,0,0,0,20,0,0,0,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,43,0,0,0,43,0,0,0,43,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,43,0,0,0,43,0,0,43,7,0,0,0,7,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,53,0,0,0,53,0,0,53,20,0,0,0,20,0,0,0,20,0,0,20,10,3,0,0,12,0,0,0,12,0,0,19
LGA17900,14,0,0,0,14,12,0,22,0,0,0,0,0,0,0,0,0,0,0,0,39,10,0,7,57,0,4,4,62,18,0,78,13,3,0,0,18,0,0,0,18,5,0,23,3,0,0,0,10,0,0,0,10,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,27,0,0,0,27,5,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,27,0,0,0,27,5,0,30,6,0,0,0,6,0,0,0,6,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,22,0,0,0,22,14,0,39,12,0,0,0,16,0,0,0,16,0,0,21,11,4,0,0,15,0,0,0,15,0,0,17
LGA17950,3,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,65,5,0,0,72,0,0,0,72,0,0,72,19,0,0,0,19,0,0,0,19,0,0,19,14,0,0,0,17,0,0,0,17,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,31,0,0,0,31,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,31,0,0,0,31,0,0,38,3,0,0,0,7,0,0,0,7,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,33,0,0,0,33,0,0,39,21,4,0,0,18,0,0,0,18,0,0,18,13,0,0,0,13,0,0,0,13,0,0,13
LGA18020,20,4,0,4,25,18,0,48,0,0,0,0,0,0,0,0,0,0,0,0,138,16,0,7,160,10,0,10,169,25,0,200,46,4,0,0,53,0,0,0,53,0,0,55,43,9,0,0,56,0,0,0,54,4,0,58,0,3,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,88,11,9,0,108,0,0,0,108,4,0,116,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,6,0,0,6,6,0,0,0,6,0,0,0,6,0,0,6,94,11,9,0,114,0,0,0,115,4,0,118,9,3,0,0,10,0,0,0,15,15,0,30,0,0,0,0,0,0,0,0,0,0,0,0,97,17,10,3,126,4,0,4,126,21,0,147,64,9,0,0,66,0,0,0,66,3,0,70,44,3,5,0,52,0,0,0,55,3,0,56
LGA18050,256,0,0,0,259,31,0,289,0,0,0,4,3,0,0,0,3,0,7,9,1280,195,35,22,1533,21,0,27,1557,87,7,1653,316,49,3,0,364,3,4,6,370,26,0,396,298,66,0,0,362,6,0,6,367,20,0,384,20,7,5,0,39,0,0,0,39,0,0,42,4,0,0,6,5,0,0,0,5,0,0,8,639,122,12,8,776,10,4,8,785,44,4,836,5,4,0,0,4,5,0,5,8,0,0,8,16,0,0,0,12,0,0,0,12,0,0,14,16,0,0,0,17,3,0,3,21,0,0,22,654,123,12,8,797,9,4,16,811,47,4,856,135,21,5,5,163,4,0,3,166,24,0,190,0,0,0,0,0,0,0,0,0,0,0,0,789,147,16,7,956,10,0,14,976,69,6,1047,414,60,4,0,475,11,3,8,487,37,0,521,341,69,3,0,417,6,0,6,428,10,0,440
LGA18100,6,0,0,0,6,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,63,4,5,0,75,0,0,0,75,5,0,77,17,0,0,0,19,0,0,0,19,0,0,19,29,0,0,0,27,0,0,0,27,0,0,27,0,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,40,4,0,0,51,0,0,0,51,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,4,0,0,51,0,0,0,51,0,0,51,6,0,0,0,3,0,0,0,3,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,51,4,0,4,57,0,0,0,57,4,0,60,28,0,0,0,28,0,0,0,28,0,0,30,24,0,3,0,28,0,0,0,28,0,0,32
LGA18200,15,3,0,3,17,6,0,23,0,0,0,0,0,0,0,0,0,0,0,0,124,12,10,10,150,3,0,3,154,17,0,170,47,4,0,0,48,0,0,0,48,3,0,55,40,7,4,0,54,0,0,0,54,0,0,58,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,92,13,5,7,106,0,0,0,106,8,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,4,0,0,4,88,15,5,7,109,0,0,0,109,8,0,122,8,0,0,0,12,0,0,0,9,3,0,19,0,0,0,0,0,0,0,0,0,0,0,0,99,17,5,4,122,0,0,0,120,15,5,134,55,0,0,0,56,0,0,0,56,6,0,69,36,8,0,0,49,0,0,0,49,0,0,49
LGA18250,442,10,6,13,450,62,0,514,5,0,0,4,7,0,0,0,7,0,6,15,1992,286,60,18,2356,59,9,63,2416,154,10,2582,575,70,17,4,665,11,3,15,681,42,0,718,357,57,0,0,412,5,0,5,422,21,0,439,31,8,0,0,40,3,0,3,41,0,0,41,0,0,0,3,8,0,0,0,8,0,0,11,960,138,23,7,1128,25,3,24,1149,61,5,1213,21,0,0,0,17,0,0,0,22,0,0,23,12,0,0,0,15,0,0,0,16,0,0,17,32,0,0,0,33,0,0,3,37,4,0,38,988,140,22,7,1161,21,3,24,1184,67,5,1255,233,39,5,4,279,9,0,9,287,43,0,329,0,0,0,6,6,0,0,0,6,0,8,11,1223,178,29,13,1441,31,7,33,1476,109,10,1591,645,87,18,4,758,20,3,25,779,68,0,850,454,93,3,0,547,8,3,8,557,24,0,578
LGA18350,193,0,0,4,196,35,4,234,0,0,0,0,4,0,0,0,4,0,0,0,1100,209,37,23,1382,6,0,12,1391,74,7,1472,280,45,9,5,336,3,0,7,340,14,0,359,295,63,6,0,366,0,0,0,369,14,0,380,19,4,0,0,25,0,0,0,25,3,0,31,5,0,0,0,6,0,0,0,6,0,0,9,596,110,23,0,729,6,0,7,739,37,0,777,3,0,0,0,0,0,0,0,5,0,0,4,9,4,0,0,10,3,0,3,10,3,0,14,8,3,0,0,15,3,0,3,16,3,0,19,609,116,23,6,743,9,0,9,751,42,0,793,94,12,5,8,118,4,0,4,121,24,3,142,0,0,0,0,0,0,0,0,0,0,0,0,701,129,27,14,863,8,0,8,877,61,3,941,340,49,14,3,405,3,0,4,414,13,0,432,325,66,13,0,403,0,0,4,404,24,0,428
LGA18400,249,5,0,4,252,51,0,304,0,0,0,4,3,0,0,0,3,0,6,10,1333,264,122,22,1746,14,4,22,1767,111,10,1885,384,56,30,3,477,6,0,3,480,19,0,501,311,69,23,0,399,4,0,4,403,13,0,416,33,11,13,0,58,0,0,0,58,3,0,64,5,0,0,3,9,0,0,0,9,0,0,13,731,137,64,11,943,8,0,13,951,39,0,991,0,0,0,0,3,0,0,0,5,0,0,4,3,0,0,0,0,0,0,0,4,0,0,7,3,0,0,0,3,0,0,0,11,3,0,13,734,140,64,17,949,9,0,12,962,42,0,1006,123,21,19,5,168,4,0,4,172,52,0,224,0,0,0,3,0,0,0,0,0,0,3,3,855,157,86,24,1119,11,0,11,1131,95,6,1233,443,52,30,0,527,4,5,10,533,30,0,570,396,83,35,4,510,5,0,5,511,10,0,521
LGA18450,780,23,7,34,807,205,0,1015,0,6,0,5,14,3,0,3,10,3,12,27,3923,762,264,62,5006,74,16,92,5101,409,23,5532,1033,159,59,8,1257,14,6,16,1273,71,0,1341,1038,188,49,5,1277,17,3,19,1292,72,0,1367,130,30,33,0,198,5,0,0,200,0,0,199,4,6,0,9,22,0,0,0,23,4,0,30,2204,378,147,29,2749,30,11,37,2787,148,0,2942,17,0,0,0,15,5,0,5,22,0,0,22,28,6,0,0,36,0,0,4,38,0,0,43,42,9,0,0,51,7,0,8,60,4,0,61,2252,388,147,29,2805,35,10,40,2847,151,0,3003,358,84,24,5,473,16,8,25,498,150,0,645,3,5,0,5,7,0,0,0,10,3,10,23,2610,465,177,33,3282,55,15,73,3353,305,14,3672,1333,196,80,5,1624,20,15,34,1657,109,0,1766,1238,217,71,9,1535,11,5,25,1555,93,0,1651
LGA18500,328,6,0,6,332,36,0,366,3,0,0,0,7,0,0,0,7,0,0,5,998,159,10,29,1200,23,0,23,1218,90,0,1311,236,27,6,0,270,4,0,3,277,24,0,300,198,34,4,0,236,6,0,0,234,15,0,252,16,8,4,0,27,0,0,0,27,0,0,27,5,0,0,6,7,0,0,0,7,0,0,7,451,67,13,3,538,11,4,8,547,40,3,588,8,0,0,0,8,0,0,0,11,0,0,11,8,0,0,0,8,0,0,0,8,0,0,8,14,0,0,0,16,0,0,0,19,0,0,19,464,67,13,3,552,10,4,9,566,40,3,609,168,28,4,3,205,4,0,4,205,29,0,236,0,0,0,3,7,0,0,0,7,0,6,7,633,97,22,13,763,9,4,13,773,72,3,849,311,36,3,3,355,12,0,8,364,26,0,393,241,62,5,0,309,3,0,3,307,16,0,325
LGA18710,72,0,0,0,72,8,0,80,0,0,0,0,0,0,0,0,0,0,0,0,548,51,9,4,611,4,0,4,613,19,0,632,174,16,0,0,188,0,0,0,191,8,0,198,107,8,3,0,122,0,0,0,122,7,0,122,8,0,0,0,5,0,0,0,5,0,0,5,0,0,0,0,4,0,0,0,4,0,3,7,283,29,3,0,320,0,0,0,321,18,3,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,283,29,3,0,315,5,0,5,320,18,3,340,31,9,0,0,41,0,0,0,41,7,0,42,0,0,0,0,0,0,0,0,0,0,0,0,313,35,4,0,362,5,0,5,361,22,3,384,216,26,0,0,241,3,0,3,245,13,3,260,134,17,7,0,154,0,0,0,154,6,0,165
LGA19399,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,25,3,0,0,26,0,0,0,26,0,0,26,5,0,0,0,5,0,0,0,5,0,0,5,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,8,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,8,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,8,0,0,0,8,0,0,11,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
LGA19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA20110,40,0,0,0,40,4,0,45,0,0,0,0,0,0,0,0,0,0,5,5,215,52,13,7,286,3,4,3,289,22,5,318,78,13,0,0,93,0,0,0,93,4,0,100,66,22,3,0,93,4,0,4,94,11,0,103,7,0,0,0,4,0,0,0,4,0,0,4,0,0,0,4,4,0,0,0,4,0,0,4,145,36,3,6,198,4,0,4,199,14,0,215,0,0,0,0,0,0,6,6,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,150,36,3,6,199,4,0,3,200,14,0,215,16,5,3,0,21,0,0,0,21,4,0,32,0,0,0,0,0,0,0,0,0,0,0,0,163,47,7,6,223,4,0,3,225,23,0,253,96,11,0,0,113,0,0,0,110,0,0,115,94,32,3,0,126,0,0,0,126,3,0,132
LGA20260,31,0,0,0,31,7,0,38,0,0,0,0,0,0,0,0,0,0,0,3,187,26,9,4,220,4,0,4,228,21,5,250,64,7,0,0,71,0,0,0,71,3,0,74,41,8,0,0,52,3,0,3,52,3,0,52,4,0,0,0,10,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,110,13,0,3,126,3,0,3,135,9,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,13,0,3,126,3,0,3,135,9,0,137,11,4,0,0,18,0,0,0,18,8,0,19,0,0,0,0,0,0,0,0,0,0,0,0,121,17,0,3,142,3,0,3,145,10,0,159,69,9,0,0,73,0,0,0,73,0,0,79,51,9,3,0,66,0,0,0,72,7,0,77
LGA20570,380,10,0,13,391,73,0,464,0,0,0,0,4,0,0,0,4,0,9,12,2333,320,52,23,2720,34,8,38,2759,168,14,2947,561,74,14,0,651,0,6,3,655,31,0,686,687,88,8,4,790,5,4,10,802,36,0,839,50,3,6,0,53,0,0,0,53,4,0,57,3,0,0,0,11,0,0,0,11,0,7,14,1305,166,23,8,1497,7,10,16,1515,71,6,1598,6,0,0,0,6,8,0,8,10,0,0,12,23,4,0,0,23,0,0,0,20,0,0,26,30,4,0,0,28,5,0,5,37,3,0,36,1329,164,23,9,1532,13,10,24,1548,78,6,1635,171,36,5,6,216,11,0,11,226,60,0,281,0,0,0,0,0,0,0,0,0,0,7,5,1503,203,26,15,1744,22,10,29,1774,133,8,1921,754,85,12,3,854,3,0,5,859,46,0,910,782,118,16,9,914,15,8,13,933,33,0,971
