LGA_CODE_2021,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
LGA45540,7,0,0,3,0,0,0,0,0,10,5,0,0,14,5,0,0,0,0,30,23,3,20,26,5,9,13,23,0,116,0,0,0,0,6,5,0,9,0,22,0,0,0,0,3,0,0,6,0,10,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,10,40,31,23,49,17,21,21,35,3,245
LGA45680,151,199,95,242,146,41,35,54,12,974,383,304,236,876,421,143,118,147,46,2676,812,532,3211,2186,1435,719,1032,1192,231,11345,64,30,103,133,156,156,125,214,15,997,83,34,72,185,118,84,62,113,18,769,13,19,16,33,19,9,16,25,8,151,49,41,62,101,60,55,103,122,103,682,2053,3685,4020,4539,2797,1389,1605,2092,471,22648
LGA45890,348,495,288,423,309,111,105,126,29,2254,562,689,604,1088,664,263,277,329,70,4537,1050,588,3698,1960,1509,704,828,992,187,11524,64,64,110,123,134,101,62,151,13,813,108,80,114,217,180,84,59,102,17,968,34,84,62,66,37,25,39,51,11,393,79,130,112,139,101,64,83,137,156,1005,4961,12863,6281,6599,5234,2216,2233,3305,758,44453
LGA46090,29,42,13,42,15,0,3,3,3,154,37,45,27,110,52,13,9,13,10,313,110,92,520,315,156,66,163,143,36,1580,14,8,8,28,25,16,6,19,0,120,13,5,3,23,18,9,20,16,0,108,5,10,3,4,0,0,0,3,0,30,12,12,13,21,4,10,21,19,0,108,307,772,601,654,326,124,227,247,68,3319
LGA46300,30,58,6,36,20,9,4,11,0,176,44,75,35,124,51,31,11,21,0,387,201,95,573,328,182,140,111,188,28,1847,19,9,12,29,21,26,10,30,5,157,13,9,11,36,30,16,3,13,0,146,8,10,3,3,0,0,3,9,0,42,9,19,10,25,13,14,5,37,17,145,436,1002,684,674,380,267,154,349,56,4003
LGA46450,32,37,5,53,22,5,7,3,0,164,59,63,22,133,40,33,6,12,3,377,217,107,618,381,199,93,211,151,29,2011,15,4,9,33,35,23,21,25,3,170,14,9,9,33,10,3,9,10,0,106,3,0,3,3,6,0,0,0,0,25,11,9,12,26,13,17,18,27,15,155,448,920,709,751,371,193,278,249,64,3976
LGA46510,78,152,60,60,80,26,18,13,7,490,128,160,97,131,139,53,34,41,17,793,222,115,528,205,202,130,72,86,19,1585,15,9,11,9,19,11,0,14,0,95,19,15,13,14,41,25,7,14,3,148,5,30,10,7,8,6,0,8,0,72,18,20,15,14,10,6,0,16,23,123,1433,3787,938,867,1045,454,261,400,126,9308
LGA46670,31,26,6,25,12,0,5,18,4,124,54,31,16,79,27,17,3,20,3,252,170,39,338,172,132,59,83,159,20,1168,8,4,4,11,14,14,7,16,8,79,20,0,3,20,17,9,6,14,0,93,9,3,0,4,0,0,0,6,0,17,25,13,9,17,8,12,4,39,10,137,416,439,397,370,244,135,116,328,50,2490
LGA46860,11,3,5,0,0,5,0,3,0,38,11,5,7,13,0,0,0,3,0,40,45,7,67,26,16,12,6,27,4,213,0,5,0,0,0,0,0,5,0,10,6,0,5,3,4,0,0,0,0,22,0,0,0,0,0,5,0,0,0,10,6,0,0,3,5,0,0,0,3,23,119,72,85,59,33,31,9,50,13,473
LGA46970,13,7,12,10,10,0,0,0,0,49,14,15,25,16,17,3,12,12,4,115,53,28,384,36,69,10,136,50,18,787,5,0,3,6,6,0,6,0,0,35,4,0,14,0,0,0,9,0,0,36,0,3,0,0,5,3,0,0,0,13,0,0,8,0,4,0,11,5,5,29,122,247,492,96,141,32,192,84,35,1435
LGA47140,256,361,211,392,278,94,99,134,22,1841,498,539,453,1313,659,231,259,287,61,4312,1077,704,4519,2797,1874,875,1282,1447,298,14861,83,50,142,192,195,153,124,216,11,1157,101,59,106,251,204,90,107,137,24,1080,39,55,56,52,54,20,24,56,10,373,61,69,115,164,116,84,122,153,127,1013,3449,8176,6451,7080,4826,2145,2542,3341,726,38738
LGA47290,12,5,4,4,5,0,0,0,0,36,7,3,0,17,5,0,3,3,0,45,73,5,50,18,21,11,18,30,5,231,9,0,0,0,0,4,11,5,0,26,10,0,5,0,0,0,3,9,0,24,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,3,4,5,13,162,77,77,46,51,25,30,65,10,541
LGA47490,5,16,3,6,4,0,0,0,0,37,12,5,0,6,9,6,0,0,0,33,51,10,91,29,20,18,17,31,0,262,4,0,0,0,0,0,0,5,0,13,3,0,0,4,3,0,5,4,0,15,0,0,0,0,0,0,0,0,0,4,8,0,0,5,0,0,3,9,0,23,109,130,102,59,51,28,23,60,0,554
LGA47630,45,21,4,18,18,5,3,16,0,129,43,12,11,33,25,11,17,32,0,183,203,30,260,76,94,53,83,115,13,927,21,0,7,6,10,4,5,17,0,73,34,8,10,12,9,6,3,19,0,100,0,3,0,0,0,0,0,7,0,19,25,3,7,7,5,15,15,18,4,105,462,311,321,196,206,102,145,282,25,2047
LGA47700,292,504,222,449,344,106,65,71,24,2085,674,654,436,967,689,184,144,154,64,3966,1233,676,4226,1742,1688,712,682,872,196,12027,57,45,81,98,167,104,46,83,11,697,101,87,95,188,251,96,41,76,16,958,33,53,31,45,35,12,23,21,0,249,65,84,57,90,82,63,43,60,94,621,4320,9526,5766,5035,4618,1707,1297,1741,550,34558
LGA47800,27,12,0,11,8,5,0,5,0,80,37,21,13,33,19,3,3,8,0,130,149,19,128,80,52,38,46,89,10,605,11,0,3,14,3,5,3,23,0,61,16,3,0,0,8,0,3,4,0,45,7,0,0,0,5,0,0,0,0,10,22,4,9,8,0,5,7,19,8,76,353,175,163,165,117,64,70,176,20,1302
LGA47910,13,5,0,13,6,0,4,3,0,46,18,8,7,17,9,7,0,6,0,73,67,7,80,32,37,20,33,41,0,316,4,0,5,6,5,4,3,3,0,25,10,0,0,0,0,3,0,5,0,17,0,0,0,0,0,0,0,3,0,3,4,0,0,0,0,0,5,0,0,16,164,126,97,92,72,33,44,59,11,692
LGA47980,150,231,54,101,102,45,7,21,4,725,222,231,117,190,159,74,14,48,14,1071,253,143,589,249,230,160,62,133,29,1842,13,23,13,29,28,24,6,16,3,149,48,42,21,33,45,43,5,18,0,250,22,37,9,17,9,15,0,3,0,110,34,57,9,18,25,12,4,9,34,199,2744,7350,1183,1269,1567,718,197,483,199,15710
LGA48050,62,55,23,46,32,13,12,8,8,259,42,43,25,130,44,38,6,19,0,351,172,54,437,322,137,108,79,137,19,1468,7,0,12,26,9,17,6,27,0,101,15,13,8,29,21,11,4,8,0,116,6,10,0,5,4,5,0,5,0,32,10,12,9,14,7,11,7,15,14,99,439,812,568,706,348,234,123,253,44,3526
LGA48130,16,18,4,19,8,4,5,9,0,75,38,10,8,46,26,0,3,15,0,145,152,18,180,104,72,24,76,110,14,755,21,0,4,3,11,8,0,20,0,69,16,0,3,9,3,0,4,7,0,49,4,0,0,0,0,0,5,3,0,19,17,0,3,9,13,7,8,19,5,74,328,240,215,210,149,48,115,218,30,1556
LGA48260,32,48,9,16,34,12,0,4,6,158,46,39,21,28,23,9,3,9,3,193,55,27,88,53,42,35,13,19,3,344,0,0,0,3,12,5,0,0,0,20,9,0,4,10,3,8,0,0,4,36,5,23,0,3,0,6,0,0,3,39,7,17,0,4,3,10,0,5,9,52,532,1491,189,236,312,150,41,68,39,3058
LGA48340,54,37,8,18,24,11,4,8,0,160,45,20,21,75,38,12,6,20,6,235,230,52,414,235,124,70,104,205,18,1447,16,0,11,16,10,13,3,24,0,102,21,0,3,20,16,9,8,16,0,104,4,4,0,7,0,0,3,0,0,15,28,8,12,14,7,14,9,32,21,141,556,512,489,436,267,142,149,342,49,2945
LGA48410,196,302,164,248,211,58,44,67,13,1300,303,368,320,544,343,131,102,154,26,2291,554,319,1702,830,678,327,274,382,78,5154,35,22,34,55,71,39,19,39,5,326,67,31,47,109,118,63,22,43,12,524,19,46,15,38,29,11,12,25,4,202,54,68,37,78,56,28,23,38,65,424,2952,8067,2993,3451,2922,1245,838,1403,345,24214
LGA48540,36,44,17,73,16,6,16,7,5,210,73,77,56,134,68,17,31,17,0,473,193,98,962,434,254,115,424,185,60,2722,14,3,25,41,38,30,49,39,6,243,8,10,15,44,20,19,19,8,0,137,4,6,6,4,3,5,3,3,0,42,5,10,20,22,10,16,15,19,21,131,524,1162,1166,850,460,227,586,308,99,5382
LGA48640,6,3,0,3,3,0,0,0,0,16,10,3,0,3,3,0,0,0,4,24,29,5,41,6,4,4,9,24,4,136,3,0,0,0,0,0,0,0,0,9,5,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,11,79,60,43,23,20,15,9,31,6,285
LGA48750,27,17,10,15,20,3,0,13,0,102,27,25,22,47,28,10,0,5,4,166,86,28,162,92,50,35,44,77,17,583,9,5,9,7,4,10,0,16,0,49,16,5,6,7,6,4,3,5,6,58,0,4,0,3,0,0,0,3,0,12,3,4,7,3,7,3,0,9,6,49,258,272,235,195,162,71,61,137,33,1422
LGA48830,38,32,5,33,24,9,4,11,0,152,54,27,15,60,26,14,4,16,0,218,251,30,332,151,90,69,104,145,23,1196,32,0,9,8,17,9,6,19,3,91,26,8,4,18,15,0,4,9,0,89,3,0,0,0,0,0,3,0,0,14,30,11,9,14,14,9,10,16,11,117,562,398,386,321,219,122,134,226,51,2420
LGA49399,17,11,0,7,3,0,0,6,0,52,19,7,9,6,9,4,3,7,4,68,73,18,91,36,30,6,47,62,12,372,6,0,3,9,8,0,0,9,0,33,8,0,6,0,3,0,3,0,0,24,0,0,0,0,0,0,0,4,0,10,7,10,4,13,3,0,8,12,16,78,182,115,131,91,57,17,67,119,30,808
LGA49499,6,3,7,5,3,4,0,0,0,21,0,12,5,8,4,8,0,5,0,47,13,10,55,22,17,13,19,25,9,176,0,0,0,0,4,9,0,3,0,11,0,0,0,0,0,0,0,3,0,15,0,0,0,4,0,0,0,0,0,4,5,0,0,0,0,0,5,7,5,24,47,114,76,58,42,28,33,71,15,489
LGA49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
LGA50080,128,200,63,165,111,43,27,31,7,774,179,173,125,294,178,70,30,87,13,1155,493,208,1656,832,412,315,389,480,58,4849,30,20,55,81,79,94,37,83,4,486,47,25,32,78,79,35,17,48,3,361,13,30,8,19,12,8,6,7,11,106,39,23,35,54,32,33,17,50,23,307,1423,2864,2103,1822,1128,681,562,917,131,11635
LGA50210,251,366,252,266,246,84,118,83,15,1689,409,463,537,804,576,203,267,205,48,3520,860,508,3971,1741,1168,517,1092,861,150,10864,54,32,104,124,135,151,92,164,10,873,68,40,84,155,157,77,76,74,11,746,44,48,53,44,42,23,42,43,7,344,54,79,93,112,98,62,86,76,125,778,3074,7398,5808,4354,3595,1544,2192,1894,488,30346
LGA50250,17,15,23,17,10,3,20,7,0,106,32,23,37,42,36,8,48,29,4,248,58,32,695,62,98,19,313,83,41,1405,8,0,10,9,0,4,22,14,3,71,9,0,0,5,7,3,17,4,0,51,0,0,0,0,0,4,3,4,0,19,4,0,9,3,3,9,26,6,10,72,210,353,828,185,199,49,495,186,63,2574
LGA50280,94,103,36,60,38,34,14,36,7,424,90,61,77,100,69,30,20,83,3,532,238,64,822,238,123,107,152,226,34,2011,18,9,22,28,23,24,13,23,0,152,29,7,14,36,29,27,14,22,0,178,11,8,11,0,3,9,5,3,0,56,24,9,29,23,13,12,15,27,9,158,910,1407,1159,694,436,355,255,560,75,5843
LGA50350,55,102,42,52,39,14,9,13,6,325,98,101,99,107,80,41,18,16,9,571,126,97,644,221,192,104,120,121,24,1646,9,5,12,20,36,24,15,28,0,145,10,15,15,32,31,14,6,7,0,132,0,5,5,7,7,3,3,0,0,36,7,22,10,18,19,10,13,10,17,119,759,1973,930,671,661,306,213,256,73,5845
LGA50420,223,356,249,251,235,81,58,73,12,1528,381,415,416,546,420,162,118,171,34,2663,551,357,2278,908,681,345,458,466,71,6123,46,26,45,97,104,79,32,78,5,508,57,56,60,108,134,46,37,52,12,548,30,61,32,32,38,14,14,24,8,264,54,92,60,81,73,39,42,51,84,573,3490,9205,3799,3082,3115,1281,1044,1315,373,26706
LGA50490,137,158,153,129,128,40,66,46,14,878,257,226,340,343,242,113,121,118,24,1789,307,240,1558,593,442,221,377,309,68,4121,17,20,36,68,52,58,47,75,7,384,34,21,37,73,78,34,44,31,0,349,19,41,40,24,24,0,15,29,3,195,37,49,57,67,50,26,36,55,77,450,1768,4390,2719,1975,1791,832,977,989,262,15696
LGA50560,3,10,3,4,0,4,0,0,0,30,8,3,7,4,8,0,0,6,0,41,28,7,33,16,9,7,23,17,6,140,0,0,3,5,0,0,0,6,0,13,6,0,0,3,0,0,0,0,0,12,4,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,3,16,98,68,56,41,27,11,28,39,10,375
LGA50630,0,3,4,0,4,0,5,0,0,22,4,7,4,5,6,0,3,0,0,31,21,4,91,15,27,9,45,11,0,229,3,0,0,0,3,0,0,3,0,12,0,0,5,0,0,0,3,5,0,19,0,0,0,0,0,0,0,0,0,3,4,5,5,0,0,0,4,4,0,23,54,74,111,38,52,8,72,31,4,434
LGA50770,16,0,0,4,8,0,0,3,0,35,18,6,3,7,3,3,0,3,0,48,50,8,57,21,18,14,16,18,0,198,0,0,5,0,0,5,0,4,0,18,11,0,0,0,7,3,0,7,0,26,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,20,151,75,71,40,47,22,31,38,0,477
LGA50840,23,18,13,15,10,10,5,15,0,108,21,21,16,33,15,14,5,5,0,133,69,24,236,83,46,28,87,58,14,655,9,0,6,5,7,5,3,13,0,53,6,4,3,6,9,4,6,4,0,43,8,0,0,0,0,0,0,0,0,16,13,3,11,7,4,5,6,6,7,51,239,310,304,185,122,78,118,114,23,1502
LGA50910,4,0,0,0,0,0,0,0,0,7,8,0,0,3,3,0,0,3,0,19,21,0,21,13,7,6,12,10,4,92,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,50,33,25,28,26,13,10,21,4,213
LGA50980,58,98,28,48,41,21,12,22,3,321,115,111,41,153,90,33,16,40,6,604,218,140,603,254,206,91,142,160,27,1842,10,18,6,41,41,20,8,15,3,168,18,22,10,28,24,8,3,11,0,135,10,6,4,10,3,3,0,4,0,48,10,43,23,29,30,22,16,36,37,235,820,1679,795,805,648,257,211,371,108,5692
LGA51080,11,5,0,0,0,0,0,0,0,19,10,3,4,0,0,0,0,0,0,22,30,0,20,12,5,0,4,12,0,85,3,0,0,0,0,0,0,4,0,4,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,8,97,40,29,21,20,8,11,27,0,252
LGA51120,3,0,0,0,3,0,0,0,0,10,7,0,4,5,3,0,0,0,0,25,32,0,23,11,12,0,16,7,3,110,0,0,0,0,0,5,0,0,0,7,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,10,80,29,30,21,27,9,22,13,0,238
LGA51190,89,142,70,74,58,33,18,20,3,508,106,134,141,196,117,54,47,70,4,880,295,198,1477,637,406,258,415,426,56,4168,16,14,57,62,47,54,41,72,7,376,27,19,28,49,62,38,22,41,8,289,6,27,11,17,12,0,13,14,0,103,21,22,31,25,27,16,29,49,36,259,943,2395,1967,1304,942,535,635,822,139,9675
LGA51260,168,218,89,111,117,74,37,68,14,888,223,155,191,264,168,102,33,79,13,1225,503,186,2038,671,476,287,437,519,78,5193,24,16,44,68,57,90,26,94,3,421,56,25,30,95,56,43,31,61,3,402,27,30,10,14,17,10,6,17,0,132,41,34,32,61,34,55,30,48,37,371,1754,2965,2622,1611,1226,785,633,1049,192,12826
LGA51310,146,204,62,82,103,38,11,20,5,661,126,155,93,88,96,53,16,24,5,661,179,72,326,153,100,64,36,79,18,1028,10,4,7,13,18,12,0,5,0,79,22,27,13,25,37,24,4,11,0,158,15,59,4,5,13,0,0,3,0,109,31,46,13,16,21,13,3,14,21,178,2550,6206,736,736,1109,435,140,255,150,12318
LGA51330,259,401,330,285,262,113,135,139,33,1956,315,374,621,729,466,223,266,338,45,3374,567,358,2430,1118,641,372,612,615,99,6812,42,24,83,113,85,92,63,124,8,640,70,47,85,124,123,53,53,70,3,632,46,103,54,57,53,35,30,45,3,430,55,84,100,106,68,53,52,98,134,760,3775,11829,5008,4445,3917,1842,1978,2505,570,35879
LGA51400,57,61,45,58,40,10,24,16,3,311,94,89,97,142,87,31,22,23,13,583,198,136,1035,389,275,129,255,242,33,2694,17,3,24,37,42,37,18,47,0,228,12,8,18,36,46,18,12,27,0,178,5,7,9,5,8,5,6,9,0,50,13,23,17,26,12,15,16,20,30,167,666,1575,1307,821,654,267,398,452,84,6214
LGA51470,0,0,0,0,5,0,0,0,0,3,9,0,0,0,0,0,0,3,0,15,20,0,20,7,0,5,5,7,0,63,3,0,0,4,0,0,0,3,0,13,3,0,0,0,0,0,0,3,0,6,4,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,6,0,0,51,20,18,14,14,6,10,21,0,147
LGA51540,13,21,9,12,9,5,5,7,0,71,17,10,8,33,14,6,3,9,0,100,82,24,158,68,56,28,59,51,14,552,5,4,5,11,13,10,0,11,0,72,10,0,3,6,3,3,3,13,0,45,5,0,0,0,4,0,0,0,0,7,7,9,5,9,7,13,8,9,7,77,201,251,206,183,144,77,84,136,35,1313
LGA51610,5,6,4,6,8,0,3,0,0,33,10,7,3,7,6,0,0,9,0,43,39,11,79,16,28,7,20,19,0,225,3,0,0,0,4,0,5,0,0,13,3,0,0,5,4,0,0,0,0,17,0,4,0,0,4,0,3,0,0,10,8,0,3,0,3,0,4,0,0,19,98,90,95,46,61,16,36,30,3,482
LGA51680,23,29,14,22,26,6,8,5,0,135,39,20,20,45,34,3,16,12,3,189,104,34,335,91,92,28,108,71,15,877,9,0,10,11,15,3,11,19,0,63,14,8,9,6,11,7,4,10,0,58,4,5,5,0,5,0,0,0,0,6,13,6,9,13,12,10,9,11,8,98,272,305,426,214,222,62,158,135,35,1834
LGA51710,9,4,0,0,6,0,0,5,0,26,11,6,0,9,10,0,0,7,0,51,26,13,79,25,17,3,14,21,3,202,0,0,3,9,8,6,3,3,0,33,3,0,0,6,3,0,0,0,0,11,0,0,0,0,6,0,0,0,0,3,4,0,3,5,3,0,4,0,6,28,81,87,100,74,64,4,27,38,7,495
LGA51750,47,71,16,26,40,25,3,3,0,233,43,38,11,30,29,21,7,8,0,191,60,18,94,56,26,16,11,25,6,303,3,0,4,3,8,0,0,0,0,30,3,6,0,10,12,8,0,5,0,46,3,27,0,0,4,0,0,0,0,47,5,8,4,9,15,3,0,6,10,60,897,2212,201,288,410,206,39,80,48,4385
LGA51820,406,612,377,346,379,125,104,135,32,2521,683,688,702,944,756,318,188,248,59,4578,1310,733,5688,1898,1510,685,1069,1043,226,14159,89,63,131,169,191,162,77,180,12,1070,142,81,148,206,250,116,78,106,17,1134,61,125,88,70,58,31,27,49,7,506,109,165,142,145,124,66,80,106,140,1070,5461,13320,8326,5225,5208,2069,1985,2322,675,44595
LGA51860,0,0,0,0,0,0,0,0,0,5,0,0,0,4,4,0,0,0,0,7,11,4,19,11,6,0,0,8,0,59,0,0,5,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,7,0,16,27,25,22,21,12,4,4,19,0,137
LGA51890,7,14,11,25,12,0,4,6,0,73,15,20,27,38,21,3,19,11,0,154,65,32,549,169,110,47,189,109,28,1288,4,0,12,16,13,15,9,24,0,90,9,4,6,16,11,3,14,6,5,82,3,0,0,0,0,0,3,3,0,14,5,0,10,9,3,6,14,10,4,52,136,268,629,294,190,83,252,171,37,2061
LGA51960,0,4,6,0,6,0,3,0,0,26,3,6,9,12,11,5,9,4,0,48,23,19,172,27,25,10,95,15,6,394,0,0,5,8,6,4,16,13,0,39,0,0,5,3,0,0,4,0,0,16,4,0,0,0,4,0,0,0,0,10,5,0,8,8,5,0,16,11,8,57,54,89,207,63,64,18,150,42,21,710
LGA52030,3,0,0,0,0,0,0,0,0,13,11,3,0,0,0,0,0,0,0,17,23,4,28,6,8,4,17,14,0,108,0,0,0,0,3,0,0,4,0,10,3,3,5,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,3,0,6,0,0,0,0,0,0,7,56,30,33,18,30,7,21,23,0,226
LGA52100,13,6,0,0,0,0,3,0,0,18,11,0,0,7,9,0,0,0,0,23,26,0,35,13,18,8,10,11,5,121,4,0,0,0,3,4,0,4,0,19,8,0,0,3,4,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,87,42,36,32,32,18,16,19,4,282
LGA52170,34,53,16,13,25,12,6,0,5,158,43,26,11,17,15,13,0,7,5,134,40,10,69,32,27,13,9,13,5,214,3,3,3,0,4,6,0,0,0,25,7,13,4,5,10,11,0,6,3,49,4,22,0,0,4,0,0,0,0,33,8,16,5,6,10,4,0,3,13,62,702,1768,140,179,279,153,20,41,70,3357
LGA52240,12,0,8,0,3,0,0,4,0,28,9,0,0,0,3,0,0,7,0,15,37,4,13,18,9,0,7,23,4,114,7,0,0,3,0,0,0,6,0,17,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,3,17,97,22,24,30,29,0,15,42,7,275
LGA52310,3,0,0,4,0,0,0,0,0,19,4,4,5,0,0,0,0,0,0,15,16,6,22,9,8,4,11,13,0,94,0,0,0,4,6,0,0,0,0,12,3,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,8,55,35,24,26,30,10,11,33,0,223
LGA52380,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,16,0,0,0,6,7,0,37,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,0,0,10,11,6,19,3,0,0,15,10,3,69
LGA52450,5,0,0,3,0,0,0,0,0,11,6,0,0,3,3,0,0,0,0,14,28,5,53,16,15,7,10,17,3,153,0,0,0,0,0,0,6,3,0,12,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,5,0,0,16,80,47,59,37,22,16,12,26,8,298
LGA52520,9,0,0,0,4,0,0,0,0,15,7,3,3,4,0,0,3,7,0,30,37,5,37,10,6,8,7,7,0,123,0,0,0,5,9,0,5,0,0,18,4,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,4,0,0,5,0,0,4,3,3,0,0,0,0,12,105,65,50,24,28,11,18,23,5,332
LGA52590,26,15,5,6,11,4,4,7,0,76,21,3,7,11,18,4,6,12,0,84,69,25,128,24,37,20,50,55,6,412,6,4,0,3,6,0,7,3,0,24,8,5,3,5,8,9,0,8,0,40,4,0,0,6,0,0,0,0,0,10,6,7,3,4,0,6,4,9,0,46,175,174,165,76,98,35,77,110,16,927
LGA52660,48,49,30,42,29,7,15,4,0,224,52,72,48,104,64,27,20,20,12,427,176,93,897,297,233,124,261,201,37,2324,17,5,29,24,34,34,19,31,0,193,11,13,6,27,28,18,12,8,4,137,3,0,3,4,0,3,0,5,0,32,15,13,9,14,19,11,18,20,14,137,457,886,1080,593,490,257,367,335,80,4545
LGA52730,33,30,12,17,21,6,0,15,7,142,25,27,19,33,23,10,6,13,9,160,91,28,221,74,42,31,45,70,9,606,6,9,0,9,3,7,6,9,0,52,10,3,5,7,6,4,0,5,0,45,6,8,0,0,0,0,0,3,0,25,8,8,6,10,8,4,3,10,6,60,341,510,305,213,165,79,64,161,31,1873
LGA52800,9,15,4,19,0,0,0,4,0,54,17,17,3,32,21,8,0,6,0,102,43,40,105,99,56,12,18,72,10,465,0,12,6,13,10,7,0,3,0,58,3,5,5,16,5,5,4,5,0,46,3,0,0,0,0,0,0,0,0,5,5,10,5,6,3,0,0,8,6,59,167,394,142,247,118,32,34,111,25,1263
LGA52870,32,28,25,17,10,7,8,11,0,130,36,21,23,27,22,7,11,8,3,165,107,34,271,91,73,27,89,74,15,788,5,0,8,11,6,12,3,17,0,72,7,0,4,8,12,3,4,11,0,50,4,0,0,0,0,0,0,0,0,14,8,5,4,9,6,4,11,10,3,63,300,362,360,199,156,73,137,164,30,1795
LGA52940,7,0,0,0,4,0,3,0,0,14,8,0,0,6,4,0,0,4,0,19,27,5,13,4,9,0,10,4,0,67,0,0,0,0,0,0,0,0,0,7,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,8,60,24,13,20,19,0,8,12,0,168
