LGA_CODE_2021,C21_AP_75_79_NCB_4,C21_AP_75_79_NCB_5,C21_AP_75_79_NCB_6mor,C21_AP_75_79_NCB_NS,C21_AP_75_79_Tot,C21_AP_80_84_NCB_0,C21_AP_80_84_NCB_1,C21_AP_80_84_NCB_2,C21_AP_80_84_NCB_3,C21_AP_80_84_NCB_4,C21_AP_80_84_NCB_5,C21_AP_80_84_NCB_6mor,C21_AP_80_84_NCB_NS,C21_AP_80_84_Tot,C21_AP_85over_N_c_b_0,C21_AP_85over_N_c_b_1,C21_AP_85over_N_c_b_2,C21_AP_85over_N_c_b_3,C21_AP_85over_N_c_b_4,C21_AP_85over_N_c_b_5,C21_AP_85over_N_c_b_6mor,C21_AP_85over_N_c_b_NS,C21_AP_85over_Tot,C21_AP_Tot_NCB_0,C21_AP_Tot_NCB_1,C21_AP_Tot_NCB_2,C21_AP_Tot_NCB_3,C21_AP_Tot_NCB_4,C21_AP_Tot_NCB_5,C21_AP_Tot_N_ch_b_6mor,C21_AP_Tot_NCB_NS,C21_AP_Tot_Tot
LGA10050,143,51,38,107,1148,57,48,186,208,130,54,55,97,843,47,54,174,210,141,86,78,100,881,6600,2648,6142,4205,1657,551,438,1611,23850
LGA10180,77,27,18,79,627,31,12,87,101,70,17,35,69,432,18,28,45,102,72,27,48,112,451,3832,1159,2685,1977,827,272,286,1480,12509
LGA10250,140,36,36,85,1198,65,48,237,254,140,67,23,107,941,77,68,246,263,153,64,70,195,1145,5062,2222,5941,3717,1416,380,256,1435,20424
LGA10300,3,0,0,4,25,0,3,5,8,11,0,3,7,35,0,3,0,3,4,3,6,3,31,161,68,172,176,100,30,23,155,888
LGA10470,96,44,14,69,758,57,33,134,135,85,39,25,59,558,70,35,154,151,97,44,54,74,680,4951,1916,4668,3071,1305,404,288,1133,17732
LGA10500,201,66,47,232,2620,158,210,745,464,171,61,80,228,2120,174,234,616,426,199,87,94,406,2247,30300,11121,17153,7234,2376,783,540,5460,74966
LGA10550,102,32,24,71,943,48,26,155,171,93,35,30,73,632,31,47,111,132,102,45,43,107,618,3657,1712,4555,2748,1146,363,236,1253,15683
LGA10600,41,13,4,26,320,13,15,56,46,47,11,10,28,228,10,15,60,51,29,21,14,24,240,1332,616,1636,983,455,138,86,492,5748
LGA10650,45,12,11,32,259,12,6,37,55,27,12,15,36,196,13,4,13,35,34,19,13,38,179,686,325,923,758,389,133,82,422,3715
LGA10750,537,210,212,331,4015,132,195,642,569,373,213,203,302,2633,147,256,535,473,320,226,330,467,2753,44544,22419,42289,20566,8653,3295,2795,10433,154995
LGA10800,16,13,0,19,105,7,5,8,31,28,9,9,14,107,4,10,9,20,18,13,8,26,115,438,197,457,476,256,103,56,246,2223
LGA10850,27,10,4,22,151,5,3,16,14,17,15,6,15,90,14,8,15,13,21,16,6,9,94,725,290,780,550,293,107,47,233,3030
LGA10900,169,55,34,116,1826,127,94,270,259,129,56,35,94,1069,123,91,256,225,137,57,54,160,1108,9844,4208,9547,5508,1995,611,351,1525,33588
LGA10950,13,9,4,10,60,6,0,12,14,7,5,0,8,51,0,3,8,10,3,0,8,13,39,213,75,245,195,106,24,18,100,980
LGA11150,5,0,4,7,34,0,0,8,3,0,0,6,7,26,0,0,3,7,9,0,3,4,22,202,86,166,145,79,29,32,188,921
LGA11200,0,0,3,3,16,0,0,0,3,0,3,0,0,7,0,0,0,7,0,0,0,4,14,127,57,89,73,38,31,26,105,551
LGA11250,39,15,6,54,418,18,9,70,87,44,27,9,49,316,15,16,67,75,72,26,18,93,388,1743,786,2063,1276,610,185,115,737,7516
LGA11300,44,19,21,62,581,45,42,186,103,54,16,15,68,529,89,51,155,117,64,39,37,167,718,8048,2696,3612,1489,517,169,136,1432,18109
LGA11350,50,8,8,43,515,18,23,91,89,30,26,6,34,319,23,34,80,91,55,24,18,51,370,5549,2014,3704,1935,656,173,84,1793,15912
LGA11400,38,16,17,31,295,9,7,38,51,30,13,20,28,192,16,8,30,42,36,18,19,35,204,1175,477,1387,1194,556,158,120,477,5551
LGA11450,145,60,36,60,1095,34,43,200,187,124,38,45,76,744,47,48,198,167,107,57,49,124,793,13184,6011,13533,7478,2629,786,453,2003,46073
LGA11500,292,117,112,275,2196,62,85,344,284,185,93,96,198,1355,59,90,217,215,162,97,127,300,1271,19600,9545,18317,10401,4592,1800,1463,5126,70834
LGA11520,116,36,13,105,1484,94,97,382,257,115,38,28,97,1115,112,90,352,284,123,58,47,310,1380,15403,6008,10002,4151,1120,275,157,2229,39347
LGA11570,523,259,241,475,5124,258,324,1298,843,442,195,295,469,4123,290,368,1162,865,490,265,493,999,4933,46465,19516,35005,19970,9188,3799,3170,12384,149488
LGA11600,5,5,0,4,36,0,0,0,11,6,4,0,5,28,0,0,5,6,12,0,8,0,37,230,96,228,214,90,40,24,129,1052
LGA11650,834,254,117,784,8139,405,403,1579,1400,727,241,183,777,5712,486,432,1482,1358,836,336,299,1379,6619,38292,17310,42955,25777,9638,2835,1641,10024,148463
LGA11700,0,3,4,7,30,0,0,0,0,0,0,3,5,16,0,0,3,9,0,0,0,4,13,153,58,108,100,45,24,39,169,707
LGA11720,109,42,28,90,952,41,35,165,147,100,34,34,90,640,38,58,199,165,90,37,46,114,749,6547,2973,7047,4431,1829,584,410,1530,25356
LGA11730,168,61,29,107,1450,84,52,234,218,147,61,53,107,958,84,72,243,230,188,79,77,106,1070,4845,2282,6306,4353,2049,648,432,1957,22870
LGA11750,13,4,0,21,72,0,0,11,8,10,5,3,10,47,0,4,8,3,5,4,12,7,45,333,134,361,259,132,47,35,277,1578
