LGA_CODE_2021,C21_1500_1999_R100_149,C21_1500_1999_R150_199,C21_1500_1999_R200_224,C21_1500_1999_R225_274,C21_1500_1999_R275_349,C21_1500_1999_R350_449,C21_1500_1999_R450_549,C21_1500_1999_R550_649,C21_1500_1999_R650more,C21_1500_1999_R_NS,C21_1500_1999_R_Tot,C21_2000_2499_R1_74,C21_2000_2499_R75_99,C21_2000_2499_R100_149,C21_2000_2499_R150_199,C21_2000_2499_R200_224,C21_2000_2499_R225_274,C21_2000_2499_R275_349,C21_2000_2499_R350_449,C21_2000_2499_R450_549,C21_2000_2499_R550_649,C21_2000_2499_R650more,C21_2000_2499_R_NS,C21_2000_2499_R_Tot,C21_2500_2999_R1_74,C21_2500_2999_R75_99,C21_2500_2999_R100_149,C21_2500_2999_R150_199,C21_2500_2999_R200_224,C21_2500_2999_R225_274,C21_2500_2999_R275_349,C21_2500_2999_R350_449,C21_2500_2999_R450_549,C21_2500_2999_R550_649,C21_2500_2999_R650more,C21_2500_2999_R_NS,C21_2500_2999_R_Tot,C21_3000_3999_R1_74,C21_3000_3999_R75_99,C21_3000_3999_R100_149,C21_3000_3999_R150_199,C21_3000_3999_R200_224,C21_3000_3999_R225_274,C21_3000_3999_R275_349,C21_3000_3999_R350_449,C21_3000_3999_R450_549,C21_3000_3999_R550_649,C21_3000_3999_R650more,C21_3000_3999_R_NS,C21_3000_3999_R_Tot,C21_4000more_R1_74,C21_4000more_R75_99,C21_4000more_R100_149,C21_4000more_R150_199,C21_4000more_R200_224,C21_4000more_R225_274,C21_4000more_R275_349,C21_4000more_R350_449,C21_4000more_R450_549,C21_4000more_R550_649,C21_4000more_R650more,C21_4000more_R_NS,C21_4000more_R_Tot,C21_PI_S_R1_74,C21_PI_S_R75_99,C21_PI_S_R100_149,C21_PI_S_R150_199,C21_PI_S_R200_224,C21_PI_S_R225_274,C21_PI_S_R275_349,C21_PI_S_R350_449,C21_PI_S_R450_549,C21_PI_S_R550_649,C21_PI_S_R650more,C21_PI_S_R_NS,C21_PI_S_R_Tot,C21_AI_NS_R1_74,C21_AI_NS_R75_99,C21_AI_NS_R100_149,C21_AI_NS_R150_199,C21_AI_NS_R200_224,C21_AI_NS_R225_274,C21_AI_NS_R275_349,C21_AI_NS_R350_449,C21_AI_NS_R450_549,C21_AI_NS_R550_649,C21_AI_NS_R650more,C21_AI_NS_R_NS,C21_AI_NS_R_Tot,C21_Tot_R1_74,C21_Tot_R75_99,C21_Tot_R100_149,C21_Tot_R150_199,C21_Tot_R200_224,C21_Tot_R225_274,C21_Tot_R275_349,C21_Tot_R350_449,C21_Tot_R450_549,C21_Tot_R550_649,C21_Tot_R650more,C21_Tot_R_NS,C21_Tot_R_Tot
LGA10050,14,56,76,160,323,225,37,6,3,15,922,5,3,7,41,38,90,244,253,49,8,6,16,753,0,0,8,8,14,26,72,110,29,6,3,9,293,0,0,0,10,10,24,69,132,59,14,8,3,334,4,0,9,11,4,15,20,61,57,16,18,15,222,0,0,10,16,24,30,71,74,24,3,4,18,281,0,3,15,34,15,18,13,4,4,3,0,50,163,44,92,472,1129,686,1328,1779,1341,318,81,54,289,7603
LGA10180,12,15,41,92,125,147,25,5,0,16,486,0,0,15,8,18,53,96,137,29,4,8,9,377,5,0,0,3,4,13,29,66,15,6,0,4,141,0,0,0,0,12,13,24,68,26,5,0,0,146,0,0,3,3,0,10,6,45,30,13,6,9,127,0,0,3,8,15,24,41,47,13,0,0,10,166,0,0,3,13,10,11,13,6,0,0,0,11,67,26,38,130,383,360,687,911,850,184,43,34,140,3769
LGA10250,9,3,9,17,54,158,163,114,61,17,599,5,0,7,4,9,11,49,148,138,104,83,18,564,0,0,3,3,4,3,20,56,74,88,66,9,326,0,0,0,0,4,6,6,43,66,93,93,4,305,0,0,5,0,0,0,6,18,20,42,128,3,237,0,0,5,9,3,7,14,44,75,52,48,10,271,4,0,15,11,7,10,12,7,5,6,7,23,96,30,22,338,188,132,247,588,1075,900,664,597,169,4952
LGA10300,3,4,6,3,3,0,0,0,0,0,26,4,0,0,4,3,0,3,3,0,0,0,0,22,0,0,0,0,0,0,4,0,0,0,0,0,7,4,0,0,6,0,4,0,0,0,0,0,0,13,0,0,0,0,4,0,0,0,0,0,4,0,9,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,0,4,0,0,0,3,0,0,0,6,5,17,9,10,38,34,31,22,9,0,0,5,15,191
LGA10470,13,14,26,69,195,229,60,8,4,19,628,5,0,3,4,15,40,141,238,88,11,10,10,567,0,0,0,9,4,14,64,119,66,4,0,8,293,0,0,0,3,3,11,57,97,62,3,5,8,253,0,0,7,10,0,5,23,42,49,9,5,5,162,4,0,10,3,11,14,60,74,31,3,0,15,230,0,0,17,8,4,9,17,9,0,0,0,27,89,44,47,260,303,319,554,1293,1356,465,54,25,194,4905
LGA10500,20,32,27,59,177,927,1132,676,543,68,3662,8,0,19,14,17,45,155,768,1289,952,693,71,4035,0,0,4,8,9,29,58,313,624,648,548,48,2294,5,0,7,20,20,33,52,300,740,953,1108,53,3289,4,3,3,9,11,33,42,126,388,579,1294,53,2540,5,0,18,12,14,20,58,147,225,228,317,127,1163,3,3,34,13,8,6,10,35,35,30,16,99,296,106,131,1019,535,352,582,1416,5159,6678,5275,5443,872,27556
LGA10550,6,9,10,40,87,138,47,4,13,12,364,0,0,7,6,8,21,63,109,41,17,5,13,277,3,0,3,3,4,13,21,70,35,9,7,8,166,5,0,0,0,10,0,12,45,28,3,8,3,125,0,0,6,4,6,8,9,22,22,19,10,6,112,0,0,4,4,6,16,30,40,23,4,0,5,125,0,0,9,4,7,10,10,9,3,0,0,22,72,33,20,217,206,233,401,671,815,288,61,59,156,3161
LGA10600,3,6,5,5,22,63,12,0,3,9,129,0,0,3,4,4,4,11,34,23,6,3,7,96,4,0,0,0,0,3,3,13,6,0,4,0,39,0,0,0,3,0,0,0,12,13,3,4,0,39,0,0,0,0,0,0,3,6,7,3,0,0,31,0,0,5,0,0,3,11,21,13,0,0,4,68,0,0,0,8,0,0,7,3,0,0,0,0,23,8,6,39,80,58,117,250,360,144,39,27,56,1192
LGA10650,8,7,10,5,18,15,0,0,0,3,72,5,3,5,4,9,8,13,7,0,0,0,5,52,0,0,0,3,4,0,10,4,0,0,0,0,29,0,0,0,3,3,0,8,3,0,0,0,0,23,0,0,0,0,0,3,3,0,0,0,0,0,12,0,0,4,6,6,5,3,4,0,0,0,0,24,0,0,5,6,5,3,0,0,0,0,0,9,27,12,22,96,127,96,111,117,46,7,0,5,29,671
LGA10750,44,68,49,143,638,2321,1354,559,174,100,5468,3,9,12,43,52,103,464,2093,1574,868,255,80,5555,6,0,16,19,18,48,165,1061,1058,652,228,61,3334,8,5,6,25,24,47,139,935,1119,1021,415,56,3806,0,4,35,20,8,27,83,444,640,813,574,63,2711,3,7,66,58,41,55,155,545,432,261,126,181,1932,17,14,118,49,15,19,45,76,32,13,11,229,640,259,425,2309,1747,986,1582,4419,13171,8384,5042,2062,1421,41814
