LGA_CODE_2021,C11_Neg_Ni_inc_R1_74,C11_Neg_Ni_inc_R75_99,C11_Neg_Ni_inc_R100_149,C11_Neg_Ni_inc_R150_199,C11_Neg_Ni_inc_R200_224,C11_Neg_Ni_inc_R225_274,C11_Neg_Ni_inc_R275_349,C11_Neg_Ni_inc_R350_449,C11_Neg_Ni_inc_R450_549,C11_Neg_Ni_inc_R550_649,C11_Neg_Ni_inc_R650more,C11_Neg_Ni_inc_R_NS,C11_Neg_Ni_inc_R_Tot,C11_1_149_R1_74,C11_1_149_R75_99,C11_1_149_R100_149,C11_1_149_R150_199,C11_1_149_R200_224,C11_1_149_R225_274,C11_1_149_R275_349,C11_1_149_R350_449,C11_1_149_R450_549,C11_1_149_R550_649,C11_1_149_R650more,C11_1_149_R_NS,C11_1_149_R_Tot,C11_150_299_R1_74,C11_150_299_R75_99,C11_150_299_R100_149,C11_150_299_R150_199,C11_150_299_R200_224,C11_150_299_R225_274,C11_150_299_R275_349,C11_150_299_R350_449,C11_150_299_R450_549,C11_150_299_R550_649,C11_150_299_R650more,C11_150_299_R_NS,C11_150_299_R_Tot,C11_300_399_R1_74,C11_300_399_R75_99,C11_300_399_R100_149,C11_300_399_R150_199,C11_300_399_R200_224,C11_300_399_R225_274,C11_300_399_R275_349,C11_300_399_R350_449,C11_300_399_R450_549,C11_300_399_R550_649,C11_300_399_R650more,C11_300_399_R_NS,C11_300_399_R_Tot,C11_400_499_R1_74,C11_400_499_R75_99,C11_400_499_R100_149,C11_400_499_R150_199,C11_400_499_R200_224,C11_400_499_R225_274,C11_400_499_R275_349,C11_400_499_R350_449,C11_400_499_R450_549,C11_400_499_R550_649,C11_400_499_R650more,C11_400_499_R_NS,C11_400_499_R_Tot,C11_500_649_R1_74,C11_500_649_R75_99,C11_500_649_R100_149,C11_500_649_R150_199,C11_500_649_R200_224,C11_500_649_R225_274,C11_500_649_R275_349,C11_500_649_R350_449,C11_500_649_R450_549,C11_500_649_R550_649,C11_500_649_R650more,C11_500_649_R_NS,C11_500_649_R_Tot,C11_650_799_R1_74,C11_650_799_R75_99,C11_650_799_R100_149,C11_650_799_R150_199,C11_650_799_R200_224,C11_650_799_R225_274,C11_650_799_R275_349,C11_650_799_R350_449,C11_650_799_R450_549,C11_650_799_R550_649,C11_650_799_R650more,C11_650_799_R_NS,C11_650_799_R_Tot,C11_800_999_R1_74,C11_800_999_R75_99,C11_800_999_R100_149,C11_800_999_R150_199,C11_800_999_R200_224,C11_800_999_R225_274,C11_800_999_R275_349,C11_800_999_R350_449,C11_800_999_R450_549,C11_800_999_R550_649,C11_800_999_R650more,C11_800_999_R_NS,C11_800_999_R_Tot,C11_1000_1249_R1_74,C11_1000_1249_R75_99,C11_1000_1249_R100_149,C11_1000_1249_R150_199,C11_1000_1249_R200_224,C11_1000_1249_R225_274,C11_1000_1249_R275_349,C11_1000_1249_R350_449,C11_1000_1249_R450_549,C11_1000_1249_R550_649,C11_1000_1249_R650more,C11_1000_1249_R_NS,C11_1000_1249_R_Tot,C11_1250_1499_R1_74,C11_1250_1499_R75_99,C11_1250_1499_R100_149,C11_1250_1499_R150_199,C11_1250_1499_R200_224,C11_1250_1499_R225_274,C11_1250_1499_R275_349,C11_1250_1499_R350_449,C11_1250_1499_R450_549,C11_1250_1499_R550_649,C11_1250_1499_R650more,C11_1250_1499_R_NS,C11_1250_1499_R_Tot,C11_1500_1999_R1_74,C11_1500_1999_R75_99,C11_1500_1999_R100_149,C11_1500_1999_R150_199,C11_1500_1999_R200_224,C11_1500_1999_R225_274,C11_1500_1999_R275_349,C11_1500_1999_R350_449,C11_1500_1999_R450_549,C11_1500_1999_R550_649,C11_1500_1999_R650more,C11_1500_1999_R_NS,C11_1500_1999_R_Tot,C11_2000_2499_R1_74,C11_2000_2499_R75_99,C11_2000_2499_R100_149,C11_2000_2499_R150_199,C11_2000_2499_R200_224,C11_2000_2499_R225_274,C11_2000_2499_R275_349,C11_2000_2499_R350_449,C11_2000_2499_R450_549,C11_2000_2499_R550_649,C11_2000_2499_R650more,C11_2000_2499_R_NS,C11_2000_2499_R_Tot,C11_2500_2999_R1_74,C11_2500_2999_R75_99,C11_2500_2999_R100_149,C11_2500_2999_R150_199,C11_2500_2999_R200_224,C11_2500_2999_R225_274,C11_2500_2999_R275_349,C11_2500_2999_R350_449,C11_2500_2999_R450_549,C11_2500_2999_R550_649,C11_2500_2999_R650more,C11_2500_2999_R_NS,C11_2500_2999_R_Tot,C11_3000_3999_R1_74,C11_3000_3999_R75_99,C11_3000_3999_R100_149,C11_3000_3999_R150_199,C11_3000_3999_R200_224,C11_3000_3999_R225_274,C11_3000_3999_R275_349,C11_3000_3999_R350_449,C11_3000_3999_R450_549,C11_3000_3999_R550_649,C11_3000_3999_R650more,C11_3000_3999_R_NS,C11_3000_3999_R_Tot,C11_4000more_R1_74,C11_4000more_R75_99,C11_4000more_R100_149,C11_4000more_R150_199,C11_4000more_R200_224,C11_4000more_R225_274,C11_4000more_R275_349,C11_4000more_R350_449,C11_4000more_R450_549,C11_4000more_R550_649,C11_4000more_R650more,C11_4000more_R_NS,C11_4000more_R_Tot,C11_PI_S_R1_74,C11_PI_S_R75_99,C11_PI_S_R100_149,C11_PI_S_R150_199,C11_PI_S_R200_224
LGA10050,0,0,13,18,4,11,9,3,0,0,0,4,70,16,13,37,20,5,6,5,0,0,0,0,12,108,40,69,136,86,23,21,11,0,0,0,5,15,412,29,136,224,125,35,42,17,5,0,0,0,17,635,8,43,223,217,92,74,32,5,0,3,0,10,717,9,6,74,86,32,47,22,7,0,0,4,3,291,9,19,160,209,105,146,77,12,7,0,0,16,764,3,13,90,149,100,141,67,15,0,0,3,15,594,0,3,59,121,86,138,83,27,3,0,3,9,539,3,5,43,63,61,123,84,34,0,5,4,6,438,4,4,19,68,67,138,148,48,9,3,4,9,513,0,0,10,19,29,48,91,41,5,0,0,0,237,0,0,5,7,14,23,46,28,12,5,0,4,154,3,0,0,3,4,5,19,20,7,3,3,5,75,0,0,0,0,5,0,6,7,0,0,5,0,26,4,6,27,47,35
LGA10180,0,0,8,15,7,4,11,6,0,0,0,7,56,6,10,17,19,11,3,3,0,0,0,0,3,74,17,30,64,57,17,15,10,5,0,0,3,10,226,17,53,67,89,22,34,5,4,0,0,0,12,318,9,13,64,110,47,41,31,10,4,0,3,11,341,9,7,27,49,19,42,17,9,0,0,0,0,178,7,13,46,112,68,79,46,14,0,0,0,14,410,5,8,34,76,53,67,54,14,0,0,0,5,313,3,0,22,67,50,72,62,29,0,0,0,8,314,4,0,13,37,22,59,48,18,0,0,0,7,213,3,0,18,41,31,51,55,37,8,0,0,5,265,0,0,4,10,12,21,36,38,5,0,0,5,124,0,0,3,5,9,12,15,29,3,0,4,5,85,4,0,6,4,0,0,17,16,3,0,0,0,41,0,0,0,0,0,0,0,3,0,0,0,0,9,3,0,20,33,28
LGA10250,0,10,0,4,4,7,13,13,0,0,0,10,60,8,9,10,6,0,5,7,5,3,0,0,5,58,24,48,23,45,15,22,24,9,0,0,0,7,227,34,105,53,52,32,47,28,22,3,0,0,23,412,9,21,43,52,64,86,93,54,7,0,8,9,454,3,9,45,35,11,43,43,39,8,4,0,6,262,3,16,31,59,47,109,152,108,15,0,0,10,545,7,5,22,44,23,80,148,97,22,6,3,7,468,0,0,11,22,20,64,151,139,23,0,3,9,452,3,0,9,13,13,29,98,125,20,3,8,7,333,0,5,5,11,17,30,105,150,35,7,7,6,384,0,0,0,3,4,18,50,83,25,3,4,0,194,0,0,4,4,0,6,18,47,31,4,5,0,129,0,0,0,0,0,0,11,25,24,4,8,0,80,0,0,0,0,0,0,0,8,5,0,0,0,15,6,4,7,20,13
LGA10300,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,8,0,0,0,0,0,0,0,0,0,17,4,0,5,3,0,0,0,0,0,0,0,0,16,0,0,4,8,3,0,0,0,0,0,0,0,21,0,0,4,5,0,0,0,0,0,0,0,0,7,0,4,12,5,6,0,0,0,0,0,3,0,29,0,0,12,15,0,0,0,0,0,0,0,0,26,3,0,7,6,0,0,0,0,0,0,0,0,17,0,0,0,5,0,0,0,0,0,0,0,0,11,4,0,0,3,4,0,0,0,0,0,0,0,18,5,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0
LGA10470,3,3,10,7,6,0,4,0,0,0,0,5,38,10,6,14,9,7,0,0,3,0,0,0,0,66,28,38,66,46,27,19,11,5,0,0,0,11,241,33,66,77,71,32,21,14,3,0,0,4,20,339,10,12,71,88,69,83,34,10,0,0,4,8,382,11,3,33,44,29,36,32,10,0,0,0,6,206,3,6,54,111,73,105,67,16,4,0,0,4,439,4,5,32,67,58,108,74,23,0,0,3,9,377,0,5,28,90,65,113,71,21,0,0,0,4,407,7,4,17,42,52,77,87,27,0,0,0,7,318,10,4,13,29,40,91,126,72,4,0,0,7,391,3,0,11,11,16,37,52,45,4,0,0,0,188,4,0,5,9,13,21,44,38,12,0,0,6,157,0,0,3,5,0,9,23,25,0,0,0,0,65,0,0,0,0,0,4,9,5,0,0,0,4,21,6,3,20,31,28
LGA10500,16,12,21,8,8,22,62,101,44,28,12,36,355,30,33,19,15,5,15,25,39,16,13,4,25,236,103,246,67,49,17,28,64,87,36,18,7,53,780,82,361,99,49,23,37,104,116,24,5,15,43,954,15,36,91,62,49,80,207,220,63,25,9,33,887,11,15,115,63,20,38,103,145,50,17,12,30,614,13,34,44,71,57,91,370,419,117,62,29,36,1340,3,10,32,52,48,97,346,497,156,77,35,35,1398,7,4,26,40,31,119,351,561,227,86,37,27,1526,0,4,9,24,20,65,282,497,214,84,39,30,1268,0,8,16,23,28,75,329,750,405,158,77,37,1911,4,5,4,18,11,47,193,454,312,165,57,30,1309,0,0,5,6,19,15,93,323,232,118,83,17,918,3,0,3,0,8,16,46,154,193,132,103,13,667,0,0,0,0,0,0,12,36,76,57,56,9,260,3,17,31,31,30
LGA10550,0,0,6,0,5,7,4,0,0,0,4,4,27,9,7,11,14,5,4,5,0,0,0,0,3,46,15,40,40,40,19,16,8,0,0,0,4,7,194,17,56,72,102,37,20,14,6,0,0,0,15,340,6,11,56,115,56,66,25,0,0,0,0,17,357,9,8,17,42,44,36,17,3,0,0,0,10,176,3,7,45,96,67,97,55,6,0,0,3,11,392,5,3,22,79,50,70,65,9,0,0,0,6,318,4,0,15,44,44,88,66,19,0,0,8,9,291,0,5,9,35,24,44,37,11,4,0,0,5,179,6,4,8,24,24,38,65,33,3,0,3,8,214,0,0,3,12,5,16,20,9,0,0,0,0,79,3,0,3,3,6,9,10,10,0,4,0,6,59,0,0,3,5,0,4,3,3,0,0,0,0,22,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,17,25,20
LGA10600,0,0,0,0,0,0,0,4,0,0,0,0,12,4,4,3,5,8,0,0,0,0,0,0,5,24,4,10,14,19,7,10,7,4,0,0,3,3,83,8,28,25,19,21,25,17,8,0,0,0,7,146,0,3,32,34,28,23,34,5,0,0,0,0,166,3,0,10,11,10,18,14,5,0,0,0,3,77,0,3,18,33,24,44,32,9,0,0,0,3,167,6,0,8,19,11,31,35,27,0,0,3,5,143,0,0,4,11,13,20,24,12,0,0,0,4,99,0,0,5,5,10,17,20,4,0,0,0,0,55,0,0,0,5,12,15,22,17,0,0,0,0,81,4,0,0,0,0,0,9,8,0,0,0,0,29,0,0,0,0,0,0,3,3,4,0,0,6,16,0,0,0,0,0,5,3,0,0,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,5,6,24
LGA10650,0,0,4,3,0,0,0,0,0,0,0,0,11,0,0,0,3,0,0,0,0,0,0,0,0,12,3,6,15,13,5,6,0,0,0,0,0,3,53,8,23,32,18,5,0,0,0,0,0,0,5,89,4,3,33,23,0,0,6,0,0,0,0,0,80,0,4,15,22,3,0,0,0,0,0,0,5,39,6,3,22,34,10,9,3,0,0,0,0,4,84,0,3,18,23,3,7,3,0,0,0,0,0,57,6,4,14,19,12,3,4,0,0,0,0,3,59,0,0,12,14,4,3,0,0,0,0,0,0,45,4,0,14,7,5,15,3,0,0,0,0,0,47,3,0,0,5,6,4,0,0,0,0,0,0,25,5,0,3,4,0,3,0,0,0,0,0,0,16,0,0,0,4,0,4,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,8
LGA10750,20,25,16,18,24,39,80,74,5,9,6,58,370,76,66,44,21,11,16,56,37,3,0,10,36,378,280,451,250,149,56,88,149,88,6,8,11,100,1641,176,768,308,182,82,141,226,108,7,3,14,82,2103,50,118,294,211,141,240,464,287,27,6,8,66,1910,43,58,448,256,88,155,269,157,27,3,4,50,1571,43,83,209,370,210,345,730,456,75,18,21,74,2631,27,45,148,259,173,366,786,538,88,17,31,67,2535,15,27,92,192,169,311,891,739,124,30,19,60,2676,6,14,44,98,137,218,682,698,120,36,18,46,2117,15,18,37,110,138,292,896,1103,272,78,36,56,3056,7,8,23,51,80,138,476,747,215,96,23,40,1898,3,3,9,23,41,61,210,388,196,130,19,17,1104,0,0,8,12,20,37,105,253,173,104,25,13,752,5,4,9,5,10,8,15,62,51,49,21,4,252,36,37,149,170,147
