LGA_CODE_2021,C11_Budh_0_14,C11_Budh_15_24,C11_Budh_25_34,C11_Budh_35_44,C11_Budh_45_54,C11_Budh_55_64,C11_Budh_65_74,C11_Budh_75_84,C11_Budh_85ov,C11_Budh_Tot,C11_C_Ang_0_14,C11_C_Ang_15_24,C11_C_Ang_25_34,C11_C_Ang_35_44,C11_C_Ang_45_54,C11_C_Ang_55_64,C11_C_Ang_65_74,C11_C_Ang_75_84,C11_C_Ang_85ov,C11_C_Ang_Tot,C11_C_As_Apo_0_14,C11_C_As_Apo_15_24,C11_C_As_Apo_25_34,C11_C_As_Apo_35_44,C11_C_As_Apo_45_54,C11_C_As_Apo_55_64,C11_C_As_Apo_65_74,C11_C_As_Apo_75_84,C11_C_As_Apo_85ov,C11_C_As_Apo_Tot,C11_C_Bap_0_14,C11_C_Bap_15_24,C11_C_Bap_25_34,C11_C_Bap_35_44,C11_C_Bap_45_54,C11_C_Bap_55_64,C11_C_Bap_65_74,C11_C_Bap_75_84,C11_C_Bap_85ov,C11_C_Bap_Tot,C11_C_Breth_0_14,C11_C_Breth_15_24,C11_C_Breth_25_34,C11_C_Breth_35_44,C11_C_Breth_45_54,C11_C_Breth_55_64,C11_C_Breth_65_74,C11_C_Breth_75_84,C11_C_Breth_85ov,C11_C_Breth_Tot,C11_C_Cath_0_14,C11_C_Cath_15_24,C11_C_Cath_25_34,C11_C_Cath_35_44,C11_C_Cath_45_54,C11_C_Cath_55_64,C11_C_Cath_65_74,C11_C_Cath_75_84,C11_C_Cath_85ov,C11_C_Cath_Tot,C11_C_Ch_Chr_0_14,C11_C_Ch_Chr_15_24,C11_C_Ch_Chr_25_34,C11_C_Ch_Chr_35_44,C11_C_Ch_Chr_45_54,C11_C_Ch_Chr_55_64,C11_C_Ch_Chr_65_74,C11_C_Ch_Chr_75_84,C11_C_Ch_Chr_85ov,C11_C_Ch_Chr_Tot,C11_C_E_Orth_0_14,C11_C_E_Orth_15_24,C11_C_E_Orth_25_34,C11_C_E_Orth_35_44,C11_C_E_Orth_45_54,C11_C_E_Orth_55_64,C11_C_E_Orth_65_74,C11_C_E_Orth_75_84,C11_C_E_Orth_85ov,C11_C_E_Orth_Tot,C11_C_Jeh_Wit_0_14,C11_C_Jeh_Wit_15_24,C11_C_Jeh_Wit_25_34,C11_C_Jeh_Wit_35_44,C11_C_Jeh_Wit_45_54,C11_C_Jeh_Wit_55_64,C11_C_Jeh_Wit_65_74,C11_C_Jeh_Wit_75_84,C11_C_Jeh_Wit_85ov,C11_C_Jeh_Wit_Tot,C11_C_La_Da_Sai_0_14,C11_C_La_Da_Sai_15_24,C11_C_La_Da_Sai_25_34,C11_C_La_Da_Sai_35_44,C11_C_La_Da_Sai_45_54,C11_C_La_Da_Sai_55_64,C11_C_La_Da_Sai_65_74,C11_C_La_Da_Sai_75_84,C11_C_La_Da_Sai_85ov,C11_C_La_Da_Sai_Tot,C11_C_Luth_0_14,C11_C_Luth_15_24,C11_C_Luth_25_34,C11_C_Luth_35_44,C11_C_Luth_45_54,C11_C_Luth_55_64,C11_C_Luth_65_74,C11_C_Luth_75_84,C11_C_Luth_85ov,C11_C_Luth_Tot,C11_C_Ori_Orth_0_14,C11_C_Ori_Orth_15_24,C11_C_Ori_Orth_25_34,C11_C_Ori_Orth_35_44,C11_C_Ori_Orth_45_54,C11_C_Ori_Orth_55_64,C11_C_Ori_Orth_65_74,C11_C_Ori_Orth_75_84,C11_C_Ori_Orth_85ov,C11_C_Ori_Orth_Tot,C11_C_Oth_Prot_0_14,C11_C_Oth_Prot_15_24,C11_C_Oth_Prot_25_34,C11_C_Oth_Prot_35_44,C11_C_Oth_Prot_45_54,C11_C_Oth_Prot_55_64,C11_C_Oth_Prot_65_74,C11_C_Oth_Prot_75_84,C11_C_Oth_Prot_85ov,C11_C_Oth_Prot_Tot,C11_C_Pentec_0_14,C11_C_Pentec_15_24,C11_C_Pentec_25_34,C11_C_Pentec_35_44,C11_C_Pentec_45_54,C11_C_Pentec_55_64,C11_C_Pentec_65_74,C11_C_Pentec_75_84,C11_C_Pentec_85ov,C11_C_Pentec_Tot,C11_C_Pres_Ref_0_14,C11_C_Pres_Ref_15_24,C11_C_Pres_Ref_25_34,C11_C_Pres_Ref_35_44,C11_C_Pres_Ref_45_54,C11_C_Pres_Ref_55_64,C11_C_Pres_Ref_65_74,C11_C_Pres_Ref_75_84,C11_C_Pres_Ref_85ov,C11_C_Pres_Ref_Tot,C11_C_Sal_Army_0_14,C11_C_Sal_Army_15_24,C11_C_Sal_Army_25_34,C11_C_Sal_Army_35_44,C11_C_Sal_Army_45_54,C11_C_Sal_Army_55_64,C11_C_Sal_Army_65_74,C11_C_Sal_Army_75_84,C11_C_Sal_Army_85ov,C11_C_Sal_Army_Tot,C11_C_Se_da_Adv_0_14,C11_C_Se_da_Adv_15_24,C11_C_Se_da_Adv_25_34,C11_C_Se_da_Adv_35_44,C11_C_Se_da_Adv_45_54,C11_C_Se_da_Adv_55_64,C11_C_Se_da_Adv_65_74,C11_C_Se_da_Adv_75_84,C11_C_Se_da_Adv_85ov,C11_C_Se_da_Adv_Tot,C11_C_Uni_Ch_0_14,C11_C_Uni_Ch_15_24,C11_C_Uni_Ch_25_34,C11_C_Uni_Ch_35_44,C11_C_Uni_Ch_45_54,C11_C_Uni_Ch_55_64,C11_C_Uni_Ch_65_74,C11_C_Uni_Ch_75_84,C11_C_Uni_Ch_85ov,C11_C_Uni_Ch_Tot,C11_Chr_Ch_nfd_0_14,C11_Chr_Ch_nfd_15_24,C11_Chr_Ch_nfd_25_34,C11_Chr_Ch_nfd_35_44,C11_Chr_Ch_nfd_45_54,C11_Chr_Ch_nfd_55_64,C11_Chr_Ch_nfd_65_74,C11_Chr_Ch_nfd_75_84,C11_Chr_Ch_nfd_85ov,C11_Chr_Ch_nfd_Tot,C11_Chr_Oth_Ch_0_14,C11_Chr_Oth_Ch_15_24,C11_Chr_Oth_Ch_25_34,C11_Chr_Oth_Ch_35_44,C11_Chr_Oth_Ch_45_54,C11_Chr_Oth_Ch_55_64,C11_Chr_Oth_Ch_65_74,C11_Chr_Oth_Ch_75_84,C11_Chr_Oth_Ch_85ov,C11_Chr_Oth_Ch_Tot
LGA10050,73,62,71,86,71,50,14,8,0,440,1487,1034,931,1281,1461,1465,1072,717,329,9767,0,0,0,0,0,0,0,0,0,0,117,74,62,79,82,57,59,28,8,559,20,33,17,6,12,10,6,6,0,113,2960,2012,1612,1750,1839,1495,1014,654,250,13583,9,5,5,6,7,6,5,15,4,68,59,33,33,56,50,45,38,41,11,359,34,11,21,14,10,26,17,10,12,157,9,4,6,6,5,7,7,4,0,42,267,213,148,200,209,184,126,120,61,1510,3,0,4,4,0,0,0,0,0,18,25,11,17,6,11,7,4,0,0,90,110,94,67,79,74,66,32,15,0,538,196,164,144,243,343,395,291,208,99,2094,26,13,13,14,21,31,25,5,4,152,39,24,26,27,28,35,25,11,8,217,315,322,226,276,411,430,303,226,100,2611,233,144,104,131,125,103,57,38,13,946,14,5,3,6,12,9,3,0,0,48
LGA10180,40,61,46,64,37,40,10,8,0,305,1350,1194,679,887,1079,1005,761,483,230,7674,0,0,0,0,0,0,0,0,0,0,29,38,20,18,36,40,33,20,6,244,76,49,9,19,23,0,6,6,0,189,1287,1215,662,700,820,638,491,259,100,6178,3,13,0,5,8,3,0,4,3,34,4,8,6,7,11,13,6,3,0,61,17,17,12,12,16,11,9,10,0,98,11,8,4,7,3,6,0,0,0,43,16,11,4,22,16,8,6,12,0,100,0,0,3,3,0,0,0,0,0,6,0,12,4,0,6,0,0,0,0,26,41,31,24,35,38,22,20,10,0,212,133,157,78,153,256,257,207,182,67,1495,19,18,9,21,21,13,17,8,3,131,56,25,18,25,20,25,13,4,4,184,148,159,66,89,188,163,118,79,43,1057,88,95,45,52,75,64,37,18,8,470,6,6,6,3,4,9,3,0,0,38
LGA10250,86,55,62,93,95,95,23,9,0,517,1205,709,536,1121,1408,1673,1374,994,491,9510,0,0,0,0,0,0,0,0,0,0,75,39,43,62,82,88,70,47,23,531,10,3,0,7,5,0,0,3,0,28,2045,1148,794,1264,1469,1283,956,649,233,9844,6,4,0,4,6,6,5,5,0,36,9,9,10,19,17,14,13,7,0,97,29,28,28,27,24,29,29,23,9,229,27,6,0,12,10,5,3,8,3,67,22,16,10,19,20,25,19,21,11,165,0,0,0,0,0,0,0,0,0,0,5,0,7,4,9,4,0,9,4,40,109,75,58,45,85,64,28,14,3,474,168,92,95,215,318,398,326,291,152,2054,15,26,10,24,13,24,30,14,3,151,32,17,17,22,39,23,40,45,30,262,206,148,109,197,305,420,345,290,166,2182,210,139,103,124,147,137,79,39,17,994,9,3,9,3,11,13,5,3,3,58
LGA10300,0,0,9,3,0,3,0,0,0,19,30,29,38,50,67,69,45,35,6,379,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,237,85,93,121,129,105,66,50,8,896,0,0,0,0,0,0,0,0,0,3,0,0,6,3,0,0,0,0,0,15,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,3,0,0,0,0,0,18,22,11,3,14,49,32,33,17,7,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,15,5,7,19,21,13,8,4,103,15,11,4,10,8,8,3,0,0,60,0,0,0,0,0,3,0,0,0,3
LGA10470,34,45,52,52,48,24,12,5,0,269,1498,1125,904,1175,1233,1251,917,592,224,8926,0,0,0,0,0,0,0,0,0,0,116,93,59,66,88,88,36,15,3,571,56,34,29,16,18,11,11,0,5,178,3141,2163,1396,1639,1720,1344,925,592,207,13121,0,6,0,0,9,12,0,8,0,31,38,20,19,24,16,25,8,4,0,161,37,15,21,17,24,13,21,10,7,156,12,13,9,8,10,5,3,0,0,59,25,12,14,15,17,24,16,13,3,130,5,0,3,0,6,0,0,0,0,14,24,3,8,11,6,4,0,0,0,57,57,37,15,28,34,14,6,6,3,201,216,185,128,223,296,306,196,155,64,1764,27,10,20,18,16,26,11,8,6,139,4,9,6,6,9,7,7,7,0,59,229,237,166,196,288,291,228,121,50,1801,141,93,81,69,72,79,44,15,9,594,0,0,0,4,0,0,0,0,0,11
LGA10500,502,627,1361,842,858,634,228,133,37,5223,1354,952,1212,1751,1814,1866,1427,1256,956,12583,60,39,54,41,51,24,11,3,0,296,170,131,186,185,176,126,78,50,33,1144,6,5,5,4,4,9,0,0,0,38,6622,3871,4798,5341,4736,3989,3099,2203,923,35579,30,17,21,21,26,8,8,3,0,133,3851,1982,2577,3754,2570,2443,2442,1628,341,21587,50,13,51,62,36,37,28,22,8,322,97,53,53,52,42,24,15,8,0,344,30,29,36,62,40,48,61,42,14,370,344,210,320,210,195,198,158,83,20,1743,51,31,64,47,38,29,12,18,8,305,257,151,257,207,142,93,34,15,5,1159,251,178,289,318,357,308,231,174,102,2214,40,26,46,26,32,36,33,42,32,321,24,15,30,19,22,14,23,7,4,155,284,261,284,262,337,324,251,188,167,2365,367,241,373,266,217,143,79,38,11,1733,25,30,24,28,36,31,17,4,3,200
LGA10550,61,41,23,48,75,96,20,3,0,374,1186,669,505,932,1350,1558,1404,812,313,8732,0,0,0,0,0,0,0,0,0,0,64,32,29,38,54,65,56,42,16,388,0,0,0,0,0,0,0,0,0,4,1105,734,483,755,1034,1032,710,431,117,6406,0,3,0,0,7,6,4,0,3,28,19,9,4,16,15,20,14,0,0,104,34,20,24,27,43,31,13,14,3,210,14,6,8,3,13,0,11,0,0,57,11,6,6,10,50,35,46,37,8,213,0,0,0,0,0,0,0,0,0,0,5,0,0,4,7,4,8,4,0,36,11,14,6,8,23,10,3,0,3,73,39,43,27,79,175,252,264,129,56,1063,22,8,0,13,22,21,13,8,0,117,34,18,13,14,13,20,9,4,0,119,141,108,52,108,238,314,284,164,59,1464,132,73,39,81,96,107,75,31,9,640,4,0,0,3,3,9,9,3,0,25
LGA10600,30,26,16,46,52,78,14,3,3,267,393,228,158,305,460,492,453,303,133,2930,0,0,0,0,0,0,0,0,0,0,6,4,0,9,6,19,12,9,4,77,0,0,0,0,0,0,0,0,0,6,361,201,133,266,331,272,265,143,44,2012,6,0,0,0,0,0,3,0,0,9,0,3,0,3,3,3,0,0,0,12,4,4,4,8,6,3,0,8,0,31,0,0,0,0,0,0,0,0,0,6,0,0,0,7,7,11,4,7,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,14,19,16,15,3,34,17,10,5,0,115,40,20,14,40,82,84,70,35,18,398,6,0,0,3,4,6,4,0,0,26,8,5,0,4,9,0,9,8,0,41,111,58,43,79,127,161,134,88,47,844,84,47,22,35,59,53,27,15,4,346,9,7,3,4,10,12,0,5,0,38
LGA10650,0,4,7,0,0,0,4,0,0,16,246,123,115,151,255,329,320,215,70,1823,0,0,0,0,0,0,0,0,0,0,6,0,6,3,4,4,3,0,0,31,0,0,0,0,0,0,0,0,0,3,443,250,196,248,297,333,272,152,60,2249,0,0,0,0,0,0,0,5,0,4,0,0,0,5,0,3,0,0,0,14,4,0,0,3,6,5,0,0,0,17,13,11,7,4,7,6,9,0,0,62,4,5,8,4,12,8,4,7,5,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,5,3,0,7,7,3,0,0,35,84,43,48,60,86,151,123,87,48,723,3,6,0,5,4,5,0,0,0,18,8,0,6,0,0,0,0,0,0,13,84,65,57,88,121,138,138,73,29,784,5,16,4,11,11,13,9,0,0,75,0,0,0,0,0,0,3,0,0,10
LGA10750,932,587,827,971,879,600,226,99,25,5147,8574,5042,5754,7068,6502,5902,3573,1920,592,44927,26,22,24,25,29,19,15,10,0,169,1071,652,637,677,714,501,259,114,36,4661,49,25,24,33,29,19,12,6,0,206,23776,14508,13951,14431,13373,11141,6122,3282,1252,101845,192,147,113,156,161,94,44,16,4,934,1310,835,931,1144,833,793,587,305,88,6826,231,145,158,184,185,127,91,54,9,1184,778,386,353,292,229,149,45,17,5,2252,85,73,92,106,111,125,117,108,47,866,722,490,538,393,431,381,221,103,22,3305,502,363,240,271,296,199,67,36,8,1981,1758,1198,1040,962,926,506,170,48,17,6624,1115,727,718,966,1105,959,663,340,110,6694,105,62,71,89,91,106,68,31,8,634,458,248,236,259,208,194,111,54,45,1814,1824,1290,1041,1124,1137,933,544,267,77,8242,2058,1260,1087,1078,960,529,175,100,28,7281,185,137,113,123,114,88,30,12,3,808
