SA3_CODE_2021,C21_85_over_UOL_SE_Tot,C21_85_over_LPE_NS,C21_85_over_Tot,C21_Tot_SEO,C21_Tot_UOL_SE_Vw_w,C21_Tot_UOL_SE_Nw_Na,C21_Tot_UOL_SE_P_E_n,C21_Tot_UOL_SE_Tot,C21_Tot_LPE_NS,C21_Tot_Tot
10102,198,63,784,52829,7984,796,78,8858,3102,64793
10103,47,42,474,17767,1193,142,20,1348,1601,20717
10104,128,306,2586,68436,2693,272,45,3012,5283,76736
10105,48,102,1034,33251,1948,287,32,2274,2882,38403
10106,27,70,902,34006,1590,238,24,1852,2294,38159
10201,382,722,5769,154918,13689,1750,184,15623,7885,178427
10202,255,815,4781,149094,8871,1204,140,10213,8861,168171
10301,37,77,1156,42787,2409,284,42,2731,3621,49146
10302,25,167,1757,48339,1588,192,31,1813,4528,54684
10303,57,104,1178,42275,1706,201,24,1930,3665,47870
10304,59,149,1414,54301,3137,417,55,3611,3355,61266
10401,33,131,1754,47651,1448,150,25,1621,4384,53665
10402,143,356,2720,78955,6421,1537,122,8077,5430,92462
10501,15,82,451,17195,818,74,11,903,3508,21607
10502,22,116,618,17328,620,70,4,694,1857,19876
10503,36,280,1794,61432,4301,421,62,4786,7862,74084
10601,36,156,1710,88837,2538,363,42,2946,6144,97927
10602,45,184,1452,78794,4379,638,65,5076,3150,87019
10603,92,296,2101,69354,2882,348,31,3255,3801,76414
10604,10,90,659,27126,1130,186,17,1332,2127,30584
10701,691,186,2249,63454,10656,2352,115,13133,3227,79819
10702,0,0,0,4,0,0,0,4,0,9
10703,344,473,2471,86070,7661,1103,92,8856,4324,99254
10704,720,485,3503,107740,18360,3050,170,21578,5444,134762
10801,81,140,1599,29921,1048,132,19,1192,2192,33311
10802,46,125,1579,44929,1491,203,35,1727,4499,51154
10803,0,0,15,382,27,6,0,32,34,445
10804,101,302,3414,79264,3307,336,42,3687,3824,86780
10805,48,176,1926,51600,1742,161,29,1931,3816,57345
10901,95,109,1611,57977,4374,811,72,5259,3810,67044
10902,23,41,288,10742,603,150,9,757,1558,13056
10903,41,176,1514,38706,1132,141,24,1295,3446,43453
11001,14,147,897,30825,2867,472,33,3365,3347,37537
11002,34,130,1176,33837,1095,140,31,1259,3633,38731
11003,5,59,457,20033,739,83,10,831,3858,24713
11004,34,266,2144,73756,3747,708,74,4525,6296,84579
11101,244,272,3617,115177,6187,777,105,7066,4251,126496
11102,129,263,2625,77069,4101,512,59,4670,3292,85022
11103,469,554,4635,152308,16182,2509,212,18902,7797,179000
11201,114,315,2598,75259,5605,386,74,6070,6447,87772
11202,84,239,1893,62889,2967,278,37,3289,5715,71896
11203,124,533,3844,85814,4664,450,72,5189,6379,97392
11301,263,177,1286,37347,6444,1623,92,8163,4057,49559
11302,13,28,398,13011,626,64,3,697,1225,14931
11303,60,282,2566,85428,6028,1277,94,7400,6336,99169
