SA3_CODE_2021,C11_1_74_1PF_CU15DS,C11_1_74_1PF_CU15NDS,C11_1_74_1PFnCU15DS,C11_1_74_1PF_NDCO,C11_1_74_Tot,C11_75_99_1PF_CU15DS,C11_75_99_1PF_CU15NDS,C11_75_99_1PFnCU15DS,C11_75_99_1PF_NDCO,C11_75_99_Tot,C11_100_149_1PF_CU15DS,C11_100_149_1PF_CU15NDS,C11_100_149_1PFnCU15DS,C11_100_149_1PF_NDCO,C11_100_149_Tot,C11_150_199_1PF_CU15DS,C11_150_199_1PF_CU15NDS,C11_150_199_1PFnCU15DS,C11_150_199_1PF_NDCO,C11_150_199_Tot,C11_200_224_1PF_CU15DS,C11_200_224_1PF_CU15NDS,C11_200_224_1PFnCU15DS,C11_200_224_1PF_NDCO,C11_200_224_Tot,C11_225_274_1PF_CU15DS,C11_225_274_1PF_CU15NDS,C11_225_274_1PFnCU15DS,C11_225_274_1PF_NDCO,C11_225_274_Tot,C11_275_349_1PF_CU15DS,C11_275_349_1PF_CU15NDS,C11_275_349_1PFnCU15DS,C11_275_349_1PF_NDCO,C11_275_349_Tot,C11_350_449_1PF_CU15DS,C11_350_449_1PF_CU15NDS,C11_350_449_1PFnCU15DS,C11_350_449_1PF_NDCO,C11_350_449_Tot,C11_450_549_1PF_CU15DS,C11_450_549_1PF_CU15NDS,C11_450_549_1PFnCU15DS,C11_450_549_1PF_NDCO,C11_450_549_Tot,C11_550_649_1PF_CU15DS,C11_550_649_1PF_CU15NDS,C11_550_649_1PFnCU15DS,C11_550_649_1PF_NDCO,C11_550_649_Tot,C11_650_749_1PF_CU15DS,C11_650_749_1PF_CU15NDS,C11_650_749_1PFnCU15DS,C11_650_749_1PF_NDCO,C11_650_749_Tot,C11_750_849_1PF_CU15DS,C11_750_849_1PF_CU15NDS,C11_750_849_1PFnCU15DS,C11_750_849_1PF_NDCO,C11_750_849_Tot,C11_850_949_1PF_CU15DS,C11_850_949_1PF_CU15NDS,C11_850_949_1PFnCU15DS,C11_850_949_1PF_NDCO,C11_850_949_Tot,C11_950over_1PF_CU15DS,C11_950over_1PF_CU15NDS,C11_950over_1PFnCU15DS,C11_950over_1PF_NDCO,C11_950over_Tot,C11_Rns_1PF_CU15DS,C11_Rns_1PF_CU15NDS,C11_Rns_1PFnCU15DS,C11_Rns_1PF_NDCO,C11_Rns_Tot,C11_Tot_1PF_CU15DS,C11_Tot_1PF_CU15NDS,C11_Tot_1PFnCU15DS,C11_Tot_1PF_NDCO,C11_Tot_Tot,C16_1_74_1PF_CU15DS,C16_1_74_1PF_CU15NDS,C16_1_74_1PFnCU15DS,C16_1_74_1PF_NDCO,C16_1_74_Tot,C16_75_99_1PF_CU15DS,C16_75_99_1PF_CU15NDS,C16_75_99_1PFnCU15DS,C16_75_99_1PF_NDCO,C16_75_99_Tot,C16_100_149_1PF_CU15DS,C16_100_149_1PF_CU15NDS,C16_100_149_1PFnCU15DS,C16_100_149_1PF_NDCO,C16_100_149_Tot,C16_150_199_1PF_CU15DS,C16_150_199_1PF_CU15NDS,C16_150_199_1PFnCU15DS,C16_150_199_1PF_NDCO,C16_150_199_Tot,C16_200_224_1PF_CU15DS,C16_200_224_1PF_CU15NDS,C16_200_224_1PFnCU15DS,C16_200_224_1PF_NDCO,C16_200_224_Tot,C16_225_274_1PF_CU15DS,C16_225_274_1PF_CU15NDS,C16_225_274_1PFnCU15DS,C16_225_274_1PF_NDCO,C16_225_274_Tot,C16_275_349_1PF_CU15DS,C16_275_349_1PF_CU15NDS,C16_275_349_1PFnCU15DS,C16_275_349_1PF_NDCO,C16_275_349_Tot,C16_350_449_1PF_CU15DS,C16_350_449_1PF_CU15NDS,C16_350_449_1PFnCU15DS,C16_350_449_1PF_NDCO,C16_350_449_Tot,C16_450_549_1PF_CU15DS,C16_450_549_1PF_CU15NDS,C16_450_549_1PFnCU15DS,C16_450_549_1PF_NDCO,C16_450_549_Tot,C16_550_649_1PF_CU15DS,C16_550_649_1PF_CU15NDS,C16_550_649_1PFnCU15DS,C16_550_649_1PF_NDCO,C16_550_649_Tot,C16_650_749_1PF_CU15DS,C16_650_749_1PF_CU15NDS,C16_650_749_1PFnCU15DS,C16_650_749_1PF_NDCO,C16_650_749_Tot,C16_750_849_1PF_CU15DS,C16_750_849_1PF_CU15NDS,C16_750_849_1PFnCU15DS,C16_750_849_1PF_NDCO,C16_750_849_Tot,C16_850_949_1PF_CU15DS,C16_850_949_1PF_CU15NDS,C16_850_949_1PFnCU15DS,C16_850_949_1PF_NDCO,C16_850_949_Tot,C16_950over_1PF_CU15_DS,C16_950over_1PF_CU15_NDS,C16_950over_1PFnoCU15_DS,C16_950over_1PF_NDCO,C16_950over_Tot,C16_Rns_1PF_CU15DS,C16_Rns_1PF_CU15NDS,C16_Rns_1PFnCU15DS,C16_Rns_1PF_NDCO,C16_Rns_Tot,C16_Tot_1PF_CU15DS,C16_Tot_1PF_CU15NDS,C16_Tot_1PFnCU15DS,C16_Tot_1PF_NDCO,C16_Tot_Tot,C21_1_74_1PF_CU15DS,C21_1_74_1PF_CU15NDS,C21_1_74_1PFnCU15DS,C21_1_74_1PF_NDCO,C21_1_74_Tot,C21_75_99_1PF_CU15DS,C21_75_99_1PF_CU15NDS,C21_75_99_1PFnCU15DS,C21_75_99_1PF_NDCO,C21_75_99_Tot,C21_100_149_1PF_CU15DS,C21_100_149_1PF_CU15NDS,C21_100_149_1PFnCU15DS,C21_100_149_1PF_NDCO,C21_100_149_Tot,C21_150_199_1PF_CU15DS,C21_150_199_1PF_CU15NDS,C21_150_199_1PFnCU15DS,C21_150_199_1PF_NDCO,C21_150_199_Tot,C21_200_224_1PF_CU15DS,C21_200_224_1PF_CU15NDS,C21_200_224_1PFnCU15DS,C21_200_224_1PF_NDCO,C21_200_224_Tot,C21_225_274_1PF_CU15DS,C21_225_274_1PF_CU15NDS,C21_225_274_1PFnCU15DS,C21_225_274_1PF_NDCO,C21_225_274_Tot,C21_275_349_1PF_CU15DS,C21_275_349_1PF_CU15NDS,C21_275_349_1PFnCU15DS,C21_275_349_1PF_NDCO,C21_275_349_Tot,C21_350_449_1PF_CU15DS,C21_350_449_1PF_CU15NDS,C21_350_449_1PFnCU15DS,C21_350_449_1PF_NDCO,C21_350_449_Tot
10102,0,0,0,7,13,0,21,6,12,37,8,64,7,14,95,9,56,9,16,94,8,28,3,14,52,7,56,8,26,102,8,103,14,41,168,13,83,11,42,150,14,25,12,14,60,0,9,4,3,27,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,3,10,21,68,466,83,195,811,0,0,0,0,0,0,5,0,3,9,0,30,0,20,57,3,37,7,7,61,6,27,5,20,57,6,65,5,24,100,9,101,19,28,161,15,151,28,60,247,14,48,13,27,105,4,16,3,5,26,5,8,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,17,8,11,36,59,516,84,210,872,0,3,0,0,6,0,6,0,0,8,4,17,0,5,33,6,39,4,16,63,4,24,0,12,37,6,52,7,26,80,8,84,5,25,128,11,132,21,52,219
10103,0,0,0,0,3,0,0,3,3,9,0,20,0,10,36,8,48,3,13,70,5,28,0,4,41,8,40,5,10,66,6,13,9,0,26,0,6,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,10,26,169,29,50,274,0,3,0,0,4,0,0,0,0,0,0,7,6,9,10,0,10,4,9,26,0,23,8,12,37,7,58,12,13,90,0,39,7,8,51,3,10,3,3,26,0,0,0,0,6,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,9,25,160,28,60,269,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,8,0,3,19,0,9,0,3,11,3,33,4,13,55,8,47,4,13,71,10,28,4,10,51
10104,0,5,0,0,5,0,11,6,5,23,13,83,15,36,149,15,151,28,55,253,14,142,28,42,223,48,235,60,51,395,42,184,27,28,280,10,43,4,6,61,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,9,42,151,893,165,229,1442,0,3,0,0,4,0,0,0,0,3,0,24,6,15,55,12,73,13,37,131,10,68,8,26,108,18,178,28,60,281,62,262,50,89,461,43,128,25,46,244,0,15,0,4,23,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,19,0,19,37,143,775,147,290,1365,0,0,0,0,0,0,4,0,0,5,6,11,0,22,44,6,37,3,21,74,5,47,6,28,76,9,56,15,36,113,21,179,26,80,308,54,284,41,113,489
10105,0,7,3,4,20,0,14,7,11,35,8,81,10,17,116,14,94,15,36,160,10,79,10,17,122,23,103,11,21,154,10,61,10,7,95,0,11,4,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,6,0,10,0,3,19,73,465,74,127,736,0,0,0,0,0,0,7,0,7,14,0,28,15,17,61,7,33,7,18,62,3,34,11,22,73,10,88,10,35,147,22,160,21,44,248,18,63,12,13,108,4,8,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,4,8,0,3,23,69,426,82,164,748,0,0,0,0,4,0,0,0,3,8,0,27,6,11,40,7,36,4,11,56,0,18,3,6,30,3,34,12,19,72,16,121,19,71,229,28,158,18,38,245
10106,0,9,0,4,12,0,0,0,0,8,0,31,12,19,61,6,113,16,24,164,10,65,7,8,93,11,56,4,15,89,7,42,5,3,53,0,8,7,6,23,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,4,12,0,7,19,41,344,48,83,524,0,0,0,0,5,0,0,0,0,0,0,26,0,8,33,9,35,4,13,63,5,52,9,14,67,19,96,13,22,155,21,79,7,11,118,6,41,3,3,62,0,4,0,0,9,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,0,4,12,59,344,52,75,529,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,3,24,4,16,47,3,31,9,13,55,7,78,7,29,127,9,81,16,33,137,18,57,11,24,105
10201,0,17,5,8,26,0,16,10,30,58,12,88,35,51,187,16,114,33,79,244,12,134,30,56,230,38,402,109,154,705,129,686,154,274,1239,110,363,101,138,710,29,79,19,30,151,3,19,4,8,38,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,9,0,0,12,8,39,8,25,83,367,1968,499,853,3688,0,4,0,3,11,0,7,4,4,18,4,54,15,49,127,20,62,19,38,141,7,59,18,53,135,21,95,27,60,199,31,311,104,223,669,141,759,189,333,1424,71,268,93,127,555,27,80,29,31,165,3,25,7,8,42,5,9,3,6,23,0,4,0,0,4,0,0,0,0,0,0,34,6,22,69,331,1771,518,953,3569,0,5,0,7,11,0,4,0,5,13,6,25,8,30,76,14,57,9,45,114,11,38,7,41,92,15,60,10,41,134,21,128,49,120,322,106,687,164,389,1352
10202,0,9,0,12,25,0,29,11,26,67,20,93,14,51,181,23,189,34,95,344,31,209,44,91,379,74,701,107,211,1090,172,951,147,244,1523,77,357,65,102,608,12,52,13,13,83,0,6,0,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,6,4,14,6,58,9,23,92,422,2666,454,886,4424,0,8,0,10,17,0,3,3,5,12,6,43,9,42,108,15,73,17,48,149,13,72,16,69,171,20,177,29,83,315,98,743,113,308,1266,183,959,181,315,1643,66,299,62,115,541,13,48,9,13,87,6,12,0,4,21,0,3,0,0,4,0,3,0,0,3,0,0,0,0,0,8,48,8,31,96,421,2500,451,1051,4434,0,3,3,3,12,0,3,0,3,10,3,37,7,35,83,4,44,12,61,121,6,47,7,36,102,10,89,30,76,204,42,332,74,197,639,140,1142,210,498,1990
10301,0,9,3,0,13,5,14,8,3,25,10,63,7,22,97,12,96,17,39,164,12,108,22,28,164,26,158,21,22,222,28,91,16,14,153,12,36,6,8,61,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,5,9,26,99,594,91,152,937,0,8,0,0,4,0,3,0,0,3,3,34,9,20,66,6,42,14,15,76,6,43,10,28,92,19,117,21,39,202,33,228,36,51,350,34,136,28,26,218,3,7,0,0,16,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,12,30,104,639,118,199,1059,0,0,0,0,4,0,0,0,0,0,4,17,3,13,39,6,37,3,6,46,13,27,4,26,63,8,63,12,31,118,28,183,33,78,324,39,217,45,58,355
10302,4,15,4,13,38,4,33,10,11,59,24,204,29,55,307,41,257,26,60,387,16,79,6,13,113,13,56,11,0,83,0,15,5,0,25,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,8,4,17,3,12,35,106,695,88,169,1057,0,14,0,5,22,0,10,0,8,18,12,71,14,51,147,30,193,32,70,323,20,138,19,29,209,34,146,15,34,223,20,71,8,20,117,8,13,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,10,36,120,677,99,231,1125,0,5,0,4,11,4,4,0,5,12,4,46,4,15,72,11,109,13,68,200,18,79,11,36,150,9,167,14,43,233,29,149,17,31,220,15,50,8,14,93
10303,0,9,0,3,15,0,14,0,8,22,7,77,9,27,115,11,176,18,51,254,11,107,10,29,165,23,110,11,21,172,8,57,3,7,70,3,17,3,5,28,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,13,8,5,21,69,582,70,157,879,0,0,3,4,11,0,0,5,0,6,0,32,6,16,61,13,75,7,33,123,14,63,8,22,108,7,127,16,45,192,29,170,27,42,269,19,77,14,13,127,3,9,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,10,24,97,567,80,193,934,0,4,0,5,10,0,0,0,4,6,4,27,4,17,46,6,38,4,16,70,5,33,4,23,67,17,83,0,39,141,21,147,28,58,251,21,153,14,37,221
