SA3_CODE_2021,C21_1500_1999_R100_149,C21_1500_1999_R150_199,C21_1500_1999_R200_224,C21_1500_1999_R225_274,C21_1500_1999_R275_349,C21_1500_1999_R350_449,C21_1500_1999_R450_549,C21_1500_1999_R550_649,C21_1500_1999_R650more,C21_1500_1999_R_NS,C21_1500_1999_R_Tot,C21_2000_2499_R1_74,C21_2000_2499_R75_99,C21_2000_2499_R100_149,C21_2000_2499_R150_199,C21_2000_2499_R200_224,C21_2000_2499_R225_274,C21_2000_2499_R275_349,C21_2000_2499_R350_449,C21_2000_2499_R450_549,C21_2000_2499_R550_649,C21_2000_2499_R650more,C21_2000_2499_R_NS,C21_2000_2499_R_Tot,C21_2500_2999_R1_74,C21_2500_2999_R75_99,C21_2500_2999_R100_149,C21_2500_2999_R150_199,C21_2500_2999_R200_224,C21_2500_2999_R225_274,C21_2500_2999_R275_349,C21_2500_2999_R350_449,C21_2500_2999_R450_549,C21_2500_2999_R550_649,C21_2500_2999_R650more,C21_2500_2999_R_NS,C21_2500_2999_R_Tot,C21_3000_3999_R1_74,C21_3000_3999_R75_99,C21_3000_3999_R100_149,C21_3000_3999_R150_199,C21_3000_3999_R200_224,C21_3000_3999_R225_274,C21_3000_3999_R275_349,C21_3000_3999_R350_449,C21_3000_3999_R450_549,C21_3000_3999_R550_649,C21_3000_3999_R650more,C21_3000_3999_R_NS,C21_3000_3999_R_Tot,C21_4000more_R1_74,C21_4000more_R75_99,C21_4000more_R100_149,C21_4000more_R150_199,C21_4000more_R200_224,C21_4000more_R225_274,C21_4000more_R275_349,C21_4000more_R350_449,C21_4000more_R450_549,C21_4000more_R550_649,C21_4000more_R650more,C21_4000more_R_NS,C21_4000more_R_Tot,C21_PI_S_R1_74,C21_PI_S_R75_99,C21_PI_S_R100_149,C21_PI_S_R150_199,C21_PI_S_R200_224,C21_PI_S_R225_274,C21_PI_S_R275_349,C21_PI_S_R350_449,C21_PI_S_R450_549,C21_PI_S_R550_649,C21_PI_S_R650more,C21_PI_S_R_NS,C21_PI_S_R_Tot,C21_AI_NS_R1_74,C21_AI_NS_R75_99,C21_AI_NS_R100_149,C21_AI_NS_R150_199,C21_AI_NS_R200_224,C21_AI_NS_R225_274,C21_AI_NS_R275_349,C21_AI_NS_R350_449,C21_AI_NS_R450_549,C21_AI_NS_R550_649,C21_AI_NS_R650more,C21_AI_NS_R_NS,C21_AI_NS_R_Tot,C21_Tot_R1_74,C21_Tot_R75_99,C21_Tot_R100_149,C21_Tot_R150_199,C21_Tot_R200_224,C21_Tot_R225_274,C21_Tot_R275_349,C21_Tot_R350_449,C21_Tot_R450_549,C21_Tot_R550_649,C21_Tot_R650more,C21_Tot_R_NS,C21_Tot_R_Tot
10102,9,18,43,128,204,242,174,53,25,26,926,0,0,3,11,24,62,133,231,216,86,57,17,843,0,0,7,0,5,26,64,126,125,67,52,5,479,0,0,0,13,10,35,83,135,136,79,118,13,629,4,0,9,0,4,13,65,115,83,86,157,6,547,0,0,5,3,3,27,38,41,51,27,34,16,250,0,4,10,14,5,7,5,4,3,0,4,24,72,29,41,249,296,321,752,1053,1352,1001,447,482,209,6226
10103,7,7,14,33,56,54,21,3,24,33,255,0,4,5,7,10,25,44,70,36,8,34,26,274,0,0,0,3,0,20,15,25,21,8,26,3,127,7,0,4,16,8,16,7,37,21,12,38,29,186,0,3,0,3,0,10,11,30,31,15,105,47,267,3,0,0,3,4,3,21,21,16,10,23,11,108,0,0,3,8,4,6,9,0,3,0,0,15,46,32,31,92,189,127,316,363,337,183,80,337,245,2319
10104,13,23,21,74,174,309,118,26,22,36,820,0,0,10,9,16,38,115,266,124,34,9,26,655,6,0,5,3,9,22,34,135,74,23,8,13,330,5,0,0,5,6,3,20,113,63,27,19,16,273,5,0,0,5,6,11,17,54,46,30,34,21,221,0,0,7,15,10,16,47,107,46,7,0,18,279,5,0,20,12,13,18,29,19,6,0,3,47,175,61,39,420,483,476,849,1431,1953,687,180,131,382,7105
10105,10,10,17,43,141,195,34,6,3,12,474,0,0,3,6,15,35,118,177,52,9,3,18,442,4,0,3,0,4,11,31,92,28,3,0,3,191,0,0,3,6,0,6,32,91,35,7,3,3,187,0,0,0,7,0,4,17,39,27,7,8,15,117,0,4,8,6,10,6,30,60,16,3,4,9,149,0,0,18,13,0,5,16,0,4,0,3,36,98,25,55,295,325,205,411,914,1099,269,43,36,189,3873
10106,6,16,27,73,100,65,18,7,9,18,348,3,0,4,14,11,40,82,59,32,13,8,19,277,0,0,5,3,10,12,36,33,19,5,8,7,138,4,0,7,3,5,13,21,32,24,6,10,11,142,5,0,4,6,3,6,15,30,12,17,24,16,138,0,0,0,10,10,18,22,26,7,0,0,15,120,0,4,10,13,9,16,16,0,0,0,4,14,76,48,34,151,310,259,524,596,410,151,56,70,200,2811
10201,19,23,20,44,205,975,672,229,121,36,2360,3,0,5,13,14,26,128,716,677,279,146,44,2042,5,4,9,5,7,13,57,338,347,202,153,20,1151,0,0,5,6,12,4,39,238,370,268,260,27,1231,0,0,5,3,7,5,23,114,201,187,423,15,997,3,0,10,21,15,17,47,179,186,93,89,42,701,0,4,60,31,6,27,23,47,11,3,11,88,309,97,144,919,729,493,817,2042,5671,3751,1643,1408,591,18290
10202,12,29,18,61,263,1083,593,144,63,52,2319,0,4,6,15,27,45,142,784,657,174,60,40,1955,4,0,0,3,8,15,56,343,372,140,51,14,1012,0,0,3,3,4,16,49,238,363,149,72,17,917,0,0,4,3,4,9,20,92,163,118,87,15,516,0,0,18,21,16,27,81,260,213,81,34,50,795,6,3,45,32,19,24,62,47,19,3,0,107,372,84,96,736,777,560,1032,2675,6442,3600,1072,487,628,18197
10301,20,18,31,81,216,242,62,8,4,20,693,5,0,3,4,21,51,158,254,91,11,10,10,615,0,0,0,6,4,9,81,122,68,4,0,12,321,0,0,5,3,3,14,62,106,64,3,5,13,268,0,0,7,10,0,8,26,46,51,9,5,12,167,4,0,10,7,11,12,69,84,31,7,0,20,249,0,0,17,8,5,10,15,9,0,0,0,27,99,43,55,304,344,362,610,1406,1430,477,58,25,223,5335
10302,33,73,61,131,159,65,11,0,0,50,592,14,8,29,54,46,82,125,88,11,3,3,31,499,6,0,3,12,18,36,51,42,0,0,0,16,192,13,0,10,9,19,27,49,67,11,0,5,20,233,4,7,6,15,13,19,38,25,11,4,5,17,167,7,0,13,23,27,52,44,20,4,0,0,15,222,9,0,39,30,25,22,8,3,0,0,0,25,167,173,113,617,976,666,1008,898,436,73,17,37,371,5392
10303,9,21,25,51,137,153,61,9,4,21,489,8,4,4,9,12,42,113,161,73,13,8,19,477,5,0,3,0,3,11,43,70,48,10,0,6,205,0,0,8,6,8,6,38,103,67,11,5,15,270,0,3,6,0,9,6,24,54,59,22,12,13,213,0,3,9,3,11,15,39,55,28,3,0,16,182,6,0,19,19,21,12,16,9,0,0,0,31,134,60,55,321,403,349,646,1076,936,411,74,54,223,4611
