SA3_CODE_2021,C11_SH_FH_CF_no_ch,C11_SH_FH_CF_w_ch,C11_SH_FH_One_PFam,C11_SH_FH_oth_fa,C11_SH_FH_Tot,C11_SH_LP_H,C11_SH_GH,C11_SH_OH,C11_SH_Tot,C11_SDRTHT1S_FH_CF_no_ch,C11_SDRTHT1S_FH_CF_w_ch,C11_SDRTHT1S_FH_One_PFam,C11_SDRTHT1S_FH_oth_fa,C11_SDRTHT1S_FH_Tot,C11_SDRTHT1S_LP_H,C11_SDRTHT1S_GH,C11_SDRTHT1S_OH,C11_SDRTHT1S_Tot,C11_SDRTHT2S_FH_CF_no_ch,C11_SDRTHT2S_FH_CF_w_ch,C11_SDRTHT2S_FH_One_PFam,C11_SDRTHT2S_FH_oth_fa,C11_SDRTHT2S_FH_Tot,C11_SDRTHT2S_LP_H,C11_SDRTHT2S_GH,C11_SDRTHT2S_OH,C11_SDRTHT2S_Tot,C11_SDRTHT_FH_CF_no_ch,C11_SDRTHT_FH_CF_w_ch,C11_SDRTHT_FH_One_PFam,C11_SDRTHT_FH_oth_fa,C11_SDRTHT_FH_Tot,C11_SDRTHT_LP_H,C11_SDRTHT_GH,C11_SDRTHT_OH,C11_SDRTHT_Tot,C11_F_a_1_2_FH_CF_no_ch,C11_F_a_1_2_FH_CF_w_ch,C11_F_a_1_2_FH_One_PFam,C11_F_a_1_2_FH_oth_fa,C11_F_a_1_2_FH_Tot,C11_F_a_1_2_LP_H,C11_F_a_1_2_GH,C11_F_a_1_2_OH,C11_F_a_1_2_Tot,C11_F_a_3_FH_CF_no_ch,C11_F_a_3_FH_CF_w_ch,C11_F_a_3_FH_One_PFam,C11_F_a_3_FH_oth_fa,C11_F_a_3_FH_Tot,C11_F_a_3_LP_H,C11_F_a_3_GH,C11_F_a_3_OH,C11_F_a_3_Tot,C11_F_a_4_8_FH_CF_no_ch,C11_F_a_4_8_FH_CF_w_ch,C11_F_a_4_8_FH_One_PFam,C11_F_a_4_8_FH_oth_fa,C11_F_a_4_8_FH_Tot,C11_F_a_4_8_LP_H,C11_F_a_4_8_GH,C11_F_a_4_8_OH,C11_F_a_4_8_Tot,C11_F_a_9m_FH_CF_no_ch,C11_F_a_9m_FH_CF_w_ch,C11_F_a_9m_FH_One_PFam,C11_F_a_9m_FH_oth_fa,C11_F_a_9m_FH_Tot,C11_F_a_9m_LP_H,C11_F_a_9m_GH,C11_F_a_9m_OH,C11_F_a_9m_Tot,C11_F_a_a_h_FH_CF_no_ch,C11_F_a_a_h_FH_CF_w_ch,C11_F_a_a_h_FH_One_PFam,C11_F_a_a_h_FH_oth_fa,C11_F_a_a_h_FH_Tot,C11_F_a_a_h_LP_H,C11_F_a_a_h_GH,C11_F_a_a_h_OH,C11_F_a_a_h_Tot,C11_F_a_Tot_FH_CF_no_ch,C11_F_a_Tot_FH_CF_w_ch,C11_F_a_Tot_FH_One_PFam,C11_F_a_Tot_FH_oth_fa,C11_F_a_Tot_FH_Tot,C11_F_a_Tot_LP_H,C11_F_a_Tot_GH,C11_F_a_Tot_OH,C11_F_a_Tot_Tot,C11_OD_C_c_hb_FH_CF_no_ch,C11_OD_C_c_hb_FH_CF_w_ch,C11_OD_C_c_hb_FH_One_PFam,C11_OD_C_c_hb_FH_oth_fa,C11_OD_C_c_hb_FH_Tot,C11_OD_C_c_hb_LP_H,C11_OD_C_c_hb_GH,C11_OD_C_c_hb_OH,C11_OD_C_c_hb_Tot,C11_OD_Ih_t_s_FH_CF_no_ch,C11_OD_Ih_t_s_FH_CF_w_ch,C11_OD_Ih_t_s_FH_One_PFam,C11_OD_Ih_t_s_FH_oth_fa,C11_OD_Ih_t_s_FH_Tot,C11_OD_Ih_t_s_LP_H,C11_OD_Ih_t_s_GH,C11_OD_Ih_t_s_OH,C11_OD_Ih_t_s_Tot,C11_OD_H_f_so_FH_CF_no_ch,C11_OD_H_f_so_FH_CF_w_ch,C11_OD_H_f_so_FH_One_PFam,C11_OD_H_f_so_FH_oth_fa,C11_OD_H_f_so_FH_Tot,C11_OD_H_f_so_LP_H,C11_OD_H_f_so_GH,C11_OD_H_f_so_OH,C11_OD_H_f_so_Tot,C11_OD_Tot_FH_CF_no_ch,C11_OD_Tot_FH_CF_w_ch,C11_OD_Tot_FH_One_PFam,C11_OD_Tot_FH_oth_fa,C11_OD_Tot_FH_Tot,C11_OD_Tot_LP_H,C11_OD_Tot_GH,C11_OD_Tot_OH,C11_OD_Tot_Tot,C11_DS_ns_FH_CF_no_ch,C11_DS_ns_FH_CF_w_ch,C11_DS_ns_FH_One_PFam,C11_DS_ns_FH_oth_fa,C11_DS_ns_FH_Tot,C11_DS_ns_LP_H,C11_DS_ns_GH,C11_DS_ns_OH,C11_DS_NS_Tot,C11_Tot_FH_CF_no_ch,C11_Tot_FH_CF_w_ch,C11_Tot_FH_One_PFam,C11_Tot_FH_oth_fa,C11_Tot_FH_Tot,C11_Tot_LP_H,C11_Tot_GH,C11_Tot_OH,C11_Tot_Tot,C16_SH_FH_CF_no_ch,C16_SH_FH_CF_w_ch,C16_SH_FH_One_PFam,C16_SH_FH_oth_fa,C16_SH_FH_Tot,C16_SH_LP_H,C16_SH_GH,C16_SH_OH,C16_SH_Tot,C16_SDRTHT1S_FH_CF_no_ch,C16_SDRTHT1S_FH_CF_w_ch,C16_SDRTHT1S_FH_One_PFam,C16_SDRTHT1S_FH_oth_fa,C16_SDRTHT1S_FH_Tot,C16_SDRTHT1S_LP_H,C16_SDRTHT1S_GH,C16_SDRTHT1S_OH,C16_SDRTHT1S_Tot,C16_SDRTHT2S_FH_CF_no_ch,C16_SDRTHT2S_FH_CF_w_ch,C16_SDRTHT2S_FH_One_PFam,C16_SDRTHT2S_FH_oth_fa,C16_SDRTHT2S_FH_Tot,C16_SDRTHT2S_LP_H,C16_SDRTHT2S_GH,C16_SDRTHT2S_OH,C16_SDRTHT2S_Tot,C16_SDRTHT_Tot_FH_CF_no_ch,C16_SDRTHT_Tot_FH_CF_w_ch,C16_SDRTHT_Tot_FH_One_PFam,C16_SDRTHT_Tot_FH_oth_fa,C16_SDRTHT_Tot_FH_Tot,C16_SDRTHT_Tot_LP_H,C16_SDRTHT_Tot_GH,C16_SDRTHT_Tot_OH,C16_SDRTHT_Tot_Tot,C16_F_a_1_2_FH_CF_no_ch,C16_F_a_1_2_FH_CF_w_ch,C16_F_a_1_2_FH_One_PFam,C16_F_a_1_2_FH_oth_fa,C16_F_a_1_2_FH_Tot,C16_F_a_1_2_LP_H,C16_F_a_1_2_GH,C16_F_a_1_2_OH,C16_F_a_1_2_Tot,C16_F_a_3_FH_CF_no_ch,C16_F_a_3_FH_CF_w_ch,C16_F_a_3_FH_One_PFam,C16_F_a_3_FH_oth_fa,C16_F_a_3_FH_Tot,C16_F_a_3_LP_H,C16_F_a_3_GH,C16_F_a_3_OH,C16_F_a_3_Tot,C16_F_a_4_8_FH_CF_no_ch,C16_F_a_4_8_FH_CF_w_ch
10102,4022,6160,1498,127,11810,2380,282,649,15121,340,214,161,15,739,686,65,77,1561,184,136,91,14,428,269,44,40,781,527,351,252,30,1163,955,111,113,2342,162,131,84,14,394,759,52,116,1324,147,71,61,8,286,463,45,97,889,81,40,23,11,151,190,25,62,436,..,..,..,..,..,..,..,..,..,9,3,0,0,17,19,4,5,47,400,241,174,36,851,1434,114,293,2692,47,13,15,6,75,86,0,102,266,5,8,0,0,15,11,0,6,29,12,12,7,0,25,22,3,9,62,63,41,14,6,119,113,8,113,355,6,0,0,0,12,6,0,0,14,5019,6800,1944,196,13955,4889,510,1169,20524,4289,6379,1488,111,12265,2542,274,987,16063,314,256,170,13,760,779,46,114,1693,283,224,150,26,681,499,54,80,1312,604,481,321,40,1447,1279,97,187,3006,127,110,80,6,325,585,35,112,1060,86,73,29,7,189,271,26,62,551,181,125
10103,1900,1724,590,41,4259,1598,139,472,6465,74,54,23,3,155,168,9,40,377,20,23,9,0,49,35,11,105,214,90,74,33,3,208,209,31,147,583,52,23,19,4,97,162,36,215,514,8,12,5,0,22,10,0,42,79,0,3,0,0,3,7,0,14,25,..,..,..,..,..,..,..,..,..,0,0,0,0,0,8,0,3,11,64,36,24,4,130,189,41,274,631,16,3,0,0,16,35,0,147,198,0,0,0,0,3,7,0,9,19,7,6,3,0,16,11,4,10,40,18,9,0,0,33,51,3,159,250,12,12,0,0,24,41,4,457,529,2089,1862,656,46,4650,2086,214,1511,8463,1965,1724,601,46,4339,1648,157,613,6760,39,16,11,0,67,93,8,46,216,38,16,16,0,70,86,18,112,287,79,33,27,0,137,177,26,157,502,45,19,18,4,92,200,39,476,805,11,0,4,0,19,28,3,59,108,4,0
10104,8570,5725,2435,135,16864,5255,535,1067,23717,304,65,110,13,499,637,28,70,1241,243,64,75,5,388,315,26,56,785,552,127,187,12,884,952,57,125,2027,390,113,186,17,707,1038,65,172,1982,17,7,5,0,27,34,3,4,65,0,0,0,0,3,0,0,0,3,..,..,..,..,..,..,..,..,..,7,3,8,0,18,49,0,14,82,415,122,202,18,754,1122,69,189,2130,129,28,19,0,175,253,9,358,797,6,7,5,0,17,20,0,22,54,37,10,12,0,60,33,6,7,102,165,52,32,0,248,300,12,388,955,6,6,3,0,14,10,3,4,31,9712,6028,2852,165,18766,7638,671,1778,28859,9023,5374,2425,164,16985,5919,548,1695,25139,399,72,122,9,605,941,40,120,1704,280,64,108,8,464,459,30,103,1051,674,144,225,22,1067,1398,69,223,2755,239,82,138,11,470,878,56,188,1592,19,9,3,0,25,47,4,18,97,14,0
10105,3451,3361,1344,114,8266,2859,230,398,11751,93,64,65,8,223,315,19,22,573,15,12,16,0,36,19,3,5,70,106,70,78,8,263,337,25,26,649,37,11,43,4,91,283,16,34,417,3,0,6,0,6,24,0,6,39,0,0,6,0,8,31,0,3,40,..,..,..,..,..,..,..,..,..,3,0,0,0,3,6,0,0,7,44,11,48,6,109,341,11,44,507,25,6,5,0,35,62,4,52,147,6,4,0,0,4,6,0,0,17,18,17,0,0,33,21,6,9,73,42,26,0,3,75,93,3,64,238,11,10,6,0,23,9,0,0,34,3656,3479,1471,125,8735,3636,275,527,13165,3594,3407,1357,113,8471,2940,260,730,12400,136,66,75,6,276,491,21,48,841,22,15,22,0,58,65,3,6,138,149,83,95,6,338,557,29,56,979,29,17,24,6,69,205,8,42,334,4,0,6,0,14,50,3,11,80,0,0
10106,3711,3946,1147,84,8896,2638,235,464,12232,62,25,31,0,118,256,9,23,409,4,0,5,0,11,5,0,0,10,65,29,37,0,127,261,9,23,421,28,17,30,7,79,205,12,28,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,..,..,..,..,..,..,..,..,..,4,0,0,0,3,9,0,0,12,32,18,26,7,79,212,15,28,333,19,3,8,0,27,41,3,42,107,6,6,4,0,16,0,0,9,26,13,5,0,0,26,19,0,3,44,40,22,12,0,70,54,3,47,176,4,5,0,0,11,0,0,0,6,3851,4015,1224,90,9179,3164,261,560,13172,3810,3892,1216,113,9033,2727,256,726,12742,97,33,47,0,175,324,29,58,575,4,0,3,0,9,10,0,0,17,97,32,46,0,182,332,29,58,596,42,18,30,3,91,225,12,37,364,0,0,0,0,0,0,0,0,0,0,0
10201,12661,17128,5979,412,36189,9404,1135,1689,48411,1350,485,572,40,2451,2713,131,187,5474,830,595,512,44,1987,1275,174,224,3652,2177,1081,1084,89,4432,3990,299,409,9125,717,215,306,35,1267,1942,109,217,3532,226,63,99,9,404,478,63,109,1051,289,88,89,6,471,350,79,63,973,..,..,..,..,..,..,..,..,..,21,10,15,0,40,95,4,12,151,1254,369,509,48,2184,2857,255,406,5705,102,15,42,0,160,377,12,53,600,0,0,0,0,0,0,0,54,57,13,17,5,0,38,41,3,5,94,118,37,53,5,204,418,15,112,747,14,9,18,0,50,53,8,24,133,16226,18631,7652,549,43056,16726,1712,2631,64127,12952,17593,5757,430,36734,9222,1318,1894,49162,1527,390,596,59,2570,2983,124,252,5927,818,528,535,27,1909,1377,151,210,3642,2348,916,1133,85,4482,4360,271,458,9575,838,333,387,39,1602,1998,173,289,4062,289,115,113,13,529,475,72,102,1177,270,123
10202,12797,15142,7054,443,35431,9935,1212,1301,47874,808,358,489,33,1698,1697,97,91,3582,334,292,361,11,995,579,60,72,1708,1141,647,852,48,2691,2276,161,160,5292,364,87,192,15,664,1480,66,91,2303,85,42,71,5,205,192,14,68,479,145,55,83,3,287,243,39,78,639,..,..,..,..,..,..,..,..,..,15,3,12,0,28,55,8,4,99,600,192,363,32,1183,1973,128,248,3522,84,27,53,3,167,410,24,139,737,0,0,0,0,4,4,0,68,74,21,23,17,4,59,34,4,10,111,106,44,77,3,233,446,30,218,919,0,5,4,0,13,15,0,0,29,14637,16030,8354,525,39551,14634,1526,1925,57633,13132,15833,7067,504,36537,9851,1418,1915,49712,834,283,473,46,1629,1962,114,329,4030,450,325,446,22,1234,871,100,167,2376,1281,606,917,65,2867,2836,214,492,6410,410,133,283,24,852,1361,73,210,2497,76,31,77,5,185,225,30,62,503,188,61
10301,3949,4522,1558,123,10147,2879,425,496,13946,137,80,115,11,345,425,63,62,898,41,32,32,6,107,78,26,17,224,178,112,145,16,455,497,86,81,1121,129,30,52,12,228,569,60,114,972,3,0,0,0,3,29,6,8,51,5,0,0,0,5,3,0,0,3,..,..,..,..,..,..,..,..,..,5,10,7,0,21,21,0,6,46,143,42,61,10,254,625,62,130,1071,10,0,5,0,16,33,0,18,66,0,0,0,0,0,0,0,11,18,4,0,3,0,14,11,3,4,25,14,6,8,0,25,46,0,32,107,6,5,3,0,12,10,0,3,36,4292,4682,1773,154,10898,4054,586,745,16275,4015,4590,1673,112,10382,3051,470,852,14752,200,90,144,15,456,606,85,106,1254,38,19,62,5,125,174,28,33,359,240,117,207,20,575,777,115,138,1609,76,44,43,8,171,385,46,95,703,3,0,0,0,3,13,0,8,25,0,4
10302,6142,5519,2151,186,13996,5130,410,792,20328,98,32,28,0,162,357,12,26,560,3,4,8,0,10,14,0,0,31,101,39,30,0,175,369,17,27,586,68,15,52,8,140,578,22,81,823,0,0,0,0,0,20,0,5,24,0,0,0,0,0,3,0,0,3,..,..,..,..,..,..,..,..,..,0,0,0,0,8,15,0,3,25,70,14,52,8,146,612,26,88,871,34,5,3,0,37,74,0,199,316,3,3,0,0,12,7,0,5,24,23,18,4,0,41,24,4,3,71,58,19,12,0,91,106,4,207,410,7,4,0,0,11,14,0,43,69,6382,5596,2246,197,14422,6236,453,1151,22257,5828,5072,2188,202,13298,5146,369,1559,20366,108,35,37,0,182,292,14,81,575,4,0,0,0,6,20,0,15,40,112,35,42,0,192,315,13,94,615,82,28,43,8,162,610,18,148,939,0,0,0,0,0,16,0,4,26,0,0
10303,4671,4467,1676,163,10972,3856,350,707,15887,120,56,96,7,276,402,32,47,757,5,5,9,0,13,12,0,3,32,120,51,102,9,288,417,38,52,793,47,19,49,0,114,349,14,56,533,0,3,5,0,12,33,0,9,51,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,6,5,0,0,6,45,21,58,7,125,382,17,66,595,19,8,13,0,30,93,3,111,244,0,0,0,0,8,15,0,9,21,19,12,3,0,39,39,0,4,80,35,16,20,3,77,147,5,125,346,5,0,0,0,7,4,0,0,10,4879,4559,1856,177,11467,4807,408,951,17630,4505,4289,1746,137,10680,4185,380,1598,16845,107,49,85,12,248,497,31,85,857,16,11,13,0,42,60,4,10,117,123,56,101,11,284,561,40,97,975,55,29,31,3,116,219,4,67,407,0,0,0,0,0,21,0,5,31,0,0
