Australian Bureau of Statistics

"2021 Census - employment, income and education"
"TYPP Type of Educational Institution Attending and LFSP Labour Force Status by SA1 (UR) by AGE10P Age in Ten Year Groups"
"Counting: Person Records"

Filters:
"Default Summation","Person Records"

" Preschool,  Employed, worked full-time"
"AGE10P Age in Ten Year Groups","0-9 years","10-19 years","20-29 years","30-39 years","40-49 years","50-59 years","60-69 years","70-79 years","80-89 years","90-99 years","100 years and over","Total",
"AGE10P Age in Ten Year Groups","0-9 years","10-19 years","20-29 years","30-39 years","40-49 years","50-59 years","60-69 years","70-79 years","80-89 years","90-99 years","100 years and over","Total",
"SA1 (UR)",
"Segment 01",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 02",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 03",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 04",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 05",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 06",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 07",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 08",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 09",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 10",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 11",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 12",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 13",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 14",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 15",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 16",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 17",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 18",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 19",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 20",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 21",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 22",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 23",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 24",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 25",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 26",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 27",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 28",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 29",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 30",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 31",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 32",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 33",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 34",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 35",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 36",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 37",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 38",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 39",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 40",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 41",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 42",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 43",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 44",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 45",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 46",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 47",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 48",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 50",0,0,0,0,0,0,0,0,0,0,0,0,
"Total",0,0,0,0,0,0,0,0,0,0,0,0,


" Preschool,  Employed, away from work"
"AGE10P Age in Ten Year Groups","0-9 years","10-19 years","20-29 years","30-39 years","40-49 years","50-59 years","60-69 years","70-79 years","80-89 years","90-99 years","100 years and over","Total",
"SA1 (UR)",
"Segment 01",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 02",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 03",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 04",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 05",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 06",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 07",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 08",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 09",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 10",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 11",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 12",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 13",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 14",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 15",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 16",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 17",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 18",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 19",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 20",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 21",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 22",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 23",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 24",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 25",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 26",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 27",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 28",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 29",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 30",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 31",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 32",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 33",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 34",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 35",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 36",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 37",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 38",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 39",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 40",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 41",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 42",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 43",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 44",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 45",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 46",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 47",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 48",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 50",0,0,0,0,0,0,0,0,0,0,0,0,
"Total",0,0,0,0,0,0,0,0,0,0,0,0,


" Preschool,  Unemployed, looking for full-time work"
"AGE10P Age in Ten Year Groups","0-9 years","10-19 years","20-29 years","30-39 years","40-49 years","50-59 years","60-69 years","70-79 years","80-89 years","90-99 years","100 years and over","Total",
"SA1 (UR)",
"Segment 01",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 02",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 03",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 04",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 05",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 06",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 07",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 08",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 09",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 10",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 11",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 12",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 13",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 14",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 15",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 16",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 17",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 18",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 19",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 20",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 21",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 22",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 23",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 24",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 25",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 26",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 27",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 28",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 29",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 30",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 31",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 32",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 33",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 34",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 35",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 36",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 37",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 38",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 39",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 40",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 41",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 42",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 43",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 44",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 45",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 46",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 47",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 48",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 50",0,0,0,0,0,0,0,0,0,0,0,0,
"Total",0,0,0,0,0,0,0,0,0,0,0,0,


" Preschool,  Unemployed, looking for part-time work"
"AGE10P Age in Ten Year Groups","0-9 years","10-19 years","20-29 years","30-39 years","40-49 years","50-59 years","60-69 years","70-79 years","80-89 years","90-99 years","100 years and over","Total",
"SA1 (UR)",
"Segment 01",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 02",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 03",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 04",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 05",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 06",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 07",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 08",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 09",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 10",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 11",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 12",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 13",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 14",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 15",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 16",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 17",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 18",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 19",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 20",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 21",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 22",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 23",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 24",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 25",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 26",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 27",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 28",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 29",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 30",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 31",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 32",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 33",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 34",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 35",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 36",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 37",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 38",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 39",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 40",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 41",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 42",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 43",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 44",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 45",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 46",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 47",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 48",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 50",0,0,0,0,0,0,0,0,0,0,0,0,
"Total",0,0,0,0,0,0,0,0,0,0,0,0,


" Preschool,  Not in the labour force"
"AGE10P Age in Ten Year Groups","0-9 years","10-19 years","20-29 years","30-39 years","40-49 years","50-59 years","60-69 years","70-79 years","80-89 years","90-99 years","100 years and over","Total",
"SA1 (UR)",
"Segment 01",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 02",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 03",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 04",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 05",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 06",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 07",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 08",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 09",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 10",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 11",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 12",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 13",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 14",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 15",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 16",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 17",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 18",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 19",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 20",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 21",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 22",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 23",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 24",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 25",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 26",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 27",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 28",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 29",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 30",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 31",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 32",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 33",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 34",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 35",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 36",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 37",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 38",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 39",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 40",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 41",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 42",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 43",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 44",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 45",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 46",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 47",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 48",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 50",0,0,0,0,0,0,0,0,0,0,0,0,
"Total",0,0,0,0,0,0,0,0,0,0,0,0,


" Preschool,  Not stated"
"AGE10P Age in Ten Year Groups","0-9 years","10-19 years","20-29 years","30-39 years","40-49 years","50-59 years","60-69 years","70-79 years","80-89 years","90-99 years","100 years and over","Total",
"SA1 (UR)",
"Segment 01",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 02",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 03",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 04",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 05",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 06",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 07",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 08",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 09",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 10",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 11",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 12",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 13",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 14",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 15",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 16",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 17",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 18",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 19",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 20",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 21",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 22",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 23",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 24",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 25",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 26",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 27",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 28",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 29",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 30",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 31",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 32",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 33",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 34",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 35",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 36",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 37",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 38",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 39",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 40",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 41",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 42",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 43",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 44",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 45",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 46",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 47",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 48",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 50",0,0,0,0,0,0,0,0,0,0,0,0,
"Total",0,0,0,0,0,0,0,0,0,0,0,0,


" Preschool,  Not applicable"
"AGE10P Age in Ten Year Groups","0-9 years","10-19 years","20-29 years","30-39 years","40-49 years","50-59 years","60-69 years","70-79 years","80-89 years","90-99 years","100 years and over","Total",
"SA1 (UR)",
"Segment 01",9073,0,0,0,0,0,0,0,0,0,0,9073,
"Segment 02",18424,0,0,0,0,0,0,0,0,0,0,18424,
"Segment 03",8370,0,0,0,0,0,0,0,0,0,0,8370,
"Segment 04",15296,0,0,0,0,0,0,0,0,0,0,15296,
"Segment 05",12581,0,0,0,0,0,0,0,0,0,0,12581,
"Segment 06",15990,0,0,0,0,0,0,0,0,0,0,15990,
"Segment 07",12254,0,0,0,0,0,0,0,0,0,0,12254,
"Segment 08",13148,0,0,0,0,0,0,0,0,0,0,13148,
"Segment 09",8655,0,0,0,0,0,0,0,0,0,0,8655,
"Segment 10",11217,0,0,0,0,0,0,0,0,0,0,11217,
"Segment 11",13701,0,0,0,0,0,0,0,0,0,0,13701,
"Segment 12",12024,0,0,0,0,0,0,0,0,0,0,12024,
"Segment 13",32665,0,0,0,0,0,0,0,0,0,0,32665,
"Segment 14",18569,0,0,0,0,0,0,0,0,0,0,18569,
"Segment 15",9494,0,0,0,0,0,0,0,0,0,0,9494,
"Segment 16",6885,0,0,0,0,0,0,0,0,0,0,6885,
"Segment 17",8560,0,0,0,0,0,0,0,0,0,0,8560,
"Segment 18",4024,0,0,0,0,0,0,0,0,0,0,4024,
"Segment 19",13310,0,0,0,0,0,0,0,0,0,0,13310,
"Segment 20",16474,0,0,0,0,0,0,0,0,0,0,16474,
"Segment 21",3758,0,0,0,0,0,0,0,0,0,0,3758,
"Segment 22",6526,0,0,0,0,0,0,0,0,0,0,6526,
"Segment 23",8351,0,0,0,0,0,0,0,0,0,0,8351,
"Segment 24",10099,0,0,0,0,0,0,0,0,0,0,10099,
"Segment 25",13323,0,0,0,0,0,0,0,0,0,0,13323,
"Segment 26",9259,0,0,0,0,0,0,0,0,0,0,9259,
"Segment 27",13073,0,0,0,0,0,0,0,0,0,0,13073,
"Segment 28",5279,0,0,0,0,0,0,0,0,0,0,5279,
"Segment 29",10054,0,0,0,0,0,0,0,0,0,0,10054,
"Segment 30",10110,0,0,0,0,0,0,0,0,0,0,10110,
"Segment 31",12099,0,0,0,0,0,0,0,0,0,0,12099,
"Segment 32",7424,0,0,0,0,0,0,0,0,0,0,7424,
"Segment 33",14621,0,0,0,0,0,0,0,0,0,0,14621,
"Segment 34",10985,0,0,0,0,0,0,0,0,0,0,10985,
"Segment 35",8359,0,0,0,0,0,0,0,0,0,0,8359,
"Segment 36",15543,0,0,0,0,0,0,0,0,0,0,15543,
"Segment 37",18658,0,0,0,0,0,0,0,0,0,0,18658,
"Segment 38",7991,0,0,0,0,0,0,0,0,0,0,7991,
"Segment 39",2102,0,0,0,0,0,0,0,0,0,0,2102,
"Segment 40",4862,0,0,0,0,0,0,0,0,0,0,4862,
"Segment 41",2099,0,0,0,0,0,0,0,0,0,0,2099,
"Segment 42",1249,0,0,0,0,0,0,0,0,0,0,1249,
"Segment 43",4281,0,0,0,0,0,0,0,0,0,0,4281,
"Segment 44",9675,0,0,0,0,0,0,0,0,0,0,9675,
"Segment 45",3363,0,0,0,0,0,0,0,0,0,0,3363,
