SA2_CODE_2021,C21_75_84_No_need_assist_F,C21_75_84_No_need_assist_P,C21_75_84_Need_assist_ns_M,C21_75_84_Need_assist_ns_F,C21_75_84_Need_assist_ns_P,C21_75_84_Tot_M,C21_75_84_Tot_F,C21_75_84_Tot_P,C21_85over_Need_assist_M,C21_85over_Need_assist_F,C21_85over_Need_assist_P,C21_85over_No_need_assist_M,C21_85over_No_need_assist_F,C21_85over_No_need_assist_P,C21_85over_Need_assist_ns_M,C21_85over_Need_assist_ns_F,C21_85over_Need_assist_ns_P,C21_85over_Tot_M,C21_85over_Tot_F,C21_85over_Tot_P,C21_Tot_Need_assist_M,C21_Tot_Need_assist_F,C21_Tot_Need_assist_P,C21_Tot_No_need_assist_M,C21_Tot_No_need_assist_F,C21_Tot_No_need_assist_P,C21_Tot_Need_assist_ns_M,C21_Tot_Need_assist_ns_F,C21_Tot_Need_assist_ns_P,C21_Tot_Tot_M,C21_Tot_Tot_F,C21_Tot_Tot_P
101021007,145,283,14,16,29,186,188,380,11,27,36,28,20,48,3,0,3,42,47,88,119,116,231,1917,1829,3747,198,169,365,2234,2114,4343
101021008,154,275,12,13,25,158,222,385,14,29,39,21,24,48,3,5,7,38,58,99,214,245,462,3778,3730,7504,265,280,547,4257,4255,8517
101021009,190,340,16,21,39,232,320,552,54,135,190,45,67,109,15,28,40,114,230,347,295,448,745,5101,4885,9989,308,307,615,5704,5640,11342
101021010,69,154,0,4,5,98,97,201,11,13,23,9,18,26,3,6,4,23,37,58,107,117,224,2397,2214,4610,142,115,253,2646,2446,5085
101021012,126,248,10,5,15,162,164,328,20,24,44,18,21,39,0,3,3,38,48,79,218,206,426,5893,5993,11889,219,213,430,6330,6412,12744
101021610,18,36,0,0,0,28,25,49,0,0,0,4,0,4,0,0,0,4,0,6,78,76,153,2888,2943,5835,120,109,233,3086,3128,6224
101021611,239,533,15,11,25,355,304,659,24,36,60,29,12,41,0,4,4,53,52,109,306,290,595,7606,7418,15025,490,428,920,8402,8136,16539
101031013,69,160,9,7,17,111,89,200,8,34,42,9,15,25,4,4,7,21,53,76,77,73,146,1046,1042,2093,98,115,213,1221,1230,2454
101031014,224,409,16,9,28,235,302,545,43,79,120,52,48,99,6,14,21,101,141,244,237,271,511,2799,2879,5677,397,175,569,3433,3325,6761
101031015,96,214,15,20,32,153,133,283,13,7,23,22,14,40,7,5,13,42,26,66,79,84,166,1555,1420,2979,177,154,325,1811,1658,3472
101031016,108,232,6,8,15,159,137,289,13,24,34,22,23,43,3,3,5,38,50,88,105,104,208,3785,3446,7237,307,289,595,4197,3839,8035
101041017,321,615,27,27,51,399,433,823,56,112,167,61,76,141,5,8,14,122,196,319,368,410,781,3528,3678,7207,304,293,597,4200,4381,8581
