SA2_CODE_2021,C16_Rel_NS_0_14,C16_Rel_NS_15_24,C16_Rel_NS_25_34,C16_Rel_NS_35_44,C16_Rel_NS_45_54,C16_Rel_NS_55_64,C16_Rel_NS_65_74,C16_Rel_NS_75_84,C16_Rel_NS_85ov,C16_Rel_NS_Tot,C16_Tot_0_14,C16_Tot_15_24,C16_Tot_25_34,C16_Tot_35_44,C16_Tot_45_54,C16_Tot_55_64,C16_Tot_65_74,C16_Tot_75_84,C16_Tot_85ov,C16_Tot_Tot,C21_Buddhism_0_14,C21_Buddhism_15_24,C21_Buddhism_25_34,C21_Buddhism_35_44,C21_Buddhism_45_54,C21_Buddhism_55_64,C21_Buddhism_65_74,C21_Buddhism_75_84,C21_Buddhism_85ov,C21_Buddhism_Tot,C21_Christ_Angli_0_14,C21_Christ_Angl_15_24,C21_Christ_Angl_25_34,C21_Christ_Angl_35_44,C21_Christ_Angl_45_54,C21_Christ_Angl_55_64,C21_Christ_Angl_65_74,C21_Christ_Angl_75_84,C21_Christ_Anglic_85ov,C21_Christ_Anglic_Tot,C21_Chr_Ass_Apo_0_14,C21_Chr_Ass_Apo_15_24,C21_Chr_Ass_Apo_25_34,C21_Chr_Ass_Apo_35_44,C21_Chr_Ass_Apo_45_54,C21_Chr_Ass_Apo_55_64,C21_Chr_Ass_Apo_65_74,C21_Chr_Ass_Apo_75_84,C21_Chr_Ass_Apo_85ov,C21_Chr_Ass_Apo_Tot,C21_Chr_Bapt_0_14,C21_Chr_Bapt_15_24,C21_Chr_Bapt_25_34,C21_Chr_Bapt_35_44,C21_Chr_Bapt_45_54,C21_Chr_Bapt_55_64,C21_Chr_Bapt_65_74,C21_Chr_Bapt_75_84,C21_Chr_Bapt_85ov,C21_Chr_Bapt_Tot,C21_Chr_Breth_0_14,C21_Chr_Bret_15_24,C21_Chr_Bret_25_34,C21_Chr_Bret_35_44,C21_Chr_Bret_45_54,C21_Chr_Bret_55_64,C21_Chr_Bret_65_74,C21_Chr_Bret_75_84,C21_Chr_Breth_85ov,C21_Chr_Bret_Tot,C21_Chr_Cath_0_14,C21_Chr_Cath_15_24,C21_Chr_Cath_25_34,C21_Chr_Cath_35_44,C21_Chr_Cath_45_54,C21_Chr_Cath_55_64,C21_Chr_Cath_65_74,C21_Chr_Cath_75_84,C21_Chr_Catho_85ov,C21_Chr_Catho_Tot,C21_C_Chur_Christ_0_14,C21_C_Chur_Christ_15_24,C21_C_Chur_Christ_25_34,C21_C_Chur_Christ_35_44,C21_C_Chur_Christ_45_54,C21_C_Chur_Christ_55_64,C21_C_Chur_Christ_65_74,C21_C_Chur_Christ_75_84,C21_C_Chur_Christ_85ov,C21_C_Chur_Christ_Tot,C21_C_East_Ortho_0_14,C21_C_East_Ortho_15_24,C21_C_East_Ortho_25_34,C21_C_East_Ortho_35_44,C21_C_East_Ortho_45_54,C21_C_East_Ortho_55_64,C21_C_East_Ortho_65_74,C21_C_East_Ortho_75_84,C21_C_East_Ortho_85ov,C21_C_East_Ortho_Tot,C21_C_Jeh_Wit_0_14,C21_C_Jeh_Wit_15_24,C21_C_Jeh_Wit_25_34,C21_C_Jeh_Wit_35_44,C21_C_Jeh_Wit_45_54,C21_C_Jeh_Wit_55_64,C21_C_Jeh_Wit_65_74,C21_C_Jeh_Wit_75_84,C21_C_Jeh_Wit_85ov,C21_C_Jeh_Wit_Tot,C21_C_La_Da_Sai_0_14,C21_C_La_Da_Sa_15_24,C21_C_La_Da_Sa_25_34,C21_C_La_Da_Sa_35_44,C21_C_La_Da_Sa_45_54,C21_C_La_Da_Sa_55_64,C21_C_La_Da_Sa_65_74,C21_C_La_Da_Sa_75_84,C21_C_Lat_Da_Sa_85ov,C21_C_Lat_Da_Sa_Tot,C21_C_Luthe_0_14,C21_C_Luthe_15_24,C21_C_Luthe_25_34,C21_C_Luthe_35_44,C21_C_Luthe_45_54,C21_C_Luthe_55_64,C21_C_Luthe_65_74,C21_C_Luthe_75_84,C21_C_Luthe_85ov,C21_C_Luthe_Tot,C21_C_Ori_Orth_0_14,C21_C_Ori_Orth_15_24,C21_C_Ori_Orth_25_34,C21_C_Ori_Orth_35_44,C21_C_Ori_Orth_45_54,C21_C_Ori_Orth_55_64,C21_C_Ori_Orth_65_74,C21_C_Ori_Orth_75_84,C21_C_Ori_Orth_85ov,C21_C_Ori_Ort_Tot,C21_C_Oth_Pro_0_14,C21_C_Oth_Pro_15_24,C21_C_Oth_Pro_25_34,C21_C_Oth_Pro_35_44,C21_C_Oth_Pro_45_54,C21_C_Oth_Pro_55_64,C21_C_Oth_Pro_65_74,C21_C_Oth_Pro_75_84,C21_C_Oth_Pro_85ov,C21_C_Oth_Pro_Tot,C21_C_Pent_0_14,C21_C_Pent_15_24,C21_C_Pent_25_34,C21_C_Pent_35_44,C21_C_Pent_45_54,C21_C_Pent_55_64,C21_C_Pent_65_74,C21_C_Pent_75_84,C21_C_Pent_85ov,C21_C_Pent_Tot,C21_C_Pres_Ref_0_14,C21_C_Pres_Ref_15_24,C21_C_Pres_Ref_25_34,C21_C_Pres_Ref_35_44,C21_C_Pres_Ref_45_54,C21_C_Pres_Ref_55_64,C21_C_Pres_Ref_65_74,C21_C_Pres_Ref_75_84,C21_C_Pres_Ref_85ov,C21_C_Pres_Ref_Tot,C21_C_Sal_Army_0_14,C21_C_Sal_Army_15_24,C21_C_Sal_Army_25_34,C21_C_Sal_Army_35_44,C21_C_Sal_Army_45_54,C21_C_Sal_Army_55_64,C21_C_Sal_Army_65_74,C21_C_Sal_Army_75_84,C21_C_Sal_Army_85ov,C21_C_Sal_Army_Tot,C21_C_Sev_day_Adv_0_14,C21_C_Sev_day_Adv_15_24,C21_C_Sev_day_Adv_25_34,C21_C_Sev_day_Adv_35_44,C21_C_Sev_day_Adv_45_54,C21_C_Sev_day_Adv_55_64,C21_C_Sev_day_Adv_65_74,C21_C_Sev_day_Adv_75_84,C21_C_Sev_day_Adv_85ov,C21_C_Sev_day_Adv_Tot,C21_Chr_Unit_Ch_0_14,C21_Chr_Unit_Ch_15_24,C21_Chr_Unit_Ch_25_34,C21_Chr_Unit_Ch_35_44,C21_Chr_Unit_Ch_45_54,C21_Chr_Unit_Ch_55_64,C21_Chr_Unit_Ch_65_74,C21_Chr_Unit_Ch_75_84,C21_Chr_Unit_Ch_85ov,C21_Chr_Unit_Ch_Tot
101021007,86,47,42,57,92,95,89,34,17,569,649,298,292,441,576,694,595,246,82,3875,4,0,0,6,9,8,9,0,0,32,58,44,30,39,100,152,139,105,36,700,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,143,69,61,88,127,162,115,80,10,858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,14,0,4,0,3,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,4,0,18,0,0,0,3,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0,0,0,12,3,0,3,3,17,29,14,13,0,87,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,6,3,3,0,14,18,17,22,7,102
101021008,142,83,86,91,92,78,51,34,14,661,1620,1116,1086,1110,1199,1051,661,312,83,8241,9,7,22,17,11,11,5,4,0,89,133,102,95,137,166,215,153,91,20,1111,0,0,0,0,0,0,0,0,0,0,9,0,4,8,6,11,8,4,0,54,9,8,4,6,3,0,0,0,0,31,410,242,258,259,299,315,237,129,41,2180,0,0,0,0,0,0,5,0,0,6,41,41,33,32,54,51,44,27,9,334,4,4,4,3,7,6,3,0,0,23,0,0,0,4,6,0,5,0,0,19,0,0,4,3,0,3,6,0,0,27,0,3,0,0,0,0,0,0,0,9,6,0,0,9,5,3,3,0,4,32,20,4,9,11,10,8,7,0,0,64,8,7,7,10,20,34,31,20,0,140,0,3,4,0,0,3,0,0,0,17,7,4,0,3,3,0,0,0,0,25,13,13,13,24,33,36,22,10,4,174
101021009,159,120,284,153,134,119,99,44,18,1130,1671,1192,2237,1551,1391,1127,823,525,318,10838,12,10,31,32,30,20,12,4,4,154,114,72,94,105,191,222,170,111,73,1158,0,0,0,0,0,0,0,0,0,0,13,7,25,12,11,6,9,8,4,96,7,0,13,0,0,0,4,0,0,20,348,237,290,334,327,339,247,165,111,2401,0,0,0,0,0,0,0,0,0,0,38,24,32,41,43,37,49,63,26,349,3,3,0,0,6,3,0,0,0,20,6,0,5,5,4,0,0,0,0,23,3,0,3,3,4,11,6,4,8,42,3,0,0,0,0,0,0,0,0,8,7,11,9,7,14,14,4,0,4,71,24,9,22,15,7,14,14,0,0,99,3,3,9,10,33,31,32,22,14,162,7,0,4,9,3,7,6,3,0,31,0,0,0,7,0,0,0,0,0,11,16,8,18,24,20,25,29,11,6,147
101021010,80,28,91,62,77,51,27,17,4,437,801,579,970,638,702,567,317,162,51,4785,4,0,18,14,5,13,3,0,0,59,48,45,66,47,85,99,83,35,11,516,0,0,0,0,0,0,0,0,0,0,3,0,3,5,8,10,7,5,0,37,15,8,3,4,4,3,0,0,0,42,178,108,159,139,181,160,89,53,22,1083,0,0,0,0,0,0,0,0,0,0,17,10,21,12,27,12,12,8,0,121,0,0,0,0,0,0,0,0,0,0,11,0,0,6,0,0,0,0,0,10,0,0,0,7,0,3,3,5,4,27,0,0,0,0,0,0,0,0,0,9,0,0,4,0,0,0,0,3,0,11,15,3,10,11,3,4,7,0,0,52,3,3,3,4,21,19,16,3,0,77,0,0,0,0,0,0,0,0,0,3,5,0,0,3,0,0,0,0,0,9,13,5,12,10,12,22,10,8,0,94
101021012,174,114,112,126,172,91,37,18,3,853,2918,1753,1455,1908,2381,1306,593,255,71,12642,12,4,0,29,20,11,12,3,0,93,272,149,129,202,346,289,167,86,21,1667,0,0,0,0,0,0,0,0,0,0,6,9,9,9,19,9,13,7,0,78,30,16,31,4,5,8,0,4,0,109,701,537,297,422,656,473,224,103,34,3441,0,0,0,0,0,0,0,0,0,0,73,65,37,50,71,54,34,10,0,395,4,6,4,4,5,8,3,0,0,23,11,3,3,0,0,0,0,0,0,30,8,0,11,7,17,14,7,7,0,78,3,0,0,0,0,0,0,0,0,7,9,6,6,5,6,8,0,0,0,43,30,19,14,17,23,15,8,0,0,122,18,18,14,26,54,45,37,11,4,223,5,3,0,5,0,4,6,0,0,22,0,6,0,6,0,0,0,0,0,15,28,29,15,28,52,56,37,17,5,269
101021610,52,17,42,39,11,6,0,4,0,161,467,138,417,322,143,65,27,8,0,1590,10,4,4,13,8,0,0,0,0,45,216,38,114,144,128,53,38,14,0,749,0,0,0,0,0,0,0,0,0,0,8,7,6,9,9,3,8,0,0,43,0,3,3,0,8,0,0,0,0,12,510,159,338,319,178,73,39,13,0,1618,0,0,0,0,0,0,0,0,0,0,60,22,34,40,28,8,10,4,0,194,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,10,5,0,0,9,7,0,0,0,0,18,7,0,3,4,3,0,0,0,0,13,0,5,0,0,6,0,0,0,0,13,26,4,10,14,3,6,3,0,0,68,5,4,14,4,18,10,3,6,0,63,3,4,5,0,0,0,0,0,0,10,3,0,0,4,0,0,0,0,0,7,21,0,13,26,10,12,4,0,0,86
101021611,352,222,166,264,345,314,188,50,12,1914,3104,1799,1328,2075,2790,2361,1409,400,89,15356,5,3,13,12,15,14,14,4,0,86,331,235,132,245,462,491,367,147,32,2440,0,0,0,0,0,0,0,0,0,0,21,19,8,26,25,33,10,9,0,141,0,0,0,0,0,0,0,4,0,3,813,450,349,465,638,576,376,164,30,3859,0,0,0,0,4,0,0,0,0,9,34,20,13,23,30,23,12,5,7,172,4,4,6,3,6,9,3,0,0,24,0,0,0,3,0,4,0,0,0,10,8,4,5,9,22,21,16,11,0,91,0,0,0,0,0,0,0,0,0,0,4,0,3,11,0,10,0,5,0,40,20,6,7,10,0,14,8,0,0,63,19,13,9,24,49,59,60,31,7,266,0,0,0,0,0,3,11,0,0,24,7,6,4,0,3,0,0,0,0,30,33,26,12,47,63,90,67,31,4,373
101031013,27,20,6,15,42,34,37,15,14,209,403,225,221,236,333,393,339,148,94,2391,0,0,3,4,3,0,0,0,0,9,66,48,47,62,79,110,134,67,29,653,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,8,0,0,0,0,0,0,0,0,0,0,85,45,39,52,59,100,79,57,20,527,0,0,0,0,0,0,0,0,0,0,6,0,0,4,3,6,4,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,11,0,0,0,0,0,0,0,0,0,5,11,7,3,5,14,27,20,22,11,123,0,0,0,0,0,0,0,3,0,5,0,3,0,0,0,0,0,0,0,5,0,0,4,7,0,8,8,6,0,38
101031014,88,73,138,118,134,93,107,71,59,889,1064,757,764,754,944,906,785,525,239,6737,9,0,14,19,10,11,6,5,0,81,104,83,65,75,127,191,187,142,75,1029,0,0,0,0,0,0,0,0,0,5,31,11,7,15,20,21,17,4,0,132,0,0,0,0,0,0,0,0,0,0,243,121,143,166,206,228,222,181,77,1605,0,0,0,0,0,0,0,0,0,0,7,10,7,0,10,8,9,7,3,51,0,0,0,0,6,3,7,6,3,26,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,21,10,13,7,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,14,24,7,7,7,8,6,0,4,0,66,0,5,9,3,10,21,23,18,6,87,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,6,3,20,29,28,25,8,132
101031015,75,40,35,41,75,56,55,30,12,413,559,308,219,349,543,561,473,214,50,3282,0,0,0,0,3,9,3,0,0,18,67,45,23,50,108,128,114,70,14,625,0,0,0,0,0,0,0,0,0,0,16,11,0,4,21,15,8,0,0,74,0,0,0,0,0,0,0,0,0,0,109,73,55,76,136,152,87,84,22,797,0,0,0,0,0,0,0,0,0,0,5,3,0,7,0,7,4,0,0,28,0,0,0,0,0,0,0,0,0,7,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,8,5,3,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,5,0,0,0,0,3,0,0,0,0,6,0,0,0,4,13,10,20,10,6,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,11,4,0,8,13,24,23,7,0,90
