SA2_CODE_2021,C21_85_over_UOL_SE_Tot,C21_85_over_LPE_NS,C21_85_over_Tot,C21_Tot_SEO,C21_Tot_UOL_SE_Vw_w,C21_Tot_UOL_SE_Nw_Na,C21_Tot_UOL_SE_P_E_n,C21_Tot_UOL_SE_Tot,C21_Tot_LPE_NS,C21_Tot_Tot
101021007,5,4,88,3789,185,15,0,200,356,4343
101021008,36,8,99,6750,1103,164,9,1269,495,8517
101021009,108,43,347,8097,2377,283,20,2680,566,11342
101021010,14,5,58,3788,968,80,10,1063,238,5085
101021012,21,4,79,10701,1530,126,14,1668,370,12744
101021610,0,0,6,4879,1040,83,18,1139,205,6224
101021611,6,4,109,14835,778,45,6,835,869,16539
101031013,7,10,76,2162,66,9,0,69,222,2454
101031014,28,17,244,5588,554,69,14,628,542,6761
101031015,6,12,66,3026,127,19,0,147,293,3472
101031016,5,6,88,6989,438,56,3,499,551,8035
101041017,10,10,319,7555,406,64,8,471,556,8581
101041018,21,52,345,7808,446,48,12,509,626,8938
101041019,7,76,287,7898,342,30,0,377,598,8872
101041020,4,9,121,8673,208,10,0,220,672,9557
101041021,12,12,163,3485,99,11,5,108,193,3792
101041022,0,0,0,32,0,0,0,0,5,43
101041023,4,31,136,2998,103,17,0,121,304,3425
101041024,0,3,42,3072,95,8,0,97,350,3525
101041025,21,55,453,10475,427,32,0,464,578,11513
101041026,14,37,276,7665,219,18,0,239,696,8600
101041027,34,29,444,8780,344,45,24,406,696,9888
101051539,40,69,733,21034,1483,242,29,1757,1777,24565
101051540,9,32,299,12212,463,42,9,516,1105,13839
101061541,9,29,252,6149,260,38,5,305,316,6763
101061542,0,8,135,11529,453,46,7,506,680,12713
101061543,3,15,344,9544,657,134,10,806,654,11004
101061544,5,13,171,6787,218,25,0,245,644,7677
102011028,5,6,81,6894,365,24,5,389,230,7513
102011029,15,19,260,10127,489,39,8,533,380,11042
102011030,16,6,79,3908,374,51,3,431,386,4716
102011031,92,237,1008,12628,1157,159,19,1340,796,14758
102011032,27,50,551,16526,3106,426,36,3571,1112,21204
102011033,10,5,74,5575,615,96,3,719,190,6485
102011034,21,89,520,6898,348,28,4,380,341,7615
102011035,0,6,78,6160,735,91,11,830,161,7157
102011036,6,10,194,7421,536,54,14,602,183,8205
102011037,18,27,252,5624,616,90,10,717,226,6571
102011038,12,22,222,6672,233,17,0,251,239,7160
102011039,23,26,253,13120,1000,100,5,1109,624,14849
102011040,58,96,879,21615,1509,195,34,1735,1347,24697
102011041,14,16,217,9770,502,35,6,548,361,10675
102011042,24,45,598,12254,1094,212,21,1325,769,14346
102011043,27,63,504,9726,1008,126,8,1149,549,11423
102021044,47,247,903,20537,799,121,17,941,1353,22825
102021045,10,11,153,10273,505,42,0,555,462,11290
102021046,4,26,261,8889,270,27,7,298,539,9728
102021047,16,37,423,14764,654,67,4,731,515,16006
102021048,49,189,840,19491,1119,179,18,1317,1556,22362
102021049,3,3,29,3167,96,4,6,112,144,3420
102021050,17,52,382,10098,284,23,5,313,542,10960
102021051,3,8,68,4370,341,37,4,378,175,4928
102021052,9,7,130,5944,238,25,3,266,279,6492
102021053,33,62,514,13609,1033,176,20,1225,1011,15839
102021054,15,30,444,8913,361,48,4,414,576,9909
102021055,3,5,78,4432,517,84,7,612,191,5229
102021056,23,123,401,17032,1881,222,34,2138,885,20051
102021057,16,13,162,7575,770,142,6,922,634,9120
103011059,9,18,273,11147,578,64,7,654,534,12330
103011060,4,6,80,6181,126,10,3,139,596,6909
103011061,5,9,102,3940,225,35,7,266,632,4834
103011612,14,26,478,8513,823,112,17,957,1283,10752
103011613,7,22,225,13002,656,61,9,721,584,14313
103021062,3,26,211,5383,210,20,3,243,751,6372
103021063,12,13,359,8245,363,63,8,434,598,9273
103021064,5,12,128,4982,145,14,8,158,575,5716
103021065,4,36,314,8907,205,21,0,232,881,10020
103021066,0,14,143,3287,58,0,0,62,244,3597
103021067,6,30,330,9779,408,45,8,458,682,10919
103021068,6,6,93,2875,67,10,0,76,307,3262
103021069,0,22,176,4873,131,17,4,154,490,5525
103031070,19,25,388,10707,561,83,5,655,1026,12385
103031071,5,12,145,7484,289,28,3,320,642,8448
103031072,16,42,353,11305,509,64,8,588,674,12563
103031073,13,3,93,2952,93,11,0,99,344,3398
103031074,11,17,194,9822,258,13,3,272,976,11072
103031075,0,0,0,0,0,0,0,0,0,0
103041076,0,11,162,6927,116,10,0,131,457,7517
103041077,35,77,700,16592,1078,148,21,1241,1195,19023
103041078,15,48,343,19929,1728,227,31,1990,983,22895
103041079,3,15,207,10854,222,25,0,244,723,11830
104011080,15,60,777,17425,582,72,5,665,1165,19255
104011081,5,10,265,14271,340,30,6,383,2224,16875
104011082,11,59,712,15957,524,38,8,574,995,17533
104021083,4,20,125,5366,283,17,4,304,494,6168
104021084,26,65,539,14915,1588,459,24,2069,1111,18099
104021085,30,141,642,8881,1064,401,29,1489,933,11305
104021086,0,8,32,3490,159,24,6,190,273,3950
104021087,6,9,97,2846,88,12,0,102,299,3250
104021088,14,3,126,9308,553,64,8,631,325,10262
104021089,23,71,614,18140,832,104,16,953,969,20066
104021090,3,6,187,4453,133,13,0,149,309,4907
104021091,33,37,354,11552,1717,438,27,2186,726,14463
105011092,0,5,50,2723,138,6,0,153,548,3428
105011093,0,5,75,3339,167,19,0,186,604,4129
105011094,0,7,85,3309,85,4,0,96,527,3926
105011095,0,38,153,4001,154,4,0,161,425,4591
105011096,16,16,83,3819,265,36,5,305,1400,5534
105021097,20,112,590,15480,585,65,5,649,1460,17588
105021098,0,9,28,1845,34,8,0,45,395,2288
105031099,0,69,294,6608,194,12,0,209,1102,7921
105031100,8,22,185,8891,746,71,12,830,911,10633
105031101,13,63,513,15832,2108,222,26,2353,1444,19628
105031102,3,31,212,8584,746,82,13,841,896,10317
105031103,0,0,69,5362,59,4,0,64,535,5963
105031104,0,20,130,3817,73,3,5,82,504,4398
105031105,0,51,173,5455,137,10,3,147,855,6458
105031106,4,25,232,6876,238,28,3,268,1623,8769
106011107,8,9,93,11824,425,65,11,498,445,12770
106011108,16,85,655,20213,567,102,9,678,2603,23495
106011109,0,5,103,8479,182,15,5,203,463,9145
106011110,5,9,184,9027,112,12,0,125,388,9541
106011111,10,28,331,19132,502,72,7,578,926,20631
106011112,3,16,306,15368,655,97,5,758,894,17018
106011113,0,6,36,4787,94,11,0,112,435,5332
106021114,4,48,180,7764,460,62,5,527,328,8611
106021116,3,4,145,8213,237,28,6,272,250,8727
106021614,8,69,376,15963,1077,182,9,1267,749,17981
106021615,12,34,327,15988,912,118,19,1046,698,17730
106021616,0,7,104,7196,301,42,4,355,428,7976
106021617,3,17,234,9426,279,30,5,311,358,10091
106021618,4,3,85,14236,1114,176,19,1313,351,15899
106031119,8,14,121,5903,181,9,0,195,350,6449
106031120,7,11,163,6333,195,21,0,218,339,6887
106031121,45,165,978,19565,1209,138,8,1361,1053,21972
106031122,9,17,259,13101,536,68,0,601,890,14588
106031123,0,4,62,5376,97,12,3,110,196,5693
106031124,6,72,351,5171,199,31,0,229,403,5804
106031125,5,18,166,13908,465,66,6,535,576,15020
106041126,5,22,179,10665,572,51,3,627,979,12272
106041127,0,10,76,3736,74,5,0,82,268,4083
106041128,0,32,201,5292,321,101,3,422,324,6035
106041129,5,34,208,7436,170,36,3,201,552,8194
107011131,83,37,662,21450,1603,224,24,1850,893,24195
107011132,28,3,123,10341,1368,156,24,1546,265,12155
107011133,0,0,0,5,0,0,0,0,0,5
107011134,115,84,499,12378,2035,319,18,2367,532,15280
107011545,164,28,383,9438,3239,816,20,4082,686,14200
107011546,272,19,410,6222,2097,777,29,2910,607,9740
107011547,29,20,171,3624,306,60,0,374,248,4239
107021135,0,0,0,4,0,0,0,4,0,9
107031136,23,104,308,17112,1173,115,19,1312,604,19026
107031137,34,14,220,6161,391,59,3,450,300,6920
107031138,19,93,400,7814,467,54,0,526,448,8786
107031139,6,10,127,5601,218,14,0,235,220,6063
107031140,10,16,261,7496,281,23,8,318,328,8136
107031141,54,98,311,16258,2108,256,26,2395,693,19341
107031142,68,37,309,8746,1157,201,13,1363,479,10590
107031143,133,100,554,16873,1859,381,26,2261,1260,20397
107041144,183,92,675,16743,3268,559,24,3855,921,21519
107041145,94,29,471,13373,1685,288,15,1983,680,16041
107041146,100,88,588,17204,4069,540,29,4642,923,22773
107041147,7,49,141,8398,400,54,8,457,279,9135
107041148,22,27,196,10897,673,44,9,727,336,11957
107041150,86,59,640,18755,1199,129,18,1346,663,20761
107041548,94,103,464,11453,3143,586,26,3756,815,16020
107041549,135,26,324,10915,3918,856,42,4812,824,16551
