GCCSA_CODE_2021,C11_1_74_CF_NC,C11_1_74_CF_Cu15DS_,C11_1_74_CF_CU15_NDS,C11_1_74_CF_NCU15_DS,C11_1_74_CF_NDCO,C11_1_74_Tot,C11_75_99_CF_NC,C11_75_99_CF_Cu15DS_,C11_75_99_CF_CU15_NDS,C11_75_99_CF_NCU15_DS,C11_75_99_CF_NDCO,C11_75_99_Tot,C11_100_149_CF_NC,C11_100_149_CF_Cu15DS_,C11_100_149_CF_CU15_NDS,C11_100_149_CF_NCU15_DS,C11_100_149_CF_NDCO,C11_100_149_Tot,C11_150_199_CF_NC,C11_150_199_CF_Cu15DS_,C11_150_199_CF_CU15_NDS,C11_150_199_CF_NCU15_DS,C11_150_199_CF_NDCO,C11_150_199_Tot,C11_200_224_CF_NC,C11_200_224_CF_Cu15DS_,C11_200_224_CF_CU15_NDS,C11_200_224_CF_NCU15_DS,C11_200_224_CF_NDCO,C11_200_224_Tot,C11_225_274_CF_NC,C11_225_274_CF_Cu15DS_,C11_225_274_CF_CU15_NDS,C11_225_274_CF_NCU15_DS,C11_225_274_CF_NDCO,C11_225_274_Tot,C11_275_349_CF_NC,C11_275_349_CF_Cu15DS_,C11_275_349_CF_CU15_NDS,C11_275_349_CF_NCU15_DS,C11_275_349_CF_NDCO,C11_275_349_Tot,C11_350_449_CF_NC,C11_350_449_CF_Cu15DS_,C11_350_449_CF_CU15_NDS,C11_350_449_CF_NCU15_DS,C11_350_449_CF_NDCO,C11_350_449_Tot,C11_450_549_CF_NC,C11_450_549_CF_Cu15DS_,C11_450_549_CF_CU15_NDS,C11_450_549_CF_NCU15_DS,C11_450_549_CF_NDCO,C11_450_549_Tot,C11_550_649_CF_NC,C11_550_649_CF_Cu15DS_,C11_550_649_CF_CU15_NDS,C11_550_649_CF_NCU15_DS,C11_550_649_CF_NDCO,C11_550_649_Tot,C11_650_749_CF_NC,C11_650_749_CF_Cu15DS_,C11_650_749_CF_CU15_NDS,C11_650_749_CF_NCU15_DS,C11_650_749_CF_NDCO,C11_650_749_Tot,C11_750_849_CF_NC,C11_750_849_CF_Cu15DS_,C11_750_849_CF_CU15_NDS,C11_750_849_CF_NCU15_DS,C11_750_849_CF_NDCO,C11_750_849_Tot,C11_850_949_CF_NC,C11_850_949_CF_Cu15DS_,C11_850_949_CF_CU15_NDS,C11_850_949_CF_NCU15_DS,C11_850_949_CF_NDCO,C11_850_949_Tot,C11_950over_CF_NC,C11_950over_CF_Cu15DS_,C11_950over_CF_CU15_NDS,C11_950over_CF_NCU15_DS,C11_950over_CF_NDCO,C11_950over_Tot,C11_Rns_CF_NC,C11_Rns_CF_Cu15DS_,C11_Rns_CF_CU15_NDS,C11_Rns_CF_NCU15_DS,C11_Rns_CF_NDCO,C11_Rns_Tot,C11_Tot_CF_NC,C11_Tot_CF_Cu15DS_,C11_Tot_CF_CU15_NDS,C11_Tot_CF_NCU15_DS,C11_Tot_CF_NDCO,C11_Tot_Tot,C16_1_74_CF_NC,C16_1_74_CF_Cu15DS_,C16_1_74_CF_CU15_NDS,C16_1_74_CF_NCU15_DS,C16_1_74_CF_NDCO,C16_1_74_Tot,C16_75_99_CF_NC,C16_75_99_CF_Cu15DS_,C16_75_99_CF_CU15_NDS,C16_75_99_CF_NCU15_DS,C16_75_99_CF_NDCO,C16_75_99_Tot,C16_100_149_CF_NC,C16_100_149_CF_Cu15DS_,C16_100_149_CF_CU15_NDS,C16_100_149_CF_NCU15_DS,C16_100_149_CF_NDCO,C16_100_149_Tot,C16_150_199_CF_NC,C16_150_199_CF_Cu15DS_,C16_150_199_CF_CU15_NDS,C16_150_199_CF_NCU15_DS,C16_150_199_CF_NDCO,C16_150_199_Tot,C16_200_224_CF_NC,C16_200_224_CF_Cu15DS_,C16_200_224_CF_CU15_NDS,C16_200_224_CF_NCU15_DS,C16_200_224_CF_NDCO,C16_200_224_Tot,C16_225_274_CF_NC,C16_225_274_CF_Cu15DS_,C16_225_274_CF_CU15_NDS,C16_225_274_CF_NCU15_DS,C16_225_274_CF_NDCO,C16_225_274_Tot,C16_275_349_CF_NC,C16_275_349_CF_Cu15DS_,C16_275_349_CF_CU15_NDS,C16_275_349_CF_NCU15_DS,C16_275_349_CF_NDCO,C16_275_349_Tot,C16_350_449_CF_NC,C16_350_449_CF_Cu15DS_,C16_350_449_CF_CU15_NDS,C16_350_449_CF_NCU15_DS,C16_350_449_CF_NDCO,C16_350_449_Tot,C16_450_549_CF_NC,C16_450_549_CF_Cu15DS_,C16_450_549_CF_CU15_NDS,C16_450_549_CF_NCU15_DS,C16_450_549_CF_NDCO,C16_450_549_Tot,C16_550_649_CF_NC,C16_550_649_CF_Cu15DS_,C16_550_649_CF_CU15_NDS,C16_550_649_CF_NCU15_DS,C16_550_649_CF_NDCO,C16_550_649_Tot,C16_650_749_CF_NC,C16_650_749_CF_Cu15DS_,C16_650_749_CF_CU15_NDS,C16_650_749_CF_NCU15_DS,C16_650_749_CF_NDCO,C16_650_749_Tot,C16_750_849_CF_NC,C16_750_849_CF_Cu15DS_,C16_750_849_CF_CU15_NDS,C16_750_849_CF_NCU15_DS,C16_750_849_CF_NDCO,C16_750_849_Tot,C16_850_949_CF_NC,C16_850_949_CF_Cu15DS_,C16_850_949_CF_CU15_NDS,C16_850_949_CF_NCU15_DS,C16_850_949_CF_NDCO,C16_850_949_Tot,C16_950over_CF_NC,C16_950over_CF_Cu15DS_,C16_950over_CF_CU15_NDS,C16_950over_CF_NCU15_DS,C16_950over_CF_NDCO,C16_950over_Tot,C16_Rns_CF_NC,C16_Rns_CF_Cu15DS_,C16_Rns_CF_CU15_NDS,C16_Rns_CF_NCU15_DS,C16_Rns_CF_NDCO,C16_Rns_Tot,C16_Tot_CF_NC,C16_Tot_CF_Cu15DS_,C16_Tot_CF_CU15_NDS,C16_Tot_CF_NCU15_DS,C16_Tot_CF_NDCO,C16_Tot_Tot,C21_1_74_CF_NC,C21_1_74_CF_Cu15DS_,C21_1_74_CF_CU15_NDS,C21_1_74_CF_NCU15_DS,C21_1_74_CF_NDCO,C21_1_74_Tot,C21_75_99_CF_NC,C21_75_99_CF_Cu15DS_
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4GADE,233,10,74,5,21,342,351,3,51,9,9,425,2481,72,553,88,132,3327,2086,189,1180,109,261,3829,1936,153,1361,109,209,3775,4511,417,3659,349,532,9473,6124,760,5633,584,574,13673,2965,543,2989,385,340,7218,633,159,745,123,98,1759,211,68,288,55,33,666,72,35,134,26,23,300,38,13,69,14,10,144,20,6,20,3,3,56,70,24,88,11,6,194,615,59,350,54,77,1154,22346,2521,17200,1921,2333,46327,124,6,34,3,11,179,149,0,27,7,3,185,874,27,204,25,49,1172,2063,79,637,92,147,3019,1328,102,746,78,134,2382,3948,321,3406,217,402,8287,7693,838,7051,642,761,16977,5594,905,5475,737,652,13366,1320,311,1372,293,217,3508,365,107,495,124,65,1156,133,55,219,70,35,509,66,26,110,22,8,240,39,12,47,14,8,121,53,20,77,13,3,169,603,58,381,48,88,1184,24346,2857,20282,2373,2578,52439,84,3,33,3,4,128,96,0
4RSAU,402,52,318,20,33,826,232,20,129,7,22,406,1481,72,719,68,93,2434,1648,184,1269,89,170,3358,757,95,700,50,80,1680,861,120,944,66,111,2100,485,105,717,68,66,1433,163,32,201,15,15,431,50,5,56,0,6,111,16,4,22,0,4,40,5,0,7,0,0,13,0,0,3,0,0,3,0,0,0,0,0,7,38,0,14,5,4,58,288,31,202,27,30,584,6420,726,5298,417,633,13492,199,18,140,6,25,393,193,29,188,17,27,448,794,44,333,37,46,1258,1513,124,912,73,112,2736,833,110,717,49,82,1791,1399,159,1232,96,167,3046,948,178,1182,119,114,2538,222,87,372,34,48,760,41,19,27,5,5,94,13,0,12,5,0,31,6,0,7,0,0,15,5,0,0,0,0,5,3,0,3,0,0,5,13,0,6,0,3,29,263,28,190,22,41,547,6433,797,5327,456,677,13694,161,12,109,6,21,305,160,15
49499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,227,10,77,11,21,343,199,5,77,11,6,296,1886,69,489,52,106,2600,1572,123,693,72,155,2620,1392,102,897,70,172,2638,3150,227,2193,153,281,6005,8628,845,7513,502,676,18168,10618,1568,10446,947,1153,24733,3236,670,3460,488,433,8293,1131,234,1221,199,136,2915,453,108,651,88,73,1375,283,70,392,82,36,867,142,58,225,48,17,497,346,149,656,121,55,1325,801,100,604,69,113,1682,34067,4349,29584,2922,3422,74351,127,5,35,5,11,183,122,0,36,0,10,165,691,32,209,28,46,1006,1650,67,412,53,103,2295,985,84,422,47,89,1624,2089,134,1280,94,175,3766,6923,464,5050,319,484,13249,14792,1735,13452,1167,1309,32453,6775,1262,6393,887,874,16196,2124,443,2220,393,335,5519,789,201,1024,212,127,2355,407,112,604,146,63,1329,192,82,346,74,38,725,336,157,669,138,73,1369,839,119,564,90,108,1725,38834,4896,32718,3651,3853,83948,104,5,44,5,11,171,111,0
5RWAU,1116,152,1787,74,211,3333,371,43,334,26,40,807,1660,136,1380,72,168,3416,1337,151,1269,90,142,2982,797,94,718,33,89,1728,1237,126,1320,70,121,2875,1741,261,2095,139,183,4419,1004,227,1617,109,163,3117,277,59,383,25,38,778,143,22,160,7,20,354,103,9,83,4,5,208,50,0,50,6,4,122,48,0,24,3,5,80,375,36,303,22,49,793,727,72,812,60,80,1748,10970,1387,12345,738,1316,26751,890,134,1319,69,129,2546,257,29,314,17,27,650,898,105,1017,61,117,2198,1184,114,903,64,120,2381,830,82,711,39,75,1733,1216,139,1150,75,121,2704,2233,244,2074,149,209,4909,2103,386,2645,208,293,5641,698,153,842,89,98,1882,244,45,309,22,32,645,130,19,170,10,14,347,77,8,113,10,7,218,34,8,54,10,8,108,86,11,99,14,12,214,628,88,717,66,91,1597,11503,1572,12446,900,1356,27777,824,155,1057,68,122,2221,224,31
59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6GHOB,32,0,6,0,4,50,45,3,13,3,8,59,311,6,82,6,18,425,401,39,292,28,52,805,332,36,212,24,40,650,731,76,591,46,76,1523,921,122,883,78,67,2075,483,96,516,61,56,1212,127,30,127,29,9,312,28,5,30,4,8,76,13,0,14,0,0,25,7,0,13,3,4,25,5,0,3,0,0,6,15,6,12,0,0,33,90,12,50,3,13,173,3530,430,2846,287,350,7444,24,0,14,6,0,39,19,0,4,0,0,18,144,6,33,4,11,204,390,27,154,16,34,624,306,27,162,24,32,546,702,57,502,56,70,1388,1208,120,1040,96,110,2580,801,148,743,86,83,1859,209,40,190,28,19,493,49,15,58,3,10,137,20,3,28,0,0,53,3,5,11,4,0,21,0,0,4,0,0,4,9,5,0,0,0,16,74,13,46,5,14,162,3960,458,2982,335,403,8144,13,0,12,0,0,32,12,0
6RTAS,155,13,92,9,17,283,107,0,61,4,13,196,685,36,301,18,41,1081,968,116,819,79,138,2114,602,71,587,42,71,1370,832,135,981,81,96,2119,508,119,677,53,66,1418,99,44,168,28,24,365,17,5,30,0,5,62,0,5,11,0,0,15,7,0,0,0,0,11,5,0,0,0,0,7,0,0,0,0,0,3,12,0,11,0,0,25,151,17,119,13,33,326,4150,547,3857,334,498,9387,99,10,66,7,7,189,54,0,23,3,5,81,301,26,170,11,26,533,817,57,386,39,69,1372,736,69,529,45,105,1488,1146,134,984,84,130,2486,847,210,1031,96,109,2296,208,99,318,34,52,701,37,10,46,4,7,109,13,0,13,3,0,27,5,0,4,0,0,3,0,0,0,0,0,8,0,0,0,0,0,3,9,5,5,4,0,12,158,9,109,13,22,311,4423,623,3694,351,529,9622,86,0,42,3,3,130,38,0
69499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,85,4,39,0,5,130,67,0,23,0,3,96,99,13,104,8,10,231,216,11,219,4,17,467,242,29,309,9,9,597,220,39,258,24,23,558,436,39,401,37,53,965,955,57,620,44,37,1710,845,74,549,46,87,1607,386,39,318,27,32,797,167,24,144,18,17,371,84,14,72,13,12,189,29,0,35,4,7,72,27,0,27,8,0,56,101,22,121,11,17,269,3942,364,3231,252,322,8109,41,3,11,0,6,58,21,0,14,0,0,40,135,6,61,13,4,220,83,19,65,6,13,175,63,4,53,7,9,142,424,41,424,12,21,917,473,35,423,23,22,981,1002,74,845,40,53,2025,1240,95,896,86,96,2412,771,77,631,56,75,1608,357,50,408,25,36,879,147,30,171,22,11,383,48,18,71,9,3,151,70,18,120,11,8,222,158,24,178,12,14,389,5040,497,4366,315,380,10592,19,0,11,0,5,27,8,0
7RNTE,939,255,2104,58,200,3563,168,44,341,10,48,611,249,70,495,15,70,896,167,32,291,7,30,532,97,10,120,13,8,258,122,15,124,5,15,280,161,14,145,9,10,339,252,15,170,11,19,470,137,12,132,14,22,312,32,3,54,0,9,100,17,3,18,0,4,39,3,0,9,0,0,18,0,0,6,0,0,6,4,0,0,0,4,6,283,52,491,17,35,888,2638,529,4498,161,470,8297,831,196,1500,61,192,2780,236,62,465,11,41,815,276,55,454,21,54,855,192,42,289,10,34,566,82,18,112,7,9,231,139,23,192,12,11,372,129,7,113,4,9,269,241,23,240,16,21,542,201,25,196,15,27,465,76,16,86,0,10,189,21,9,36,3,6,74,13,9,18,0,0,39,6,0,5,0,0,11,6,0,8,0,0,18,356,58,516,24,64,1029,2804,542,4222,182,486,8242,670,181,1191,46,226,2312,336,55
79499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,60,3,15,0,5,87,41,6,27,3,4,81,376,31,172,27,28,635,288,39,181,19,23,545,249,34,261,17,21,576,335,66,372,54,28,851,845,66,690,57,59,1717,3455,223,2236,206,258,6382,1739,175,1394,131,130,3570,475,92,552,80,52,1244,143,38,167,28,18,387,68,16,90,12,5,192,25,5,47,12,4,89,47,16,73,14,4,156,156,30,135,18,22,368,8292,847,6407,679,662,16884,26,4,20,0,4,54,34,0,25,0,9,65,209,12,96,15,16,352,320,46,168,22,30,581,187,12,86,6,18,315,504,45,373,19,30,968,1463,76,1113,61,61,2780,3913,202,2733,162,195,7204,2006,257,2013,203,166,4644,644,137,782,122,83,1774,168,62,268,51,26,567,83,28,118,20,9,252,37,14,63,15,5,136,60,28,109,21,7,218,203,20,140,20,22,399,9855,946,8084,743,683,20315,27,3,19,0,4,56,33,5
89499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,23,0,21,5,7,56,8,0,14,0,0,20,19,0,14,3,4,43,17,0,13,0,0,35,9,0,7,0,0,12,11,4,5,0,0,17,6,0,3,0,0,11,6,0,0,0,0,10,0,0,7,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,18,5,0,30,95,7,107,10,15,241,15,0,19,0,4,38,6,0,11,0,4,21,25,0,8,0,0,33,23,4,22,0,5,59,12,0,8,0,6,35,8,0,8,0,0,19,14,0,15,0,0,31,4,0,10,4,0,18,4,0,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16,0,0,33,124,19,125,11,26,300,28,0,16,0,4,52,7,0
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
